bill_id,LD_num,term,session,title,commem
HP0082,LD0136,2023_2024,SS1,An Act to Clarify Court Jurisdiction of Actions Involving Children Brought Under the Maine Uniform Probate Code,0
HP0083,LD0137,2023_2024,SS1,An Act to Amend the Maine Parentage Act Regarding Joinder of Parties,0
HP0084,LD0138,2023_2024,SS1,An Act Regarding the Terms of Trustees of the Phippsburg Cemetery District,0
HP0085,LD0139,2023_2024,SS1,"Resolve, Establishing the Commission to Study the Liability of Parents and Legal Guardians for Damage by Minors",0
HP0086,LD0140,2023_2024,SS1,An Act to Amend the Laws Governing the Right to Counsel for Juveniles and Due Process for Juveniles,0
HP0087,LD0141,2023_2024,SS1,An Act to Simplify the Sale of Food Requirement for Certain Licenses for the Sale of Liquor to Be Consumed on the Licensed Premises,0
HP0088,LD0142,2023_2024,RS2,An Act to Fund Climate-related Service Work,0
HP0089,LD0143,2023_2024,RS2,An Act to Support Rural Service Programming and Promote Volunteerism,0
HP0090,LD0144,2023_2024,SS1,An Act Regarding the Monitoring of Municipal Abandoned Property,0
HP0091,LD0145,2023_2024,SS1,An Act to Increase the Penalties for Operation of a Motor Vehicle While Using a Handheld Electronic Device or Mobile Telephone,0
SP0075,LD0146,2023_2024,SS1,"An Act to Clarify Assessment of Penalties for Tattoo Artists, Body Piercers, Electrologists and Micropigmentation Practitioners and to Change Requirements for the Approval of Public Pool and Spa Plans",0
SP0076,LD0147,2023_2024,SS1,An Act to Amend the Laws Regarding Certain Raffles Conducted by Eligible Organizations,0
SP0077,LD0148,2023_2024,SS1,An Act to Allow Detention of Juveniles for Certain Acts,0
SP0078,LD0149,2023_2024,SS1,"An Act to Amend the Definition of ""Homestead"" Under the Homestead Property Tax Exemption Laws",0
SP0080,LD0150,2023_2024,SS1,An Act to Allow Incentive Continuity Following a Catastrophic Occurrence Under the Pine Tree Development Zone and Major Food Processing and Manufacturing Facility Expansion Tax Credit Programs,0
SP0081,LD0151,2023_2024,SS1,An Act Regarding Child Welfare,0
HP0093,LD0152,2023_2024,RS1,"Resolve, Directing the Department of Inland Fisheries and Wildlife to Change the Term ""Woodsman"" to ""Woodsperson"" in the Junior Maine Guide Program",0
HP0094,LD0153,2023_2024,SS1,An Act to Allow Electronic Distribution of Certain Documents to Municipalities and Electronic Acknowledgment of Receipt of Certain Documents as Acceptable Communications,0
HP0095,LD0154,2023_2024,RS2,An Act Regarding Special Education Funding for So-called Minimum Receiver School Administration Units,0
HP0096,LD0155,2023_2024,SS1,An Act Regarding Community-based Services for Youth Involved in the Juvenile Justice System,0
HP0097,LD0156,2023_2024,SS1,An Act to Require Outdoor Recess Time for Students from Grade 6 to Grade 8,0
HP0098,LD0157,2023_2024,RS1,"Resolve, to Improve Standards for Animal Rescue Entities",0
HP0099,LD0158,2023_2024,SS1,An Act to Create a Training License and Program for Certain Advanced Practice Providers,0
HP0100,LD0159,2023_2024,RS1,An Act to Facilitate the Construction of a Firehouse by Sinclair Township,0
HP0101,LD0160,2023_2024,SS1,An Act to Amend the Laws Governing Practicing Chiropractic Without a License,0
HP0102,LD0161,2023_2024,RS1,An Act to Modify the Law Regarding Tinted Glass in Motor Vehicles,0
HP0103,LD0162,2023_2024,SS1,"Resolve, to Study the Establishment of a Substance Use Disorder Hotline",0
HP0104,LD0163,2023_2024,RS2,An Act to Increase Communication Between the Department of Inland Fisheries and Wildlife and Lifetime License Holders by Requiring Free License Renewals Under Certain Circumstances,0
HP0105,LD0164,2023_2024,SS1,An Act Regarding the Funding of Lake Water Quality Restoration and Protection Projects,0
HP0106,LD0165,2023_2024,RS2,An Act to Increase the Governor's Salary,0
HP0107,LD0166,2023_2024,RS1,An Act to Provide Revenue for Property Tax Relief and Capital Infrastructure Projects,0
HP0108,LD0167,2023_2024,SS1,An Act Regarding Eligibility for the Maine Resident Homestead Property Tax Exemption,0
HP0109,LD0168,2023_2024,SS1,"An Act Regarding Criminal Background Checks for the Sale, Transfer or Exchange of Firearms",0
HP0110,LD0169,2023_2024,SS1,An Act to Amend and Clarify the Laws Governing Perfluoroalkyl and Polyfluoroalkyl Substances and Other Harmful Chemicals,0
HP0111,LD0170,2023_2024,SS1,An Act to Clarify the Authority of the Director of the Real Estate Commission to Investigate Complaints,0
HP0112,LD0171,2023_2024,SS1,An Act to Provide That All Rules Regarding Perfluoroalkyl and Polyfluoroalkyl Substances Are Major Substantive Rules,0
HP0113,LD0172,2023_2024,SS1,An Act to Allow Health Care Workers to Return to Work by Reinstating Exemptions from Immunization Requirements,0
HP0114,LD0173,2023_2024,RS1,An Act Regarding the Responsibility for Technology Instruction Marketing Costs by the Maine Community College System,0
