bill_id,session,LC_num,status,rev_impact,fiscal_impact,keywords,chapter_num,vetoed,primary_sponsors,cosponsors,by_request,description,summary,bill_url
SB0320,2023R1,1292,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",sentencing; prescribing an effective date; providing for criminal sentence reduction that requires approval by a two-thirds majority,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Provides that person sentenced to mandatory minimum sentence under Ballot Measure 11 (1994), for crime other than murder, who has not been previously sentenced under measure is eligible for reduction in sentence for appropriate institutional behavior and participation in certain programming unless otherwise ordered by court for substantial and compelling reasons.","Provides that person sentenced to mandatory minimum sentence under Ballot Measure 11 (1994), for crime other than murder, who has not been previously sentenced under measure is eligible for reduction in sentence for appropriate institutional behavior and participation in certain programming unless otherwise ordered by court for substantial and compelling reasons. Creates procedure by which sentencing court may enter supplemental judgment authorizing persons currently serving sentences under Ballot Measure 11 (1994) who were not previously sentenced under measure to be eligible for reduction in sentence for appropriate institutional behavior and participation in certain programming. Takes effect on 91st day following adjournment sine die.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0320
SB0321,2023R1,1792,Chapter Number Assigned,No revenue impact,Fiscal impact issued,crime; and declaring an emergency,368,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Creates process by which person convicted or found guilty except for insanity as result of nonunanimous jury verdict may file petition for post-conviction relief at any time before December 30, 2024.","Creates process by which person convicted or found guilty except for insanity as result of nonunanimous jury verdict may file petition for post-conviction relief at any time before December 30, 2024. Creates procedure by which person with post-conviction relief petition on appeal on effective date of Act may proceed under process. Directs court to instruct jury concerning certain unavailable evidence if conviction is vacated and case is retried. <i>Appropriates moneys to Emergency Board for allocation to Department of Justice for expenses of district attorney offices resulting from creation of process and retrial of vacated convictions.</i>] Sunsets on January 2, 2026. Declares emergency, effective on passage.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0321
SB0322,2023R1,1972,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",public defense; declaring an emergency,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Transfers Public Defense Services Commission from judicial to executive branch.,"Transfers Public Defense Services Commission from judicial to executive branch. Modifies appointment and removal process for and qualifications of commission members. Declares emergency, effective on passage.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0322
SB0323,2023R1,1987,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the waiver of juveniles for crimes related to motor vehicles,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Department of Justice to study automatic waiver to adult court of juveniles for crimes related to use of motor vehicles, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Department of Justice to study automatic waiver to adult court of juveniles for crimes related to use of motor vehicles, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0323
SB0324,2023R1,2048,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",public defense; declaring an emergency,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Modifies appointment and removal process for members of Public Defense Services Commission.,"Modifies appointment and removal process for members of Public Defense Services Commission. Modifies powers and duties of commission. Directs commission to establish and implement specified minimum standards, policies, guidelines and procedures. Directs justice and municipal courts to report every two years to commission and interim committees of Legislative Assembly related to judiciary concerning appointment of counsel in court. Declares emergency effective on passage.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0324
SB0325,2023R1,2229,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the effects on adjudicated persons of adjudications for criminal acts,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Prohibits licensing board, commission or agency from denying, suspending or revoking occupational or professional license solely for reason that applicant or licensee was convicted of crime or subject to qualifying juvenile adjudication that does not substantially relate to specific duties and responsibilities for which license is required.","Prohibits licensing board, commission or agency from denying, suspending or revoking occupational or professional license solely for reason that applicant or licensee was convicted of crime or subject to qualifying juvenile adjudication that does not substantially relate to specific duties and responsibilities for which license is required. Specifies criteria for determining whether crime substantially relates to specific duties and responsibilities for which license is required. Specifies additional restrictions on licensing board's, commission's or agency's power to deny occupational or professional license. Permits person convicted of crime to petition licensing board, commission or agency at any time for determination as to whether conviction will prevent person from receiving occupational or professional license. Permits licensing board, commission or agency to charge reasonable fee for determination. Provides that final determination is binding upon licensing board, commission or agency unless, at time of petition, person has charges pending, failed to disclose previous crime or was convicted of crime after submitting petition. Requires notice to person before final determination that conviction will result in denial of occupational or professional license. Specifies additional rights of person and additional notice requirements. Prohibits employer, state agency or licensing board from taking certain actions on basis of record created or maintained under jurisdiction of juvenile court. Specifies exemptions. Provides that adjudication that youth is within jurisdiction of juvenile court does not forfeit any right or privilege or operate as disqualification from holding public office or pursuing or engaging in lawful activity, occupation, profession or calling. Provides that information about act committed by youth or adjudicated youth may be disclosed to victim of act and to and among law enforcement unit, district attorney, county juvenile authority and certain other entities.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0325
SB0326,2023R1,2250,Chapter Number Assigned,Has minimal revenue impact,Fiscal impact issued,cannabis; and declaring an emergency,209,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires owner of real property where site of unlawful manufacture of marijuana or unlawful production of marijuana is located to clean up waste from site upon receipt of notification from law enforcement agency.,"Requires owner of real property where site of unlawful manufacture of marijuana or unlawful production of marijuana is located to clean up waste from site upon receipt of notification from law enforcement agency. Provides that failure to timely complete cleanup is public nuisance. Authorizes local government to take certain actions to abate public nuisance, including filing claim of lien against real property. Prohibits use of water at location not licensed or registered for growing of cannabis. Allows Water Resources Commission to impose civil penalty for violation. Punishes by maximum of 364 days' imprisonment, $6,250 fine, or both. Allows use of mobile tracking device and pen register and law enforcement interception of oral communications in specified circumstances. Increases penalties for possession or manufacture of marijuana in specified quantities. Creates crimes of marijuana offense involving reckless unlawful conduct and marijuana offense involving knowing unlawful conduct. Punishes by maximum of 10 years' imprisonment, $250,000 fine, or both. Repeals sunset on provisions related to unlawful production of marijuana. Declares emergency, effective on passage.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0326
SB0327,2023R1,2289,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the status of district attorneys in the Public Employees Retirement System,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation for Oregon District Attorneys Association),Provides that district attorneys and deputy district attorneys qualify as police officers under Public Employees Retirement System.,Provides that district attorneys and deputy district attorneys qualify as police officers under Public Employees Retirement System.,https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0327
SB0328,2023R1,2295,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",witness unavailability,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Department of Justice to study issues related to witness unavailability, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Department of Justice to study issues related to witness unavailability, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0328
SB0329,2023R1,2304,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",Public Defense Services Commission,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation for Public Defense Services Commission),Authorizes Public Defense Services Commission to award grants for purpose of carrying out duties of commission.,Authorizes Public Defense Services Commission to award grants for purpose of carrying out duties of commission.,https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0329
SB0330,2023R1,2365,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",tribes,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon Department of Administrative Services to study Indian tribes.,"Requires Oregon Department of Administrative Services to study Indian tribes. Directs department to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0330
SB0331,2023R1,2366,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",liens,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires State Court Administrator to study liens.,"Requires State Court Administrator to study liens. Directs State Court Administrator to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0331
SB0332,2023R1,2373,In Senate Committee,Revenue impact issued,Fiscal impact issued,behavioral health,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon Health Authority to study access to behavioral health treatment in rural and medically underserved areas of this state.,"Requires Oregon Health Authority to study access to behavioral health treatment in rural and medically underserved areas of this state. Directs authority to submit findings to interim committees of Legislative Assembly related to health not later than September 15, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0332
SB0333,2023R1,2374,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the Public Defense Services Commission,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Public Defense Services Commission to study ways to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Public Defense Services Commission to study ways to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0333
SB0334,2023R1,2378,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the Public Defense Services Commission,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Public Defense Services Commission to study ways to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Public Defense Services Commission to study ways to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0334
SB0335,2023R1,2379,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the office of public defense services,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Public Defense Services Commission to study whether changes to office of public defense services are needed to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Public Defense Services Commission to study whether changes to office of public defense services are needed to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0335
SB0336,2023R1,2381,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the office of public defense services,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Public Defense Services Commission to study whether changes to office of public defense services are needed to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Public Defense Services Commission to study whether changes to office of public defense services are needed to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0336
SB0337,2023R1,2383,Chapter Number Assigned,No revenue impact,Budget report issued,public defense; and declaring an emergency,281,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Establishes Oregon Public Defense Commission within judicial branch.,"Establishes Oregon Public Defense Commission within judicial branch. Specifies appointment process for and qualification of commission members and duties of executive director and commission. Abolishes Public Defense Services Commission and transfers duties, functions and powers of commission to Oregon Public Defense Commission. Transfers Oregon Public Defense Commission to executive branch effective January 1, 2025. Provides that Governor appoints executive director of commission, and executive director and commission members serve at pleasure of Governor until July 1, 2027. Directs Oregon Department of Administrative Services to issue state public defense population forecasts. Directs Oregon Public Defense Commission to conduct survey and economic analysis to calculate minimum hourly pay for appointed counsel who are not employed by commission for contracts entered beginning July 1, 2027. Specifies required percentage of trial-level appointed counsel who must be employees of commission by January 1, 2031, and January 1, 2035. Effective July 1, 2025, directs commission to establish panel of qualified counsel who may be directly assigned to cases. Specifies types of contracts commission may enter into for purposes of providing public defense services. Provides that commission members appoint executive director of commission beginning July 1, 2027. Directs Oregon Public Defense Commission to provide, to interim committees of Legislative Assembly related to judiciary, no later than May 15, 2024, comprehensive report on plan for providing public defense services. Directs commission to provide updated report on December 1, 2025, December 1, 2026, and December 1, 2027, and biennially thereafter until January 2, 2036. <b>Directs presiding judge of each judicial district to develop and implement coordinated public safety unrepresented defendant crisis plan, and submit plan to Oregon Criminal Justice Commission, by September 1, 2023. Directs presiding judge of judicial district of certain population to convene crisis team to assist in developing and implementing plan. Directs Public Defense Services Commission to promulgate and disseminate guidance on crisis plans by August 15, 2023, develop training plan concerning unrepresented defendant crisis by September 1, 2023, and report to committees of Legislative Assembly by October 1, 2023. Directs Oregon Criminal Justice Commission to report to committees of Legislative Assembly on crisis plan findings by October 1, 2023. Appropriates moneys to Public Defense Services Commission and Judicial Department to carry out provisions of Act.</b> Declares emergency, effective on passage.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0337
SB0338,2023R1,2384,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",public defense,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Public Defense Services Commission to study ways to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Public Defense Services Commission to study ways to improve provision of public defense services within this state, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0338
SB0339,2023R1,2385,Chapter Number Assigned,No revenue impact,Has minimal fiscal impact,crime,282,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Authorizes court to require as condition of probation completion of sex offender treatment program and submission to polygraph examinations, if recommended by probation officer and if probationer is on supervision for any sex crime or harassment involving touching of sexual or intimate parts of another person, or was previously convicted of any sex crime.","Authorizes court to require as condition of probation <i>for person convicted of harassment</i>] completion of sex offender treatment program and submission to polygraph examinations, if recommended by probation officer and if <b>probationer is on supervision for any sex crime or</b> harassment <i>involved</i>]<b> involving</b> touching of sexual or intimate parts of another person<b>, or was previously convicted of any sex crime</b>.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0339
SB0340,2023R1,2388,Chapter Number Assigned,No revenue impact,Fiscal impact issued,crime,151,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Modifies when venue is proper for property offenses committed against same victim within 180 days.,"<i>Directs Oregon Criminal Justice Commission to study recidivism rates of persons convicted of felony property crimes, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.</i>] <b>Modifies when venue is proper for property offenses committed against same victim within 180 days. Provides that trial may be held in any county in which one offense was committed. Establishes presumptive sentence of 24 months' imprisonment for crime of organized retail theft if person has certain previous conviction or convictions. Provides that organized retail theft may be used as predicate offense for other presumptive sentences for property crimes. Provides that person commits crime of theft in the first degree if, during commission of theft, person recklessly engages in conduct that creates substantial risk of serious physical injury to another person. Increases time period, from 90 days to 180 days, within which value of merchandise may be aggregated to qualify as element of crime of organized retail theft. Modifies when value of single theft transactions may be added together for purposes of determining degree of theft charged.</b> <i>Sunsets January 2, 2025.</i>].",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0340
SB0341,2023R1,2393,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",courts,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires State Court Administrator to study courts.,"Requires State Court Administrator to study courts. Directs State Court Administrator to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0341
SB0342,2023R1,2395,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",courts,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires State Court Administrator to study courts.,"Requires State Court Administrator to study courts. Directs State Court Administrator to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0342
SB0343,2023R1,2396,Chapter Number Assigned,Has minimal revenue impact,Has minimal fiscal impact,driving privileges,176,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Clarifies that ""incarceration"" means confinement in Department of Corrections institution for purposes of certain driving privilege revocations and suspensions.","<i>Directs Department of Transportation to study issues related to driving privileges and to report to appropriate committee or interim committee of Legislative Assembly on or before September 15, 2024.</i>] <i>Sunsets January 2, 2025.</i>] <b>Clarifies that ""incarceration"" means confinement in Department of Corrections institution for purposes of certain driving privilege revocations and suspensions.</b>",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0343
SB0344,2023R1,2399,Chapter Number Assigned,No revenue impact,Fiscal impact issued,criminal justice,572,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Extends sunset of certain provisions originating in House Bill 3194 (2013), consisting of Justice Reinvestment Program, sentencing reductions and limitations and reentry court, from July 1, 2024, to July 1, 2033.","<i>Directs Oregon Criminal Justice Commission to study use of technology to improve accuracy when measuring recidivism rates of persons convicted of felonies, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.</i>] <i>Sunsets January 2, 2025.</i>] <b>Extends sunset of certain provisions originating in House Bill 3194 (2013), consisting of Justice Reinvestment Program, sentencing reductions and limitations and reentry court, from July 1, 2024, to July 1, 2033.</b>",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0344
SB0345,2023R1,2403,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",privacy,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Department of Justice to study effect on privacy of use of technology in enforcement of criminal laws, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Department of Justice to study effect on privacy of use of technology in enforcement of criminal laws, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0345
SB0346,2023R1,2407,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",juveniles,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon Youth Authority to study juveniles.,"Requires Oregon Youth Authority to study juveniles. Directs authority to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0346
SB0347,2023R1,2411,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",youth,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon Youth Authority to study issues related to youth.,"Requires Oregon Youth Authority to study issues related to youth. Directs authority to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0347
SB0348,2023R1,2422,In Senate Committee,Has minimal revenue impact,Fiscal impact issued,firearms; declaring an emergency,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Modifies firearm permit provisions of Ballot Measure 114 (2022).,"<i>Directs Department of Justice to study ways to address unlawful possession of firearms, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.</i>] <i>Sunsets January 2, 2025.</i>] <b>Modifies firearm permit provisions of Ballot Measure 114 (2022). Specifies where person may apply for permit to purchase firearm and adds eligibility requirement. Provides that information obtained during application process, during criminal background check and within database of permit holders is exempt from disclosure as public record. Extends time, from 30 to 60 days from receipt of application, by which permit agent must issue permit to qualified applicant or mail reasons for denial in writing to applicant. Increases maximum fee that may be charged for initial application for and renewal of permit. Specifies portion of fee payable to Department of State Police for conducting criminal background check. Provides that permit is only valid for purchase or acquisition of certain specified firearms while permit holder is under 21 years of age. Establishes alternatives to firearms training course or class that may be used to satisfy requirement of proof of completion of firearm safety course for permit. Provides that permits are not required for firearm transfers until July 1, 2024. Establishes temporary exception to permit requirement for transfer of certain firearms until July 1, 2026. Establishes permanent exception to permit requirement for active duty law enforcement and military. <b>Requires gun dealer to allow 72 hours to elapse between receipt of unique approval number from Department of State Police, indicating successful completion of criminal background check, and transfer of firearm to purchaser. <b>Modifies affirmative defense language for large capacity magazine provisions of Ballot Measure 114 (2022). <b>Provides that challenge to legality of Act must be commenced in Circuit Court for Marion County. <b>Declares emergency, effective on passage.</b>",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0348
SB0349,2023R1,2425,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",victims,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Department of Justice to study ways to improve provision of crime victim services, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Department of Justice to study ways to improve provision of crime victim services, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0349
SB0350,2023R1,2429,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the Department of Corrections,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Department of Corrections to study availability of adult education programming within department institutions, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Department of Corrections to study availability of adult education programming within department institutions, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0350
SB0351,2023R1,2431,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the Oregon Youth Authority,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon Youth Authority to study its practices and procedures.,"Requires Oregon Youth Authority to study its practices and procedures. Directs authority to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0351
SB0352,2023R1,2443,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",the Psychiatric Security Review Board,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Psychiatric Security Review Board to study progress in developing restorative justice program, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Psychiatric Security Review Board to study progress in developing restorative justice program, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0352
SB0353,2023R1,2457,In Senate Committee,Has minimal revenue impact,Fiscal impact issued,cannabis; declaring an emergency,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Directs Oregon Liquor and Cannabis Commission to establish annual registration program and labeling requirements for industrial hemp commodity or product that contains cannabinoids and is intended for human or animal consumption.,"<i>Requires Oregon Liquor and Cannabis Commission to study cannabis. Directs commission to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.</i>]<b> Directs Oregon Liquor and Cannabis Commission to establish annual registration program and labeling requirements for industrial hemp commodity or product that contains cannabinoids and is intended for human or animal consumption. Directs commission to establish retail sale standards for industrial hemp products that contain artificially derived cannabinoids. Exempts cannabis seeds from prohibition on interstate commerce of marijuana items. Authorizes commission to adopt rules to issue temporary permit to qualified individual to perform work for or on behalf of marijuana licensee or laboratory. Modifies factors composing commercial marijuana offense. <b>Transfers oversight of marijuana research from commission to Oregon Health Authority. Prohibits authority from imposing registry identification card application or renewal fee on applicant who is under 18 years of age. Limits registry identification card application and renewal fee to $20 for applicant who receives Social Security Disability Insurance benefits. Removes limit on amount of usable marijuana that marijuana grow site may transfer to marijuana processor or marijuana wholesaler licensed by commission. Allows marijuana grow site to transfer usable marijuana to any registry identification cardholder. Increases marijuana possession limits for registry identification cardholder. <b>Declares emergency, effective on passage.</b>",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0353
SB0354,2023R1,2459,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",illegal cannabis operations,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon Liquor and Cannabis Commission to study illegal cannabis operations.,"Requires Oregon Liquor and Cannabis Commission to study illegal cannabis operations. Directs commission to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0354
SB0355,2023R1,2460,Chapter Number Assigned,No revenue impact,No fiscal impact,attorneys,177,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Provides that public university is required to make annual report on use of outside counsel for legal matters available on website, rather than provide report to Attorney General.","<i>Requires Oregon State Bar to study attorneys. Directs Oregon State Bar to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.</i>] <b>Provides that public university is required to make annual report on use of outside counsel for legal matters available on website, rather than provide report to Attorney General. Repeals requirement for Attorney General to report to committee or interim committee of Legislative Assembly on use of outside counsel by public universities.</b>",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0355
SB0356,2023R1,2463,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",attorneys,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon State Bar to study attorneys.,"Requires Oregon State Bar to study attorneys. Directs Oregon State Bar to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0356
SB0357,2023R1,2464,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",sex offenders,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),"Directs Oregon Criminal Justice Commission to study effect of sentencing types on recidivism rates of sex offenders, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024.","Directs Oregon Criminal Justice Commission to study effect of sentencing types on recidivism rates of sex offenders, and to provide results of study to interim committees of Legislative Assembly no later than December 31, 2024. Sunsets January 2, 2025.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0357
SB0358,2023R1,2468,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",evidence,,False,,,(at the request of Senate Interim Committee on Judiciary and Ballot Measure 110 Implementation),Requires Oregon State Bar to study rules of evidence.,"Requires Oregon State Bar to study rules of evidence. Directs Oregon State Bar to submit findings to interim committees of Legislative Assembly related to judiciary not later than September 15, 2024.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0358
