bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SR 131,78R,Commending Brian Kollister of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); KOLLISTER, BRIAN (N0268)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR131
SR 138,78R,Commending Laura Fisher of Houston for her selection as a 2003 Prudential Spirit of Community Awards honoree.,"Resolutions--Congratulatory & Honorary (I0705); FISHER, LAURA (N0283)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR138
SR 143,78R,Commending Ryan Lasater Derong of Katy for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); DERONG, RYAN LASATER (N0303)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR143
SR 165,78R,Commending Matt Clements of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); CLEMENTS, MATT (N0321)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR165
SR 257,78R,Commending Joshua C. Gibson of Humble for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); GIBSON, JOSHUA C. (N0433)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR257
SR 258,78R,Commending Timothy Slaughter Rogers of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); ROGERS, TIMOTHY SLAUGHTER (N0434)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR258
SR 259,78R,Commending Alan Wayne Smith of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); SMITH, ALAN WAYNE (N0435)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR259
SR 260,78R,Commending Justin Wayne Allen of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); ALLEN, JUSTIN WAYNE (N0468)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR260
SR 261,78R,Commending Christopher Lee Rogers of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); ROGERS, CHRISTOPHER LEE (N0436)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR261
SR 269,78R,Commending Nicholas Andrew Fruth of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); FRUTH, NICHOLAS ANDREW (N0479)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR269
SR 270,78R,Congratulating Krahn Elementary School in Spring on its 20th anniversary.,KRAHN ELEMENTARY SCHOOL (E0284); Resolutions--Congratulatory & Honorary (I0705),Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR270
SR 309,78R,Commending Justin Adam Betz for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); BETZ, JUSTIN ADAM (N0519)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR309
SR 311,78R,Congratulating Charlene Serrette of Katy for receiving a 2003 Texas Excellence Award for Outstanding Teachers.,"Resolutions--Congratulatory & Honorary (I0705); SERRETTE, CHARLENE (N0529)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR311
SR 325,78R,Commending Paul Ersan for his participation as an Empowering Teen Leader in Government in Action.,"Resolutions--Congratulatory & Honorary (I0705); ERSAN, PAUL (N0555)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR325
SR 326,78R,Commending Penny Garza for her commitment to civic participation.,"Resolutions--Congratulatory & Honorary (I0705); GARZA, PENNY (N0556)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR326
SR 350,78R,Congratulating Christopher William Johnson of Spring for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); JOHNSON, CHRISTOPHER WILLIAM (N0638)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR350
SR 414,78R,"Commending Susan Jeske of Littleton, Colorado, for her service to young people.","Resolutions--Congratulatory & Honorary (I0705); JESKE, SUSAN (N0753)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR414
SR 415,78R,Recognizing Nimitz High School in Houston for participating in Students Against Violence Day.,NIMITZ SMITH HIGH SCHOOL (E0293); Resolutions--Congratulatory & Honorary (I0705),Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR415
SR 426,78R,Commending Daniel Fast of Katy for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); FAST, DANIEL (N0817)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR426
SR 429,78R,Commending John Thomas Appel of Houston for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); APPEL, JOHN THOMAS (N0818)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR429
SR 443,78R,Congratulating Klein Forest High School in Klein for its selection as a Blue Ribbon School.,KLEIN FOREST HIGH SCHOOL (E0298); Resolutions--Congratulatory & Honorary (I0705),Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR443
SR 558,78R,"Recognizing April 9, 2003, as County Government Day at the State Capitol.",COUNTY GOVERNMENT DAY (H9132); Resolutions--Official Designations--Special Dates (I0721),Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR558
SR 612,78R,"Commending the Children's Advocacy Centers of Texas, Incorporated, and recognizing April, 2003, as Child Abuse Prevention Month.","CHILD ABUSE PREVENTION MONTH (H0518); Resolutions--Congratulatory & Honorary (I0705); Resolutions--Official Designations--Special Dates (I0721); CHILDREN'S ADVOCACY CENTERS OF TEXAS, INCORPORATED (N1197)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR612
SR 667,78R,Congratulating John W. Klein on his 63rd birthday.,"Resolutions--Congratulatory & Honorary (I0705); KLEIN, JOHN W. (N1318)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR667
SR 668,78R,"Recognizing April 29, 2003, as Katy Day at the State Capitol.",KATY DAY (H0407); Resolutions--Official Designations--Special Dates (I0721),Lindsay,Janek,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR668
SR 771,78R,Congratulating W. W. Thorne for his selection for an Aldine Community Star Award.,"Resolutions--Congratulatory & Honorary (I0705); THORNE, W. W. (N1572)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR771
SR 772,78R,Commending Dane Regnier Classen of Spring for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); CLASSEN, DANE REGNIER (N1573)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR772
SR 773,78R,"Commending David William Ning of Woodland Hills, California, for achieving the rank of Eagle Scout.","Resolutions--Congratulatory & Honorary (I0705); NING, DAVID WILLIAM (N1574)",Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR773
