bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SR 23,811,Recognizing the Immaculate Conception Cathedral in Brownsville on the occasion of its sesquicentennial celebration.,Resolutions--Congratulatory & Honorary (I0705); IMMACULATE CONCEPTION CATHEDRAL (N1674),"Lucio; Averitt; Carona; Davis, Wendy; Deuell; Duncan; Ellis; Eltife; Estes; Fraser; Gallegos; Harris; Hegar; Hinojosa; Huffman; Jackson, Mike; Nelson; Nichols; Ogden; Patrick, Dan; Seliger; Shapiro; Shapleigh; Uresti; Van de Putte; Watson; Wentworth; West; Whitmire; Williams; Zaffirini",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR23
SB 1,811,Relating to certain sources of revenue for the funding of highways and transportation projects.,"Highways (I0390); State Finances--Appropriations (I0746); State Finances--Management & Control (I0748); Taxation--Motor Fuels (I0809); Transportation--Miscellaneous (I0824); BONDS (S6060); TRANSPORTATION COMMISSION, TEXAS (V0040)",Carona,Wentworth,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SB1
SR 15,811,"Congratulating Kenneth Obinna Ekeh and Melanie Desiree Ekeh on the birth of their daughter, Meadow Adaugo Ekeh.","Resolutions--Congratulatory & Honorary (I0705); EKEH, KENNETH OBINNA & MELANIE DESIREE (N1659); EKEH, MEADOW ADAUGO (N1660)","Davis, Wendy",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR15
SR 27,811,Congratulating Gabriella Ahbee Orton for winning first place in the National Braille Challenge.,"Resolutions--Congratulatory & Honorary (I0705); ORTON, GABRIELLA AHBEE (N1679)","Davis, Wendy",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR27
SR 31,811,In memory of Louis Avery Sinclair of Lubbock.,"Resolutions--Memorial (I0710); SINCLAIR, LOUIS AVERY (N1685)",Duncan,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR31
SB 10,811,Relating to the use of eminent domain authority.,Common Carriers (I0070); Fees & Other Nontax Revenue--Local (I0361); Highways (I0390); Property Interests--Eminent Domain (I0615); Property Interests--Real Property (I0595); Utilities--Water & Sewer (I0002); TRUTH IN CONDEMNATION PROCEDURES ACT (P0492); CONDEMNATION (S0063),Estes,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SB10
SR 28,811,Recognizing the Children's Advocacy Center of Denton County on the occasion of the grand opening of its new facility.,Resolutions--Congratulatory & Honorary (I0705); CHILDREN'S ADVOCACY CENTER OF DENTON COUNTY (N1684),Harris; Estes; Nelson,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR28
SJR 1,811,Proposing a constitutional amendment authorizing the governor to grant a posthumous pardon for actual innocence.,"Corrections--Parole, Probation & Pardons (I0093); Criminal Procedure--General (I0208); Governor (I0375); Resolutions--Constitutional Amendments (I0661); PARDONS & PAROLES, BOARD OF (V6037)",Ellis,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SJR1
SR 21,811,Commending Jean Moffett Dendy for her service in the office of Senator Rodney Ellis.,"Resolutions--Congratulatory & Honorary (I0705); DENDY, JEAN MOFFETT (N1672)",Ellis,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR21
SB 2,811,Relating to the governmental entities subject to the sunset review process.,"State Agencies, Boards & Commissions (I0749); Sunset Bills (I0772)",Hegar; Hinojosa,,Isett,,State Affairs,Out of committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SB2
SB 12,811,Relating to the creation of the Calhoun County Groundwater Conservation District.,CALHOUN COUNTY GROUNDWATER CONSERVATION DISTRICT (D0976); Special Districts & Authorities--Groundwater Conserve Dist. (I0013); Special Districts & Authorities--Water & Utility (I0755),Hegar,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SB12
SB 13,811,Relating to an employee's transportation and storage of certain firearms or ammunition while on certain property owned or controlled by the employee's employer.,Labor--General (I0500); Labor--Management Relations (I0465); Weapons (I0887); CONCEALED HANDGUNS (S0241),Hegar,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SB13
SB 14,811,Relating to the continuation of the Texas Department of Transportation and the functions of that department and of the Texas Department of Motor Vehicles; providing penalties.,"Highways (I0390); Sunset Bills (I0772); Transportation--Miscellaneous (I0824); Vehicles & Traffic--General (I0865); MOTOR VEHICLES, TEXAS DEPARTMENT OF (V0812); TRANSPORTATION LEGISLATIVE OVERSIGHT COMMITTEE (V0845); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",Hegar,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SB14
SB 15,811,Relating to the postemployment activities of certain local government officers in certain counties; providing a penalty.,County Government--Employees/Officers (I0095); Ethics (I0345),Gallegos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SB15
SR 24,811,Recognizing Robert King Hillier on the occasion of his 50th birthday.,"Resolutions--Congratulatory & Honorary (I0705); HILLIER, ROBERT KING (N1676)",Gallegos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR24
SR 16,811,"Congratulating Elbert ""Lum"" Wright for being inducted into the Rio Grande Valley Sports Hall of Fame.","Resolutions--Congratulatory & Honorary (I0705); WRIGHT, ELBERT ""LUM"" (N1661)",Hinojosa,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR16
SR 19,811,Commending William Walker Gilbert for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); GILBERT, WILLIAM WALKER (N1670)",Huffman,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR19
SR 20,811,Commending Patrick Cardillo for achieving the rank of Eagle Scout.,"Resolutions--Congratulatory & Honorary (I0705); CARDILLO, PATRICK (N1671)",Huffman,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR20
SR 30,811,In memory of Henry Canales.,"Resolutions--Memorial (I0710); CANALES, HENRY (N1681)",Huffman,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR30
SR 3,811,Recognizing the International Order of Alhambra on the occasion of its 105th anniversary.,Resolutions--Congratulatory & Honorary (I0705); INTERNATIONAL ORDER OF ALHAMBRA (N1649),Lucio,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR3
SR 4,811,Commending Tim Hull for his achievements as a maker of hand-crafted Texas knives.,"Resolutions--Congratulatory & Honorary (I0705); HULL, TIM (N1312)",Lucio,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR4
SR 5,811,Congratulating Gregory Aymond of Austin for his appointment as Archbishop of New Orleans.,"Resolutions--Congratulatory & Honorary (I0705); AYMOND, GREGORY (N1650)",Lucio,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR5
SR 6,811,In memory of John Reney of Brownsville.,"Resolutions--Memorial (I0710); RENEY, JOHN (N1651)",Lucio,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=SR6
