bill_id,term,session,short_title,attributes,keywords,commem
HB0429,2023_2024,2023-RS,Make Street Takeovers Unlawful.,Public,"courts, crimes, criminal procedure, fines & penalties, infrastructure, motor vehicles, property, public, racing, roads & highways, sentencing, sports, transportation, traffic offenses, seized & forfeited property",0
HB0430,2023_2024,2023-RS,Governor's Budget.,Public; Contains Appropriations; Contains Local Appropriations,"admin. hearings office, administration dept., adoption, agricultural finance authority, agricultural waste, agriculture, agriculture dept., alcoholic beverages, aoc, appropriations, aquaculture, armed forces, arts, attorneys, auditing & audits, authorities, aviation, banking comn., banks, bicycles, biotechnology, boards, budget & management office, budgeting, capital spending, cemeteries, child custody, child support, children with special needs, cjrs, coastal resources, colleges & universities, commerce, commerce dept., commissions, committees, community colleges, community colleges office, community development, computers, controlled substances, corporations, for-profit, corporations, nonprofit, correctional institutions, cost-of-living, council of state, counseling, counties, court clerks, court of appeals, courts, criminal records, cultural resources, natural & cultural resources dept., dams, data & records systems, day care, death & dying, death benefits, definitions, deq, dhhs, disabled persons, disasters & emergencies, district court, divorce, dmv, economic development, education, education administration, education assistance authority, education boards, education cabinet, education, state board of, elections, elections, state board of, elementary education, emergency management, emergency services, emerging technologies, employment, environment, exhibitions, fees, ferries, financial institutions, fines & penalties, firefighters & firefighting, fish & wildlife, fisheries, fisheries products, foods & beverages, forest products, forestry, foster care, fuels, funding, funds & accounts, gaming, general assembly, governor, grants, guardianship, hazardous substances, hazardous waste, health depts., health services, higher education, highway trust fund, home health care, housing, housing finance agency, id systems, indigents, industrial comn., industrial location, information technology, infrastructure, insurance, insurance dept., insurance, health, insurance, life, insurance, unemployment, judges, judgments & settlements, judicial dept., justice dept., kindergarten, labor dept., lakes & rivers, law enforcement, law enforcement officers, ldc, licenses & permits, licensing & certification, literacy, local government, lottery, lrs, lt. governor, magistrates, managed care, manufacturing, medicaid, medical examiners, mental health, minorities, minors, motor vehicles, municipalities, museums, nurses & nursing, nutrition, occupations, osh, parks & recreation areas, parole comn., parole & probation, personnel, pharmaceuticals, pilot programs, planning & zoning, ports, ports authority, poverty, pregnancy, principals, inmates, private schools, property, public, public defenders, public health, public instruction dept., public instruction, supt. of, public officials, reporting, reports, rescue squads, retailing, retirement, revenue dept., roads & highways, rural development, safety, salaries & benefits, stem, secondary education, secretary of state, sentencing, social services, social services comn., solid waste, special economic zones, state auditor, state controller, state employees, state treasurer, storage systems, storage tanks, supreme court, taxation, taxes, corporate income, taxes, fuel, taxes, sales & use, teachers, telecommunications, telephones, timber, tires, tobacco, toll roads & bridges, transportation, transportation dept., travel & tourism, tribes & tribal government, tsers, tuition, unc, unc board of governors, unemployment, utilities, utilities comn., veterans, vocational rehabilitation, waste management, water & sewer systems, water resources, wildlife resources comn., women, work safety, lottery comn., lottery fund, district attorneys, brunswick county, edgecombe county, nash county, wilson county, records, highway fund, halifax county, clay county, substance abuse, haywood county, cherokee county, graham county, jackson county, swain county, hertford county, alexander county, taxes, highway use, iredell county, randolph county, bertie county, macon county, alamance county, turnpike authority board, superior court, biotechnology center, northampton county, golden l.e.a.f, inc., indigent defense services office, electronic signatures, alternative education, labor commissioner, agriculture commissioner, insurance commissioner, scholarships & financial aid, canton, firemens pension fund, chief justice, early childhood education, government employees, leave, lmes-mcos, ngos, pension & retirement funds, tobacco products, public safety dept., abc comn., newborns & infants, commissioner of banks, board of review, vouchers, family issues, mobile phones & devices, human resources office, information technology dept., military affairs dept., capital & infrastructure fund, unc system office, ahec, food & nutrition programs, school of science & math, school of the arts, seized & forfeited property, teaching fellows comn., school staff, adult correction dept., appliances & electronics, 911 board, residential schools",0
HB0431,2023_2024,2023-RS,New Architect Recruitment Act.,Public; Text has changed,"architects & architecture, architecture board, boards, budgeting, education, funding, licensing & certification, occupations, professional education, public",0
HB0432,2023_2024,2023-RS,Principal Licensure Changes.,Public; Text has changed; Requests Study,"boards, education, education administration, education, state board of, elementary education, employment, licensing & certification, occupations, presented, principals, professional education, public, ratified, reports, secondary education, studies, chaptered",0
HB0433,2023_2024,2023-RS,Hand Hygiene Pilot Program.,Public; Contains Appropriations; Contains Local Appropriations; Requests Study,"appropriations, budgeting, dhhs, health services, pilot programs, public, public health",0
HB0434,2023_2024,2023-RS,National Inst. of Minority Eco. Dev. Funding.,Public; Contains Appropriations; Contains Local Appropriations; Requests Study,"appropriations, budgeting, commerce, corporations, for-profit, corporations, nonprofit, counties, economic development, minorities, municipalities, public, small business, women, nash county, rocky mount, ngos",0
HB0435,2023_2024,2023-RS,Bulkhead Authority for Carolina Beach.,Local; Uncodified,"administrative code, administrative rules, coastal resources, counties, deq, environment, local, local government, municipalities, planning & zoning, property, new hanover county, carolina beach, beach erosion, erosion structures, local ordinances",0
HB0436,2023_2024,2023-RS,Permanent Plates for Water & Sewer Authority.,Public,"authorities, dmv, infrastructure, license plates, licenses & permits, motor vehicles, public, utilities, water & sewer systems, motor fleet",0
HB0437,2023_2024,2023-RS,Town of Greenville Bulkhead Repair/Funds.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, coastal resources, construction, counties, emergency services, local government, municipalities, public, greenville, pitt county, beach erosion, erosion structures, public safety dept.",0
HB0438,2023_2024,2023-RS,Franklin/Granville Recognized Common Boundary.,Local; Text has changed; Roll Call; Uncodified,"counties, geography, local, ratified, surveyors & surveying, granville county, franklin county, chaptered, geographic boundaries",0
HB0439,2023_2024,2023-RS,RBG Act.,Public,"abortion, health services, hospitals, insurance, insurance, health, local government, midwifery, nurses & nursing, occupations, physicians, pregnancy, public, public health, women",0
HB0440,2023_2024,2023-RS,Direct Care Work Wage Increases/Innov. Waiver.,Public; Contains Appropriations; Contains Local Appropriations; Uncodified,"dhhs, employment, health services, insurance, health, medicaid, personnel, poverty, public, salaries & benefits, social services",0
HB0441,2023_2024,2023-RS,Clarify Animal Welfare Act.,Local,"animals, commerce, corporations, for-profit, definitions, domestic animals, local, small business, animal welfare",0
HB0442,2023_2024,2023-RS,UI Drug Testing Requirements/Funds.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, commerce, commerce dept., controlled substances, drug & alcohol testing, employment, insurance, insurance, unemployment, public, taxation, testing, unemployment",0
HB0443,2023_2024,2023-RS,Renewable Energy Tax Credit.,Public,"corporations, for-profit, corporations, nonprofit, electricity generation & distribution, infrastructure, investments, public, tax credits, taxation, taxes, corporate income, utilities, sunsets, alternative energy",0
HB0444,2023_2024,2023-RS,Substance Use Disorder/Update Language.,Public; Uncodified,"commissions, general statutes, general statutes comn., public, public health, substance abuse",0
HB0445,2023_2024,2023-RS,Open Meetings Changes.,Public; Text has changed,"notification, public, public meetings, public records, records",0
HB0446,2023_2024,2023-RS,Expedite Surplus Prop./Educational Orgs.,Public,"corporations, nonprofit, education, higher education, private schools, property, public, surplus property",0
HB0447,2023_2024,2023-RS,Clarify Motor Vehicle Dealer Laws.,Public; Text has changed,"commerce, conservation, consumer protection, economic development, electronic commerce, franchises, fuels, information technology, infrastructure, internet, motor vehicles, presented, public, ratified, retailing, rural development, telecommunications, teleservices, transportation, warranties, alternative fueled vehicles, chaptered, alternative energy, charging stations (ev)",0
HB0448,2023_2024,2023-RS,Various Motor Vehicle Law Revisions.,Public,"commerce, fines & penalties, franchises, licenses & permits, manufacturing, motor vehicles, notification, public, retailing, transportation",0
HB0449,2023_2024,2023-RS,Certain Beach Towns/Navigable Waters.,Local,"counties, local, local government, municipalities, property, transportation, onslow county, pender county, north topsail beach, topsail beach, surf city, boats & watercraft, local ordinances, abandoned property",0
HB0450,2023_2024,2023-RS,Pharmacist Provided Health Care Services.,Public,"health services, insurance, insurance, health, occupations, pharmaceuticals, pharmacists & pharmacies, public",0
HB0451,2023_2024,2023-RS,Noncontiguous Expansion of MSDs.,Public; Roll Call,"annexation, city councils, local government, municipalities, planning & zoning, public",0
HB0452,2023_2024,2023-RS,Franklin Co. Bd. of Ed. Election Method.,Local; Text has changed,"boards, counties, education, education boards, elections, elementary education, kindergarten, local, local government, ratified, secondary education, session laws, franklin county, chaptered",0
HB0453,2023_2024,2023-RS,Cabarrus County Bd Commissioner/Vacancies.,Local; Text has changed,"counties, county commissioners, court clerks, courts, information technology, internet, local, local government, public meetings, public officials, ratified, telecommunications, teleservices, title change, chaptered, electronic government, cabarrus county, teleconferencing, vacancies",0
HB0454,2023_2024,2023-RS,Concord/Distribution of ABC Net Profits.,Local; Text has changed,"alcoholic beverages, boards, budgeting, counties, emergency services, funding, law enforcement, local, local government, municipalities, session laws, concord, cabarrus county, abc boards",0
