bill_number,session,chamber,action_date,action,journal_page,action_note,chamber_order
HF5371,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13313,Intro,1
HF5370,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Economic Development Finance and Policy",13313,Intro,1
HF5369,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Transportation Finance and Policy",13313,Intro,1
HF5368,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Public Safety Finance and Policy",13313,Intro,1
HF5367,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Taxes",13313,Intro,1
HF5366,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Agriculture Finance and Policy",13312,Intro,1
HF5365,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Workforce Development Finance and Policy",13312,Intro,1
HF5364,2023_RS,House,2024-04-15,"Introduction and first reading, referred to State and Local Government Finance and Policy",13312,Intro,1
HF5363,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Workforce Development Finance and Policy",13158,Intro,1
HF5363,2023_RS,House,2024-04-25,"Committee report, to adopt as amended and re-refer to Judiciary Finance and Civil Law",14629a,,2
HF5363,2023_RS,House,2024-04-25,"Joint rule 2.03, Deadlines, re-referred to Rules and Legislative Administration",14631,,3
HF5363,2023_RS,House,2024-04-29,"Committee report, to adopt and re-refer to Judiciary Finance and Civil Law",15197,,4
HF5363,2023_RS,House,2024-04-29,Joint rule 2.03 waived,15197,,5
HF5363,2023_RS,House,2024-04-30,"Committee report, to adopt and re-refer to Commerce Finance and Policy",15292,,6
HF5363,2023_RS,House,2024-05-02,"Committee report, to adopt as amended and re-refer to Ways and Means",15482a,,7
HF5363,2023_RS,House,2024-05-13,"Committee report, to adopt as amended",16472a,,8
HF5363,2023_RS,House,2024-05-13,Second reading,16509,,9
HF5363,2023_RS,House,2024-05-13,"House rule 1.21, placed on Calendar for the Day Wednesday, May 15, 2024",16511,,10
HF5363,2023_RS,House,2024-05-15,Amended,16822a,,11
HF5363,2023_RS,House,2024-05-15,Third reading as amended,16839,,12
HF5363,2023_RS,House,2024-05-15,Bill was passed as amended,16839," vote: 69-34
",13
HF5363,2023_RS,Senate,2024-05-15,Received from House,17270,,1
HF5363,2023_RS,Senate,2024-05-15,Introduction and first reading,17271,,2
HF5363,2023_RS,Senate,2024-05-15,"Referred to Rules and Administration for comparison with SF5430, now on General Orders",,,3
HF5363,2023_RS,Senate,2024-05-17,"Comm report: Rule 45-amend, subst. General Orders SF5430",17281a,,4
HF5363,2023_RS,Senate,2024-05-17,Second reading,17281,,5
HF5362,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Capital Investment",13157,Intro,1
HF5361,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Housing Finance and Policy",13157,Intro,1
HF5360,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Capital Investment",13157,Intro,1
HF5359,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Health Finance and Policy",13157,Intro,1
HF5359,2023_RS,House,2024-04-15,Author added Norris,13533,,2
HF5358,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Environment and Natural Resources Finance and Policy",13157,Intro,1
HF5357,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Health Finance and Policy",13156,Intro,1
HF5356,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Human Services Finance",13156,Intro,1
HF5355,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Education Policy",13156,Intro,1
HF5354,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Health Finance and Policy",13156,Intro,1
HF5353,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Transportation Finance and Policy",13156,Intro,1
HF5352,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Capital Investment",13156,Intro,1
HF5351,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Capital Investment",13155,Intro,1
HF5350,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Environment and Natural Resources Finance and Policy",13155,Intro,1
HF5350,2023_RS,House,2024-04-24,Author added Skraba,14520,,2
HF5350,2023_RS,House,2024-04-26,"Committee report, to adopt as amended and re-refer to Ways and Means",15024a,,3
HF5350,2023_RS,House,2024-04-26,"Joint rule 2.03, Deadlines, re-referred to Rules and Legislative Administration",15028,,4
HF5350,2023_RS,House,2024-04-26,See HF3911,,,5
HF5349,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Education Finance",13155,Intro,1
HF5348,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Commerce Finance and Policy",13155,Intro,1
HF5348,2023_RS,House,2024-04-24,Author added Kraft,14520,,2
HF5347,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Commerce Finance and Policy",13155,Intro,1
HF5346,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Capital Investment",13155,Intro,1
HF5345,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Capital Investment",13154,Intro,1
HF5344,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Higher Education Finance and Policy",13154,Intro,1
HF5344,2023_RS,House,2024-04-15,Author added Norris,13533,,2
HF5343,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Agriculture Finance and Policy",13154,Intro,1
HF5342,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Capital Investment",13154,Intro,1
HF5341,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Transportation Finance and Policy",13154,Intro,1
HF5340,2023_RS,House,2024-04-11,"Introduction and first reading, referred to Ways and Means",13154,Intro,1
HF5339,2023_RS,House,2024-04-09,"Introduction and first reading, referred to Capital Investment",13117,Intro,1
HF5338,2023_RS,House,2024-04-09,"Introduction and first reading, referred to Labor and Industry Finance and Policy",13117,Intro,1
HF5337,2023_RS,House,2024-04-09,"Introduction and first reading, referred to Taxes",13117,Intro,1
HF5336,2023_RS,House,2024-04-09,"Introduction and first reading, referred to State and Local Government Finance and Policy",13117,Intro,1
HF5335,2023_RS,House,2024-04-09,"Introduction and first reading, referred to Taxes",13116,Intro,1
HF5334,2023_RS,House,2024-04-09,"Introduction and first reading, referred to Transportation Finance and Policy",13116,Intro,1
HF5333,2023_RS,House,2024-04-09,"Introduction and first reading, referred to Taxes",13116,Intro,1
HF5332,2023_RS,House,2024-04-09,"Introduction and first reading, referred to Capital Investment",13116,Intro,1
HF5331,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Capital Investment",13074,Intro,1
HF5330,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Capital Investment",13073,Intro,1
HF5329,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Human Services Finance",13073,Intro,1
HF5329,2023_RS,House,2024-04-15,Author added Virnig,13533,,2
HF5328,2023_RS,House,2024-04-08,"Introduction and first reading, referred to State and Local Government Finance and Policy",13073,Intro,1
HF5328,2023_RS,House,2024-04-11,Author added Kraft,13295,,2
HF5328,2023_RS,House,2024-04-11,See HF3431,,,3
HF5327,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Taxes",13073,Intro,1
HF5326,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Education Finance",13073,Intro,1
HF5325,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Economic Development Finance and Policy",13073,Intro,1
HF5324,2023_RS,House,2024-04-08,"Introduction and first reading, referred to State and Local Government Finance and Policy",13072,Intro,1
HF5323,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Economic Development Finance and Policy",13072,Intro,1
HF5322,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Health Finance and Policy",13072,Intro,1
HF5321,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Labor and Industry Finance and Policy",13072,Intro,1
HF5320,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Children and Families Finance and Policy",13072,Intro,1
HF5319,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Public Safety Finance and Policy",13072,Intro,1
HF5319,2023_RS,House,2024-04-09,Author added Zeleznikar,13120,,2
HF5319,2023_RS,House,2024-04-11,Author added Witte,13295,,3
HF5318,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Transportation Finance and Policy",13071,Intro,1
HF5317,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Health Finance and Policy",13071,Intro,1
HF5316,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Transportation Finance and Policy",13071,Intro,1
HF5315,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Capital Investment",13071,Intro,1
HF5314,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Commerce Finance and Policy",13070,Intro,1
HF5313,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Legacy Finance",13070,Intro,1
HF5312,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Capital Investment",13070,Intro,1
HF5311,2023_RS,House,2024-04-08,"Introduction and first reading, referred to State and Local Government Finance and Policy",13070,Intro,1
HF5311,2023_RS,House,2024-04-08,"See Chapter 102, Article 5, Section 12, lines 87.22 to 89.32",,,2
HF5310,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Environment and Natural Resources Finance and Policy",13070,Intro,1
HF5310,2023_RS,House,2024-04-08,See HF3911,,,2
HF5309,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Capital Investment",13070,Intro,1
HF5309,2023_RS,House,2024-04-24,Author added Hemmingsen-Jaeger,14520,,2
HF5309,2023_RS,House,2024-04-24,See HF3911,,,3
HF5308,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Children and Families Finance and Policy",13069,Intro,1
HF5308,2023_RS,House,2024-04-09,Author added Zeleznikar,13120,,2
HF5307,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Human Services Finance",13069,Intro,1
HF5306,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Capital Investment",13069,Intro,1
HF5305,2023_RS,House,2024-04-08,"Introduction and first reading, referred to Judiciary Finance and Civil Law",13069,Intro,1
HF5304,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Capital Investment",13003,Intro,1
HF5303,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Capital Investment",13003,Intro,1
HF5302,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Capital Investment",13003,Intro,1
HF5301,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Capital Investment",13002,Intro,1
HF5300,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Labor and Industry Finance and Policy",13002,Intro,1
HF5299,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Higher Education Finance and Policy",13002,Intro,1
HF5299,2023_RS,House,2024-04-24,"Committee report, to adopt as amended and re-refer to Ways and Means",14479a,,2
HF5299,2023_RS,House,2024-05-01,"Committee report, to adopt",15379,,3
HF5299,2023_RS,House,2024-05-01,Second reading,15379,,4
HF5299,2023_RS,House,2024-05-01,"House rule 1.21, placed on Calendar for the Day Friday, May 3, 2024",15385,,5
HF5299,2023_RS,House,2024-05-03,Amendments offered,15602a,,6
HF5299,2023_RS,House,2024-05-03,Motion to lay on the table,15608,,7
HF5299,2023_RS,House,2024-05-03,Motion prevailed,15608,,8
HF5299,2023_RS,House,2024-05-07,Taken from table,16076,,9
HF5299,2023_RS,House,2024-05-07,Amendments offered,16076a,,10
HF5299,2023_RS,House,2024-05-07,"Point of order raised, ruled well taken",16081,,11
HF5299,2023_RS,House,2024-05-07,Third reading,16082,,12
HF5299,2023_RS,House,2024-05-07,Bill was passed,16082," vote: 69-58
",13
HF5299,2023_RS,Senate,2024-05-09,Received from House,16527,,1
HF5299,2023_RS,Senate,2024-05-09,Introduction and first reading,16529,,2
HF5299,2023_RS,Senate,2024-05-09,"Referred to Rules and Administration for comparison with SF5326, now on General Orders",,,3
HF5299,2023_RS,Senate,2024-05-13,"Comm report: Rule 45-amend, subst. General Orders SF5326",16655a,,4
HF5299,2023_RS,Senate,2024-05-13,Second reading,16657,,5
HF5298,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Environment and Natural Resources Finance and Policy",13002,Intro,1
HF5297,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Capital Investment",13002,Intro,1
HF5296,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Workforce Development Finance and Policy",13002,Intro,1
HF5295,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Commerce Finance and Policy",13001,Intro,1
HF5295,2023_RS,House,2024-04-24,"Committee report, to adopt as amended and re-refer to Ways and Means",14453a,,2
HF5295,2023_RS,House,2024-04-24,Author added Kotyza-Witthuhn,14520,,3
HF5294,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Commerce Finance and Policy",13001,Intro,1
HF5293,2023_RS,House,2024-04-04,"Introduction and first reading, referred to Economic Development Finance and Policy",13001,Intro,1
