bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
SB1118,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),McBride (H); Baker (H); Martinez (H); Newhouse (S); Pugh (S); Hall (S),Schools; making an appropriation to the State Board of Education; directing establishment of pilot program to employ literacy instructional team. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1118&Session=2300
SB1119,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),McBride (H); Baker (H); Martinez (H); Newhouse (S); Pemberton (S); Pugh (S); Hall (S); Stephens (S),Schools; establishing minimum salary schedule; directing persons employed in certain capacities to receive salary increase. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1119&Session=2300
SB1120,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Pugh (S); Hall (S); Stephens (S),State Board of Education; requiring certain determination; providing procedure; providing limitation; and removing certain apportionments. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1120&Session=2300
SB1121,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),McBride (H); Baker (H); Deck (H); Martinez (H); Newhouse (S); Pugh (S); Hall (S),Education employees; entitling certain employees to certain amount of paid maternity leave. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1121&Session=2300
SB1122,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),State Board of Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1122&Session=2300
SB1123,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),State Board of Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1123&Session=2300
SB1124,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma State Regents for Higher Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1124&Session=2300
SB1125,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),State Regents for Higher Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1125&Session=2300
SB1126,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma State Regents for Higher Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1126&Session=2300
SB1127,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma State Regents for Higher Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1127&Session=2300
SB1128,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),State Board of Career and Technology Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1128&Session=2300
SB1129,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),State Board of Career and Technology Education; making an appropriation. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1129&Session=2300
SB1130,2023-RS,2023-02-20,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Appropriations; making an appropriation to the Oklahoma Health Care Authority. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1130&Session=2300
