bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
SB27,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Department of Mental Health and Substance Abuse Services; requiring certain transfer. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB27&Session=231X
SB28,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Deck (H); Hall (S),Higher education; authorizing the Oklahoma State Regents for Higher Education to expend certain funds for certain purposes.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB28&Session=231X
SB29,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),McBride (H); Martinez (H); Hall (S),Education; modifying required matching ratio for an early childhood pilot program for at-risk children. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB29&Session=231X
SB30,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Education; specifying apportionment of certain appropriated funds. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB30&Session=231X
SB31,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma Historical Society; providing purpose; directing certain transfer; requiring certain budget procedures.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB31&Session=231X
SB32,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Fugate (H); Hall (S),Oklahoma Health Care Authority; directing Oklahoma Health Care Authority to implement increased payment for certain long-term care and intermediate care facilities for individuals with intellectual disabilities.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB32&Session=231X
SB33,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Department of Human Services; requiring certain joint approval prior to certain actions; appropriating certain federal funds for certain program; authorizing certain transfers; providing for lapse of funds under certain conditions.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB33&Session=231X
SB34,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Sales tax exemption; requiring exemption be operative upon certain date; terminating certain calculation. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB34&Session=231X
SB35,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma Tourism and Recreation Department; requiring matching funds to be used for certain purpose; and directing amount of funds to be made available.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB35&Session=231X
SB36,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Education; specifying apportionment of certain appropriated funds. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB36&Session=231X
SB37,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Service Oklahoma; transferring and providing duties and responsibilities; directing apportionments. Effective date. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB37&Session=231X
SB38,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma State Regents for Higher Education; making an appropriation. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB38&Session=231X
SB39,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Health Care Workforce Training Commission; making an appropriation. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB39&Session=231X
SB40,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Swope (H); Hall (S),Appropriation; making an appropriation to the Department of Human Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB40&Session=231X
SB499,2023-SS1,2023-05-17,,,,,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB499&Session=231X
SB9999,2023-SS1,2023-05-16,ZTestHAuthorA (H),ZTestSAuthorA (S),,This is test bill SB9999 for 2023 First Special Session.  Please disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9999&Session=231X
SCR1,2023-SS1,2023-05-26,Echols (H),McCortney (S),,Concurrent Resolution; allowing adjournment of the Legislature for a period in excess of three days for duration of the 1st Extraordinary Session of the 59th Oklahoma Legislature.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR1&Session=231X
SCR2,2023-SS1,2023-05-26,Echols (H),McCortney (S),,Concurrent Resolution; sine die adjournment of the First Extraordinary Session of the 59th Oklahoma Legislature.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR2&Session=231X
