bill_number,session,primary_sponsor,cosponsors,status,chapter_num,shortTitle,title,bill_url
SF0074,2024-RS,Senator Cooper,Representative Winter,enrolled,CH0089,Special districts-reversal of dissolution for noncompliance.,AN ACT relating to special districts; providing a process by which special districts required to dissolve for audit report noncompliance may reinstate the special district or cease the dissolution; specifying requirements for reinstatement; making conforming amendments; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0074
SF0075,2024-RS,Water,,enrolled,CH0099,Omnibus water bill-construction.,AN ACT relating to water development projects; authorizing construction of designated water projects; describing projects; specifying terms and conditions of funding for projects; providing grants; providing appropriations; amending the sponsor's contingency fund; amending amounts and terms of appropriations for specified prior projects; repealing the sunset for the small water projects program; transferring funds from water development account I to water development account II; transferring funds from the general fund to water development accounts I and II; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0075
SF0076,2024-RS,Senator Ellis,"Representative Heiner; Representative Larson, JT; Representative Lawley; Representative Niemiec; Representative Stith; Representative Washut; Senator Biteman; Senator Brennan; Senator Landen; Senator Schuler; Senator Steinmetz",inactive,,Prostitution amendments.,AN ACT relating to crimes and offenses; amending the crimes of prostitution and solicitation of prostitution to include sexual contact; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0076
SF0077,2024-RS,Senator Nethercott,Representative Crago; Representative Henderson; Representative Niemiec; Representative Olsen; Representative Stith; Senator Barlow; Senator Kolb; Senator Salazar,enrolled,CH0072,Homeland defense-infrastructure reporting and investigating.,AN ACT relating to homeland security; requiring county clerks to report conveyances and property transactions to the office of homeland security and the division of criminal investigation as specified; requiring the designation of critical infrastructure zones; authorizing the office of homeland security and the division of criminal investigation to investigate land transactions that threaten critical infrastructure; requiring the division of criminal investigation to investigate homeland security incidents; providing definitions; making conforming amendments; providing an appropriation; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0077
SF0078,2024-RS,Minerals,,inactive,,Carbon dioxide-enhanced oil recovery stimulus.,AN ACT relating to the administration of government; providing an enhanced oil recovery stimulus for the use of carbon dioxide in enhanced oil recovery; specifying conditions and requirements for the stimulus; providing for the administration of the stimulus; creating an account; requiring reports; requiring transfers of funds; authorizing rulemaking; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0078
SF0079,2024-RS,Senator Barlow,Representative Andrew; Representative Brown; Representative Newsome; Representative Olsen; Senator Baldwin; Senator Boner; Senator Landen; Senator Nethercott,enrolled,CH0054,Malt beverage franchise agreements.,AN ACT relating to malt beverages; providing a process for specified malt beverage manufacturers to terminate franchise agreements with malt beverage distributors without cause; providing for compensation to the distributor; providing for arbitration; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0079
SF0080,2024-RS,Senator Barlow,"Representative Clouston; Representative Knapp; Representative Larson, JT; Representative Tarver; Representative Western; Representative Wylie; Senator Anderson; Senator Cooper; Senator Dockstader; Senator Rothfuss",enrolled,CH0074,Solid waste management-definition amendments.,AN ACT relating to environmental quality; amending the definitions of solid waste and solid waste management facility; providing definitions of advanced recycling and advanced recycling facilities; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0080
SF0081,2024-RS,Senator Baldwin,"Representative Clouston; Representative Zwonitzer, Dn; Senator Barlow",enrolled,CH0043,Hospital or healthcare district created entities-immunity.,AN ACT relating to civil procedure; providing that entities formed by county memorial hospitals and other healthcare districts that are wholly owned by governmental entities are subject to the Wyoming Governmental Claims Act; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0081
SF0082,2024-RS,Senator Brennan,Representative Andrew; Representative Angelos; Representative Banks; Representative Olsen; Representative Penn; Representative Rodriguez-Williams; Representative Slagle; Representative Trujillo; Senator French; Senator Rothfuss; Senator Steinmetz,inactive,,Summer vacation preservation act.,AN ACT relating to education; modifying the duties of the state board of education in approval of alternative scheduling for a school year; reducing the minimum number of class days required for public schools; reducing the number of professional development days for public schools as specified; requiring the school year to begin after Labor Day and recess prior to Memorial Day except as specified; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0082
SF0083,2024-RS,Mgt Council,,enrolled,CH0082,Revisor's bill.,AN ACT relating to the revision of statutes and other legislative enactments; correcting statutory references and language resulting from inadvertent errors and omissions in previously adopted legislation; amending obsolete references; repealing an obsolete provision; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0083
