state,bill_id,term_session_title,summary,commem,comments
KY,HB0219,"2023_2024|2024-RS|AN ACT relating to allowing the Freedom Flag to be flown as a Flag of Remembrance each September 11, which is known as Patriot Day.",Create a new section of KRS Chapter 2 to allow the Freedom Flag to be flown as a Flag of Remembrance each September 11.,1,"flying flags, stays at C"
KY,HB0234,2023_2024|2024-RS|AN ACT relating to state holidays.,Amend KRS 2.110 to add the nineteenth day of June as a state holiday commemorating Juneteenth National Freedom Day.,0,"upgraded, deals with a state holiday"
KY,HB0200,2023_2024|2024-RS|AN ACT relating to the military.,"Amends KRS 40.010 and 40.400 to include the United States Space Force in the definition of “Armed Forces”; amends KRS 154.12-203 to include the United States Army Reserve Aviation Command in the membership of the Kentucky Commission on Military Affairs; amends KRS 156.730, the Interstate Compact on Educational Opportunity for Military Children, correcting a citation to federal law; amends KRS 156.735 to include the children of National Guard and Reserve personnel within the rights granted under that compact; amends KRS 186.041 to include the United States Space Force as an eligible branch of the military to request a special military license plate; amends KRS 186.162 to include the Legion of Merit Medal as an eligible status; and amends KRS 186.166 to include the Legion of Merit Medal for perpetual license plate production.",0,"upgraded, including entire new branch of military in state"
ME,SP0030,"2023_2024|RS1|Resolve, to Rename a Bridge in the Town of Freeport the Matthew MacMillan Memorial Bridge",,1,"renaming bridge, C"
ME,SP0036,"2023_2024|RS1|Resolve, to Rename the Bridge Between Bingham and Concord Township on Route 16 the Jason Dore Memorial Bridge",,1,"renaming bridge, C"
ME,HP0190,2023_2024|RS1|An Act to Establish Maine Needham Day,,1,"establishing state day, C"
ME,HP0198,"2023_2024|SS1|An Act to Establish Pilot Initiatives to Promote, Grow and Sustain Adult Day Care and Respite Programs in Maine",,0,"establshing new initatives/programs, upgraded"
ME,SP0139,"2023_2024|RS1|Resolve, to Designate the Route 170 Bridge Located in Webster Plantation the Gary ""Swampy"" Worster Memorial Bridge",,1,"renaming bridge, C"
ME,SP0152,"2023_2024|RS1|Resolve, to Name a Bridge in the Town of Canaan After Staff Sergeant Richard Gerald Salsbury",,1,"renaming bridge, C"
ME,HP0218,2023_2024|RS1|An Act to Establish Maine Alewife Day,,1,"designating state day, C"
ME,HP0233,"2023_2024|SS1|Resolve, Naming Portions of a Highway in St. George",,1,"renaming highway, C"
