bill_id,session,primary_sponsor,floor_sponsor,drafting_attorney,chapter_num,last_action,title,description,comm_note,bill_url
H.B. 454,2024-RS,"Rep. Garner, Brett", ,Austin Weenig,,"1 Mar 2024, House/ filed",Minimum Wage Modifications,This bill addresses the minimum wage.,,https://le.utah.gov/~2024/bills/static/HB0454.html
H.B. 455,2024-RS,"Rep. Lee, Trevor ","Sen. Sandall, Scott D.",Jeff Van Hulten,,"1 Mar 2024, House/ filed",Education Industry Employee Privacy,This bill provides for the personal privacy of local education agency employees.,,https://le.utah.gov/~2024/bills/static/HB0455.html
H.B. 456,2024-RS,"Rep. Teuscher, Jordan D.","Sen. McKell, Michael K.",Alan Houston,,"1 Mar 2024, House/ filed",Protection Order Amendments,This bill enacts the Uniform Recognition of Canadian Domestic Violence Protection Orders Act.,,https://le.utah.gov/~2024/bills/static/HB0456.html
H.B. 457,2024-RS,"Rep. Loubet, Anthony E.","Sen. McCay, Daniel",Michael Cipriano,,"1 Mar 2024, House/ filed",Governmental Accounting Amendments,This bill addresses a political subdivision's annual financial report.,,https://le.utah.gov/~2024/bills/static/HB0457.html
H.B. 458,2024-RS,"Rep. Owens, Doug", ,Tyler Moore,,"1 Mar 2024, House/ filed",Public Contracts Labor Amendments,This bill addresses wages and payment standards.,,https://le.utah.gov/~2024/bills/static/HB0458.html
H.B. 459,2024-RS,"Rep. Teuscher, Jordan D.","Sen. Pitcher, Stephanie",Eric N. Weeks,,"13 Mar 2024, Governor Signed",Blended Plea Amendments,This bill modifies procedures relating certain convictions of a minor that involve both juvenile dispositions and adult criminal sentences.,,https://le.utah.gov/~2024/bills/static/HB0459.html
H.B. 460,2024-RS,"Rep. Petersen, Michael J.","Sen. Weiler, Todd D.",Shad Larson,,"21 Mar 2024, Governor Signed",Government Employee Conscience Protection Amendments,This bill addresses required accommodations for government employees in certain circumstances.,,https://le.utah.gov/~2024/bills/static/HB0460.html
H.B. 461,2024-RS,"Rep. Matthews, Ashlee","Sen. Escamilla, Luz",RuthAnne Oakey-Frost,,"14 Mar 2024, Governor Signed",Child Care Grant Amendments,This bill modifies provisions related to child care subsidy and creates a grant program for child care providers.,,https://le.utah.gov/~2024/bills/static/HB0461.html
H.B. 462,2024-RS,"Rep. Lesser, Rosemary T.","Sen. Weiler, Todd D.",Thomas R. Vaughn,,"1 Mar 2024, House/ filed",Employee Compensation Amendments,This bill modifies principles upon which the Division of Human Resource Management is required to establish a career service system.,,https://le.utah.gov/~2024/bills/static/HB0462.html
H.B. 463,2024-RS,"Rep. Brammer, Brady", ,Greg Gunn,,"1 Mar 2024, House/ filed",Medicaid Funding Amendments,This bill amends provisions related to the Medicaid program and Medicaid expansion.,,https://le.utah.gov/~2024/bills/static/HB0463.html
H.B. 464,2024-RS,"Rep. Teuscher, Jordan D.","Sen. Cullimore, Kirk A.",Scott Elder,,"13 Mar 2024, Governor Signed",Social Media Amendments,This bill enacts provisions regarding harm to minors from the excessive use of algorithmically curated social media services.,,https://le.utah.gov/~2024/bills/static/HB0464.html
H.B. 465,2024-RS,"Rep. Whyte, Stephen L.","Sen. Fillmore, Lincoln",RuthAnne Oakey-Frost,,"19 Mar 2024, Governor Signed",Housing Affordability Revisions,This bill addresses funding issues related to housing affordability.,,https://le.utah.gov/~2024/bills/static/HB0465.html
H.B. 466,2024-RS,"Rep. Pierucci, Candice B.", ,Thomas R. Vaughn,,"1 Mar 2024, House/ filed",Disclosures Amendments,"This bill amends provisions relating to the disclosure of certain travel by, or donations to, an officeholder.",,https://le.utah.gov/~2024/bills/static/HB0466.html
H.B. 467,2024-RS,"Rep. Brooks, Walt","Sen. Balderree, Heidi",Greg Gunn,,"13 Mar 2024, Governor Signed",Child Abandonment Amendments,This bill amends the child abandonment statute.,,https://le.utah.gov/~2024/bills/static/HB0467.html
H.B. 468,2024-RS,"Rep. Lesser, Rosemary T.","Sen. Plumb, Jen",Kami Orton,,"14 Mar 2024, Governor Signed",Student Health Amendments,This bill allows employees of a local education agency to volunteer to administer certain adrenal insufficiency medication within a public school.,,https://le.utah.gov/~2024/bills/static/HB0468.html
H.B. 469,2024-RS,"Rep. Wilcox, Ryan D.","Sen. Owens, Derrin R.",Ryan C. Williams,,"12 Mar 2024, Governor Signed",Department of Natural Resources Law Enforcement Amendments,This bill creates a law enforcement division managed by the Department of Natural Resources.,,https://le.utah.gov/~2024/bills/static/HB0469.html
H.B. 470,2024-RS,"Rep. Snider, Casey","Sen. Sandall, Scott D.",Jacqueline Carlton,,"19 Mar 2024, Governor Signed",Federal Agency Regulatory Review Amendments,This bill addresses state agency review of federal regulations.,,https://le.utah.gov/~2024/bills/static/HB0470.html
H.B. 471,2024-RS,"Rep. Lyman, Phil","Sen. Bramble, Curtis S.",Kurt P. Gasser,,"12 Mar 2024, Governor Signed",Public Lands Possession Amendments,This bill asserts ownership and exclusive jurisdiction of roads included on a county travel plan and requires due process before the federal government may close a road.,,https://le.utah.gov/~2024/bills/static/HB0471.html
H.B. 472,2024-RS,"Rep. King, Brian S.","Sen. Sandall, Scott D.",Patricia Owen,,"1 Mar 2024, House/ filed",Water Revisions,This bill addresses the need for a water database within the state.,,https://le.utah.gov/~2024/bills/static/HB0472.html
H.B. 473,2024-RS,"Rep. Briscoe, Joel K.", ,Jeff Van Hulten,,"1 Mar 2024, House/ filed",School Transit Amendments,This bill creates the Transit Access Pass for Students pilot grant program (the program).,,https://le.utah.gov/~2024/bills/static/HB0473.html
H.B. 474,2024-RS,"Rep. Jack, Colin W.","Sen. Owens, Derrin R.",Jacqueline Carlton,,"1 Mar 2024, House/ filed",Criminal Justice Changes,This bill amends provisions related to the criminal justice system.,,https://le.utah.gov/~2024/bills/static/HB0474.html
H.B. 475,2024-RS,"Rep. Strong, Mark A.","Sen. Plumb, Jen",Christopher Williams,,"14 Mar 2024, Governor Signed",School Prescription Amendments,This bill modifies provisions related to certain prescription drugs and schools.,,https://le.utah.gov/~2024/bills/static/HB0475.html
H.B. 476,2024-RS,"Rep. Whyte, Stephen L.","Sen. Fillmore, Lincoln",Robert H. Rees,,"19 Mar 2024, Governor Signed",Municipal Land Use Regulation Modifications,This bill modifies provisions relating to municipal land use regulation.,,https://le.utah.gov/~2024/bills/static/HB0476.html
H.B. 477,2024-RS,"Rep. Birkeland, Kera","Sen. McCay, Daniel",Mike Curtis,,"1 Mar 2024, House/ filed",School Employee Conduct Amendments,This bill requires certain administrative leave for school employees who are the subject of a criminal investigation.,,https://le.utah.gov/~2024/bills/static/HB0477.html
H.B. 478,2024-RS,"Rep. Thurston, Norman K","Sen. Plumb, Jen",Ryan C. Williams,,"12 Mar 2024, Governor Signed",Animal Care Amendments,This bill addresses the care of animals.,,https://le.utah.gov/~2024/bills/static/HB0478.html
H.B. 479,2024-RS,"Rep. Peterson, Thomas W.", ,Thomas R. Vaughn,,"1 Mar 2024, House/ filed",State Agency Contact Information Amendments,This bill addresses state agency contact information.,,https://le.utah.gov/~2024/bills/static/HB0479.html
H.B. 480,2024-RS,"Rep. Romero, Angela","Sen. Hinkins, David P.",Austin Weenig,,"1 Mar 2024, House/ filed",Murdered and Missing Indigenous Relatives Amendments,This bill extends the Murdered and Missing Indigenous Relatives Task Force's sunset date.,,https://le.utah.gov/~2024/bills/static/HB0480.html
H.B. 481,2024-RS,"Rep. Cutler, Paul A.", ,Gus Harb,,"1 Mar 2024, House/ filed",Technology Upgrade Incentives Amendments,This bill provides for tax incentives related to railroad upgrades.,,https://le.utah.gov/~2024/bills/static/HB0481.html
H.B. 482,2024-RS,"Rep. King, Brian S.", ,Andrea Valenti Arthur,,"1 Mar 2024, House/ filed",Utah Retirement Systems Appeals Amendments,This bill amends the options for obtaining judicial review of a decision by the Utah State Retirement Board.,,https://le.utah.gov/~2024/bills/static/HB0482.html
H.B. 483,2024-RS,"Rep. Albrecht, Carl R.","Sen. Ipson, Don L.",Tyler Moore,,"13 Mar 2024, Governor Signed",Construction Trade Amendments,This bill modifies the exemptions from licensure under the Utah Construction Trades Licensing Act.,,https://le.utah.gov/~2024/bills/static/HB0483.html
H.B. 484,2024-RS,"Rep. Maloy, A. Cory","Sen. McCay, Daniel",Patricia Owen,,"19 Mar 2024, Governor Signed",Nonprofit Entity Amendments,This bill modifies provisions related to disclosure of nonprofit entity related personal information by public agencies.,,https://le.utah.gov/~2024/bills/static/HB0484.html
H.B. 485,2024-RS,"Rep. Judkins, Marsha","Sen. Owens, Derrin R.",Jeff Van Hulten,,"1 Mar 2024, House/ filed",Special Education Amendments,This bill establishes a grant program to support co-teaching models for special education students.,,https://le.utah.gov/~2024/bills/static/HB0485.html
H.B. 486,2024-RS,"Rep. Albrecht, Carl R.", ,RuthAnne Oakey-Frost,,"1 Mar 2024, House/ filed",Economic Development Grant Amendments,This bill modifies requirements for grant applications to the Governor's Office of Economic Opportunity.,,https://le.utah.gov/~2024/bills/static/HB0486.html
H.B. 487,2024-RS,"Rep. Barlow, Stewart E.","Sen. Ipson, Don L.",Patricia Owen,,"1 Mar 2024, House/ filed",Historic Preservation Amendments,This bill addresses historic preservation activities.,,https://le.utah.gov/~2024/bills/static/HB0487.html
H.B. 488,2024-RS,"Rep. Spendlove, Robert M.","Sen. Cullimore, Kirk A.",Kurt P. Gasser,,"21 Mar 2024, Governor Signed",Transportation Funding Modifications,This bill distributes money from the County of the First Class Highway Projects Fund to Sandy for a pedestrian bridge.,,https://le.utah.gov/~2024/bills/static/HB0488.html
H.B. 489,2024-RS,"Rep. Acton, Cheryl K.", ,Thomas R. Vaughn,,"1 Mar 2024, House/ filed",Party Affiliation Disclosure Amendments,This bill permits party affiliation to appear on the ballot next to the name of certain nonpartisan candidates.,,https://le.utah.gov/~2024/bills/static/HB0489.html
H.B. 490,2024-RS,"Rep. Wilcox, Ryan D.", ,Thomas R. Vaughn,,"1 Mar 2024, House/ filed",Elections Office,"This bill establishes the Elections Office, to assume all responsibility for elections currently under the authority of the lieutenant governor.",,https://le.utah.gov/~2024/bills/static/HB0490.html
H.B. 491,2024-RS,"Rep. Moss, Jefferson","Sen. Cullimore, Kirk A.",Scott Elder,,"19 Mar 2024, Governor Signed",Data Privacy Amendments,This bill enacts the Government Data Privacy Act.,,https://le.utah.gov/~2024/bills/static/HB0491.html
H.B. 492,2024-RS,"Rep. Judkins, Marsha", ,Jeff Van Hulten,,"1 Mar 2024, House/ filed",Special Education Hearings Amendments,This bill creates a training program for an attorney to be certified in special education hearings.,,https://le.utah.gov/~2024/bills/static/HB0492.html
H.B. 493,2024-RS,"Rep. Wilcox, Ryan D.","Sen. Hinkins, David P.",Rhonda Bailey,,"12 Mar 2024, Governor Signed",Concurrent Enrollment Participation Amendments,This bill amends provisions of the concurrent enrollment program.,,https://le.utah.gov/~2024/bills/static/HB0493.html
H.B. 494,2024-RS,"Rep. Moss, Jefferson","Sen. Wilson, Chris H.",Robert H. Rees,,"19 Mar 2024, Governor Signed",Funds Administration Modifications,This bill modifies a provision of the State Money Management Act.,,https://le.utah.gov/~2024/bills/static/HB0494.html
H.B. 495,2024-RS,"Rep. Lisonbee, Karianne","Sen. Harper, Wayne A.",Jackie Rogers,,"14 Mar 2024, Governor Signed",Vulnerable Population Amendments,This bill concerns protections for vulnerable populations.,,https://le.utah.gov/~2024/bills/static/HB0495.html
H.B. 496,2024-RS,"Rep. Albrecht, Carl R.","Sen. Balderree, Heidi",Ryan C. Williams,,"12 Mar 2024, Governor Signed",Public Land Use Amendments,This bill changes provisions relating to public land use in the state.,,https://le.utah.gov/~2024/bills/static/HB0496.html
H.B. 497,2024-RS,"Rep. Petersen, Michael J.","Sen. Hinkins, David P.",Rhonda Bailey,,"12 Mar 2024, Governor Signed",School Construction Amendments,This bill amends provisions on the school plant capital outlay report.,,https://le.utah.gov/~2024/bills/static/HB0497.html
H.B. 498,2024-RS,"Rep. Garner, Brett", ,Jeff Van Hulten,,"1 Mar 2024, House/ filed",Firearm Safety in Schools,This bill creates a pilot program to provide a firearm safety course in public school.,,https://le.utah.gov/~2024/bills/static/HB0498.html
H.B. 499,2024-RS,"Rep. Pulsipher, Susan","Sen. Fillmore, Lincoln",Kami Orton,,"12 Mar 2024, Governor Signed",Education Reporting Amendments,This bill makes changes regarding training and reporting requirements for LEAs.,,https://le.utah.gov/~2024/bills/static/HB0499.html
H.B. 500,2024-RS,"Rep. Musselman, Calvin R.","Sen. Cullimore, Kirk A.",Tyler Moore,,"13 Mar 2024, Governor Signed",Real Estate Amendments,This bill modifies the Real Estate Code and the Real Estate Licensing and Practices Act.,,https://le.utah.gov/~2024/bills/static/HB0500.html
H.B. 501,2024-RS,"Rep. Dunnigan, James A.","Sen. Kennedy, Michael S.",Christopher Williams,,"14 Mar 2024, Governor Signed",Health Amendments,This bill updates Medicaid provisions.,,https://le.utah.gov/~2024/bills/static/HB0501.html
H.B. 502,2024-RS,"Rep. Snider, Casey","Sen. Cullimore, Kirk A.",Patricia Owen,,"12 Mar 2024, Governor Signed",Critical Infrastructure and Mining,This bill addresses issues related to critical infrastructure materials and mining.,,https://le.utah.gov/~2024/bills/static/HB0502.html
