bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0201,2024,RS,Susan K. Herrera; Matthew McQueen; Gail Armstrong; Willie D. Madrid; Anthony Allison,WATER PROJECT FUND,Died (API.),HAAWC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=201&year=24
HB0202,2024,RS,Doreen Y. Gallegos; Gail Armstrong; Ambrose Castellano; Tara Jaramillo,ZONING OF CHILD CARE HOMES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=202&year=24
HB0203,2024,RS,Harlan Vincent; Tara Jaramillo; James G. Townsend; Jenifer Jones; Luis M. Terrazas,HEALTH-RELATED REIMBURSEMENT RATE,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=203&year=24
HB0204,2024,RS,Joseph L. Sanchez; Tara L. Lujan,DISTRICT ATTORNEY SALARIES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=204&year=24
HB0205,2024,RS,Andrea Reeb; Jenifer Jones; Gail Armstrong; Cathrynn N. Brown; Candy Spence Ezzell,WOMEN'S BILL OF RIGHTS ACT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=205&year=24
HB0206,2024,RS,Andrea Reeb; Ambrose Castellano; Rod Montoya,PENALTIES FOR CERTAIN SEX OFFENSES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=206&year=24
HB0207,2024,RS,Joy Garratt; Joshua Hernandez,PUBLIC SCHOOL CAPITAL OUTLAY GRANTS,Chaptered,HEC Committee Report; HAFC Committee Report; SEC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=207&year=24
HB0208,2024,RS,Rod Montoya; Cathrynn N. Brown; Ambrose Castellano; Art De La Cruz; Willie D. Madrid,TRADE EDUCATION ASSISTANCE ACT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=208&year=24
HB0209,2024,RS,Susan K. Herrera; Meredith A. Dixon; Cathrynn N. Brown; Debra M. Sariñana; Kristina Ortez,REGIONAL COUNCIL FUND MATCH REQUIREMENT,Died (API.),HRDLC Committee Report; HCEDC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=209&year=24
HB0210,2024,RS,Susan K. Herrera; Meredith A. Dixon; Cathrynn N. Brown; Debra M. Sariñana; Kristina Ortez,REGIONAL PLANNING DISTRICT FUNDS,Died (API.),HGEIC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=210&year=24
HB0211,2024,RS,Susan K. Herrera; Kristina Ortez; Kathleen Cates; Ambrose Castellano; Raymundo Lara,WATER PROJECT PRIORITIZATION,Chaptered,HAAWC Committee Report; HAFC Committee Report; SCONC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=211&year=24
HB0212,2024,RS,Micaela Lara Cadena; Derrick J. Lente; Cristina Parajon,LIQUOR TAX RATE & FUND,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=212&year=24
HB0213,2024,RS,Micaela Lara Cadena; Derrick J. Lente; Cristina Parajon; Joshua Hernandez,LIQUOR TAXES & DEFINITIONS,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=213&year=24
