bill_id,term,session,summary,subjects,commem
SB0083,2023_2024,2023-RS,Authorizing tactical medical professionals to carry firearms,Professions and Occupations,0
SB0084,2023_2024,2023-RS,Tobacco Products Excise Tax Act,Taxation,0
SB0085,2023_2024,2023-RS,Establishing tax credit for certain physicians who locate to practice in WV,Professions and Occupations; Taxation,0
SB0086,2023_2024,2023-RS,Exempting physicians from specified traffic laws when responding to emergencies,Roads and Transportation,0
SB0087,2023_2024,2023-RS,Restoring major health care benefits to certain public employees who retired and then returned to employment,Retirement,0
SB0088,2023_2024,2023-RS,Permitting medical marijuana be prescribed in edible form,Health,0
SB0089,2023_2024,2023-RS,Requiring hospitals to staff qualified personnel to perform sexual assault forensic exams,Public Safety,0
SB0090,2023_2024,2023-RS,Amending penalty of simple possession of marijuana from misdemeanor crime to civil violation,Crime,0
SB0091,2023_2024,2023-RS,Relating to distribution of certain taxes and surcharges to benefit fire departments and emergency medical services providers,Public Safety,0
SB0092,2023_2024,2023-RS,Providing compensation to victims of abusive lawsuits,"Actions, Suits and Liens",0
SB0093,2023_2024,2023-RS,Prohibiting teaching of divisive acts and critical race theory in public schools,Education (K12),0
SB0094,2023_2024,2023-RS,Removing limitations on nonintoxicating craft beer delivery licenses,Taxation,0
SB0095,2023_2024,2023-RS,Establishing WV business growth in low-income communities tax credit,Corporations,0
SB0096,2023_2024,2023-RS,Timber Co-tenancy Modernization and Majority Protection Act and Unknown and Unlocatable Timber Interest Owners Act,Natural Resources,0
SB0097,2023_2024,2023-RS,Modifying contribution levels of certain judges who participate in retirement system,Retirement,0
SB0098,2023_2024,2023-RS,Exempting capital gains from personal and corporate taxation,Taxation,0
SB0099,2023_2024,2023-RS,Relating to meetings among county boards of education,Education (K12),0
SB0100,2023_2024,2023-RS,Permitting newly hired 911 personnel to participate in Emergency Medical Services Retirement System,Retirement,0
SB0101,2023_2024,2023-RS,Exempting Social Security from personal income tax,Taxation,0
SB0102,2023_2024,2023-RS,Prohibiting smoking in vehicle when minor 16 or under is present.,Crime; Health; Juveniles,0
SB0103,2023_2024,2023-RS,Prohibiting certain funding and attendance of minors to drag shows,Appropriations; Juveniles,0
SB0104,2023_2024,2023-RS,Campus Self-Defense Act,Crime; Education (Higher),0
SB0105,2023_2024,2023-RS,Allowing county commissions to impose amusement tax,Counties; Taxation,0
SB0106,2023_2024,2023-RS,Protecting albino deer,Environment; Natural Resources,0
SB0107,2023_2024,2023-RS,Relating to time limitation for filing occupational pneumoconiosis claims,Workers Compensation,0
SB0108,2023_2024,2023-RS,Requiring certain probationers to participate in work release program and spend six months in work release center,Corrections; Crime,0
SB0109,2023_2024,2023-RS,Orphan Oil and Gas Well Prevention Act,Environment; Natural Resources,0
SB0110,2023_2024,2023-RS,Relating to maintenance and repair of roads and highways,Roads and Transportation,0
SB0111,2023_2024,2023-RS,Relating to pollution control facilities tax treatment,Taxation,0
SB0112,2023_2024,2023-RS,Relating to financial institutions engaged in boycotts of firearms companies,Finance and Administration,0
SB0113,2023_2024,2023-RS,Restricting participation in Teachers Retirement System by members who serve as officer in professional teaching association,Education (K12); Retirement,0
SB0114,2023_2024,2023-RS,Prohibiting abortion coverage in certain qualified health care plans,Insurance,0
SB0115,2023_2024,2023-RS,Providing procedure for WV to select delegates to Article V Convention,Legislature,0
SB0116,2023_2024,2023-RS,Collecting and analyzing statistical information pertaining to terminating pregnancies under Medicaid Program,Health,0
SB0117,2023_2024,2023-RS,Relating to mandatory state inspections of motor vehicles,Motor Vehicles,0
SB0118,2023_2024,2023-RS,Relating to outdoor advertising regulated by DOH,Roads and Transportation,0
SB0119,2023_2024,2023-RS,Requiring notice be sent to owners of record before real property can be sold due to nonpayment of taxes,Taxation,0
SB0120,2023_2024,2023-RS,Requiring registered sex offenders pay annual fee,Crime; Public Safety,0
SB0121,2023_2024,2023-RS,Creating Student Journalist Press Freedom Protection Act,Education (Higher); Education (K12); Human Rights,0
SB0122,2023_2024,2023-RS,"Preventing public water and sewer utilities from prohibiting customer from constructing, installing, or maintaining connection to public utility",Public Service Commission,0
SB0123,2023_2024,2023-RS,Creating enhanced penalties for fleeing officer,Crime,0
SB0124,2023_2024,2023-RS,Authorizing child sexual abuse and sexual violence prevention program and in-service training in child sexual abuse prevention,Crime,0
SB0125,2023_2024,2023-RS,Safeguarding concealed carry permit holder's information,Crime,0
SB0126,2023_2024,2023-RS,Reorganizing DHHR,Human Services,0
SB0127,2023_2024,2023-RS,Relating to reimbursement of hospital inpatient rates by PEIA,Insurance,0
SB0128,2023_2024,2023-RS,Clarifying authority of Governor and Legislature to proclaim and declare state of emergency and preparedness,Public Safety,0
SB0129,2023_2024,2023-RS,Limiting gubernatorial authority to spend certain federal funds without appropriation of Legislature,Legislature,0
SB0130,2023_2024,2023-RS,Anti-Racism Act of 2023,Education (K12),0
SB0131,2023_2024,2023-RS,Allowing municipal fire marshals to receive service weapon upon retirement,Municipalities,0
SB0132,2023_2024,2023-RS,Clarifying criminal offense of harassment,Crime,0
SB0133,2023_2024,2023-RS,Adding definition of “ammunition” for purposes of obtaining state license to carry concealed deadly weapon,Crime,0
SB0134,2023_2024,2023-RS,Protecting consumers against businesses using automatic renewals without consent,Consumer Protection,0
SB0135,2023_2024,2023-RS,Relating to Uniform Controlled Substances Act,Crime,0
SB0136,2023_2024,2023-RS,Requiring persons convicted of certain offenses to undergo psychological or psychiatric testing and have treatment plan to be eligible for probation,Crime,0
SB0137,2023_2024,2023-RS,Clarifying offenses of kidnapping and unlawful restraint,Crime,0
SB0138,2023_2024,2023-RS,Clarifying secondary sources are not law and public policy of WV in certain instances,Insurance,0
SB0139,2023_2024,2023-RS,Requiring each county BOE to ensure all its meetings are open to public through in-person attendance and broadcast live on its website,Education (K12),0
SB0140,2023_2024,2023-RS,Updating offenses of extortion and attempted extortion,Crime,0
SB0141,2023_2024,2023-RS,Adding Division of Corrections and Rehabilitation employees working at certain institutions to WV Emergency Responders Survivor Benefits Act,Corrections,0
SB0142,2023_2024,2023-RS,Modifying procedures to settle estates of decedents,,0
SB0143,2023_2024,2023-RS,Relating to Adopt-A-Stream Program,Environment,0
SB0144,2023_2024,2023-RS,Regulating schools for students with disabilities,Education (K12),0
