bill_number,session,title,status,primary_sponsors,intro_date,effective_date,chapter_num,companion,summary
A-1870,2022_2023,County colleges-develop plan to achieve three-year graduation rate,AHI,"Giblin, Thomas P.; Benson, Daniel R.; Danielsen, Joe",2022-01-11,,,,Requires county colleges to develop plan to achieve three-year graduation rate of at least 33 percent for full-time degree-program students by 2021-2022 academic year.
A-1871,2022_2023,State Board of Dentistry-adds one dental assistant to membership,ARP,"Giblin, Thomas P.; Murphy, Carol A.",2022-01-11,,,,Adds one dental assistant to membership of New Jersey State Board of Dentistry.
A-1872,2022_2023,Telecommunications device-prohibit sale unless remotely render device inoperable,ACO,"Giblin, Thomas P.",2022-01-11,,,,Prohibits sale of certain mobile telecommunications devices unless device includes technology to remotely render device inoperable.
A-1873,2022_2023,Consumer reporting agency-prohibit reports w/adverse info related to COVID-19,ACO,"Giblin, Thomas P.; Mukherji, Raj; Quijano, Annette",2022-01-11,,,,Prohibits consumer reporting agencies from making reports containing adverse information related to persons affected by coronavirus disease 2019 pandemic.
A-1874,2022_2023,Individual with medical condition-retail establishment allow access to restroom,AHE,"Giblin, Thomas P.; Benson, Daniel R.",2022-01-11,,,S-0574,Requires retail establishments to allow individuals with certain medical conditions access to employee restrooms.
A-1875,2022_2023,Insulin assistance program-establish,AFI,"Giblin, Thomas P.; Verrelli, Anthony S.",2022-01-11,,,,Establishes insulin assistance program.
A-1876,2022_2023,Police Training Commission-expand membership to include legislative appointees,ALP,"Giblin, Thomas P.",2022-01-11,,,,Expands Police Training Commission membership to include legislative appointees.
A-1877,2022_2023,Workplace accomodations-req. employers to allow during coronavirus 2019 pandemic,ALA,"Giblin, Thomas P.",2022-01-11,,,,Requires employers to allow certain employees to work remotely or receive alternative accommodations during coronavirus disease 2019 pandemic.
A-1878,2022_2023,Insulin manufacturer assistance programs-req pharmacies prov cert info regarding,AFI,"Giblin, Thomas P.; Benson, Daniel R.",2022-01-11,,,,Requires pharmacies to provide certain information regarding insulin manufacturer assistance programs.
A-1879,2022_2023,MVC written knowledge exam-provide online during COVID-19 pub. health emerg.,ATR,"Giblin, Thomas P.; Benson, Daniel R.; Dunn, Aura K.",2022-01-11,,,,Requires MVC to provide written knowledge examination online during COVID-19 public health emergency and state of emergency.
A-1880,2022_2023,Public school contracts-proh. entering unless offered health care benf. coverage,AED,"Giblin, Thomas P.",2022-01-11,,,,Prohibits school districts from entering contracts with contracted service provider unless employees providing services under contract are offered certain health care benefits coverage.
A-1881,2022_2023,Construction code enforcing agency fee revenue-concerns,ASL,"Giblin, Thomas P.",2022-01-11,,,,Concerns construction code enforcing agency fee revenue.
A-1882,2022_2023,"Proprietary instit, offer academic degrees-exempt teach-out req, in State 25 yrs",AHI,"Giblin, Thomas P.; Scharfenberger, Gerry",2022-01-11,,,S-1792,Exempts proprietary institution licensed to offer academic degrees that has operated in State for at least 25 years from requirement to provide teach-out plan in event of potential closure.
A-1883,2022_2023,Rutgers Institute of Management & Labor-reaffirms continuation;$750K,ALA,"Giblin, Thomas P.; DeAngelo, Wayne P.",2022-01-11,,,S-4106,"Reaffirms continuation of Rutgers Institute of Management and Labor Relations, appropriates $750,000."
A-1884,2022_2023,Telecommunications & Internet service providers-terminate service contracts,SCM,"Tully, P. Christopher; Swain, Lisa; Moriarty, Paul D.",2022-01-11,,,S-3413,"Requires telecommunications, cable television, and Internet service providers to allow service recipients to terminate service contracts following physician's referral to long-term care facility."
A-1885,2022_2023,Pedestrian and Bike Safety Advisory Council-establishes,ATR,"Tully, P. Christopher; Swain, Lisa; Freiman, Roy",2022-01-11,,,,Establishes Pedestrian and Bicycle Safety Advisory Council.
A-1886,2022_2023,"Alco. & Drug Use Disorder Policy-estab off, oversee fd & data tracking treatment",ALP,"Tully, P. Christopher; Swain, Lisa; Lopez, Yvonne",2022-01-11,,,,"Establishes Office of Alcohol and Drug Use Disorders Policy to oversee, direct, and coordinate resources, funding, and data tracking concerning treatment of substance use disorders."
A-1887,2022_2023,Pollinator Pathway designation for municipalities-creates,SEN,"Tully, P. Christopher; Swain, Lisa; Calabrese, Clinton",2022-01-11,,,,"Creates ""Pollinator Pathway"" designation for municipalities."
A-1888,2022_2023,Pollinator habitat program-directs DEP to establish for closed landfills,SEN,"Tully, P. Christopher; Swain, Lisa; Calabrese, Clinton",2022-01-11,,,,Directs DEP to establish pollinator habitat program for closed landfills.
A-1889,2022_2023,Health insurance carriers-prohibits denying preauthorized covered services,AFI,"Tully, P. Christopher; Swain, Lisa; Calabrese, Clinton",2022-01-11,,,,Prohibits health insurance carriers from denying payment for preauthorized covered services except under certain circumstances.
A-1890,2022_2023,Emergency Service Length of Service Award Program-permits loc govt unit to grant,ALP,"Tully, P. Christopher; Swain, Lisa",2022-01-11,,,,Permits local government unit to grant Length of Service Award Program points to certain activated military members.
A-1891,2022_2023,Rental companies-Homeland Security conduct study regarding suspicious behavior,AHS,"Tully, P. Christopher; Swain, Lisa",2022-01-11,,,,Requires NJ Office of Homeland Security and State Preparedness to conduct study regarding rental companies reporting suspicious behavior to law enforcement.
A-1892,2022_2023,"Lead service lines, replacement-allow municipalities to establish loan programs",AEN,"Tully, P. Christopher; Swain, Lisa",2022-01-11,,,,Allows municipalities to establish loan programs to fund replacement of lead service lines.
A-1893,2022_2023,Smoke detectors-establish pilot program to purchase/install in school restrooms,AED,"Tully, P. Christopher; Swain, Lisa",2022-01-11,,,,Establishes pilot program in DOE to purchase and install electronic smoking device detectors in restrooms of certain public schools.
A-1894,2022_2023,"Responsible School Violence Prevention, Preparation and Protection Pilot Program",AED,"Tully, P. Christopher; Swain, Lisa; Lopez, Yvonne",2022-01-11,,,,"Establishes ""Responsible School Violence Prevention, Preparation, and Protection Pilot Program"" in certain counties and cities of first class; makes an appropriation."
A-1895,2022_2023,Firearm owner become New Jersey resident-obtain purchaser ID card,AJU,"Tully, P. Christopher; Swain, Lisa",2022-01-11,,,,Requires firearm owners who become New Jersey residents to obtain firearm purchaser identification card.
A-1896,2022_2023,Electric public utility outage over 72 hours-reimburse cost of spoiled products,ATU,"Tully, P. Christopher; Swain, Lisa; Benson, Daniel R.",2022-01-11,,,,Requires electric public utility to reimburse customers for cost of certain spoiled products resulting from service outage more than 72 hours after end of storm.
A-1897,2022_2023,"Long-term care fac-req offer to update emerg contact info, discuss medical needs",AHE,"Tully, P. Christopher; Swain, Lisa; McKnight, Angela V.",2022-01-11,,,,Requires long-term care facilities to meet with residents and residents' families to review emergency contact information and to offer residents opportunity to update information.*
A-1898,2022_2023,"Military leave-concerns paid, certain members of the US Reserves",AMV,"Tully, P. Christopher",2022-01-11,,,,Increases days of paid military leave for certain public employees who serve in United States Reserves.
A-1899,2022_2023,Winterizing small business operations-temporary sales tax exemption,AAP,"Tully, P. Christopher; Timberlake, Britnee N.; Mukherji, Raj",2022-01-11,,,,Provides temporary exemption under sales and use tax for winterizing certain small business operations.
A-1900,2022_2023,Anti-bullying-req specialist submit self-assessment on sch effort to implement,AED,"Tully, P. Christopher; Swain, Lisa",2022-01-11,,,,"Requires anti-bullying specialist to annually submit self-assessment on school's effort to implement ""Anti-Bullying Bill of Rights Act"" directly to DOE."
A-1901,2022_2023,Trans. services-NJT expand/modify routes & hours; input from individual w/autism,ATR,"Tully, P. Christopher; Swain, Lisa; Haider, Shama A.",2022-01-11,,,S-0148,Requires NJT to expand or modify routes and hours of certain transportation services and to solicit input from individuals diagnosed with autism.
A-1902,2022_2023,Respite care-increase maximum number of monthly service hours funded through DCF,2RAC,"Tully, Chris; Swain, Lisa; McKnight, Angela V.",2022-01-11,,,S-2844,Increases maximum number of respite care service hours funded through DCF for certain families*
A-1903,2022_2023,Polling place in public school-no classes on day of election,AED,"Tully, P. Christopher",2022-01-11,,,S-2803,Provides that public school used as polling place shall not be open for classes on day of election.
A-1904,2022_2023,Sex offenders-prohibits from attending certain elementary or secondary schools,ALP,"Tully, P. Christopher",2022-01-11,,,,Prohibits sex offenders from attending certain elementary or secondary schools.
A-1905,2022_2023,Traffic calming tool kit-require DOT to create,AAP,"Tully, P. Christopher; Swain, Lisa; Moen, William F.",2022-01-11,,,,Requires DOT to create traffic calming tool kit.
A-1906,2022_2023,Nurses who provide nonpublic school nursing services-alters procedure for reimb.,2RA,"Tully, P. Christopher; Swain, Lisa",2022-01-11,,,S-1509,Alters procedure for reimbursing nurses who provide nonpublic school nursing services in certain circumstances.
A-1907,2022_2023,"Telemedicine-permits, prov using audio-only tech when prov behavioral health svc",AHE,"Tully, P. Christopher",2022-01-11,,,,Permits telemedicine services to be provided using audio-only technology when providing behavioral health care services.
A-1908,2022_2023,Sexual assaults-PANYNJ & airport operators coordinate w/law enforcement invest.,AOF,"Swain, Lisa; Mosquera, Gabriela M.",2022-01-11,,,,Requires PANYNJ and certain commercial airport operators in State to coordinate with law enforcement for investigation and prosecution of sexual assaults; requires airlines and contractors to adopt and maintain policies regarding sexual assaults.
A-1909,2022_2023,Cyber-interference-establishes fourth degree crime,AST,"Swain, Lisa; Mosquera, Gabriela M.",2022-01-11,,,,Establishes fourth degree crime of cyber-interference.
A-1910,2022_2023,"School bus contractor-prov info, result of criminal background check on bus driv",AED,"Swain, Lisa; Tully, P. Christopher; Haider, Shama A.",2022-01-11,,,S-1718,Requires school bus contractor to provide information to board of education on results of criminal background checks of all school bus drivers assigned routes in district pursuant to contract.
A-1911,2022_2023,"Sexual assault, ed instit by another student-fine fail to appropriately respond",AHI,"Swain, Lisa; Murphy, Carol A.; Carter, Linda S.",2022-01-11,,,,Authorizes Secretary of Higher Education to impose a fine against an institution of higher education that fails to appropriately respond to a student's allegation of sexual assault by another student.
A-1912,2022_2023,"Sexual misconduct, health care prof-higher ed instit report allegation to lic bd",AHI,"Swain, Lisa; Murphy, Carol A.; Carter, Linda S.",2022-01-11,,,,Requires institution of higher education to report allegation of sexual misconduct by health care professional to licensing board for investigation.
A-1913,2022_2023,Breast cancer patients-hospital provide info concerning reconstructive surgery,AHE,"Swain, Lisa; Tully, P. Christopher; Haider, Shama A.",2022-01-11,,,S-0735,Requires hospitals to provide breast cancer patients with information concerning reconstructive surgery; prohibits certain provisions in managed care plan contracts.
A-1914,2022_2023,Sexual assaults on cruise ships-directs PANYNJ to coordinate invest./prosecution,AOF,"Swain, Lisa; Mosquera, Gabriela M.",2022-01-11,,,,Directs PANYNJ to coordinate with law enforcement for investigation and prosecution of sexual assaults; requires certain cruise ship operators to adopt and maintain policies regarding sexual assaults.
A-1915,2022_2023,Pollinator-friendly-establishes label for plants,SEN,"Swain, Lisa; Tully, P. Christopher; Calabrese, Clinton",2022-01-11,,,,"Establishes ""pollinator-friendly"" label for plants."
A-1916,2022_2023,"Motorbus, purchased for public transportation svc-be electric-powered by 2029",ATR,"Swain, Lisa; Tully, P. Christopher; Freiman, Roy",2022-01-11,,,,Requires all motorbuses purchased for public transportation service to be electric-powered by 2029.
A-1917,2022_2023,Enhanced Crossing and Crosswalk Pilot Program-establishes in Bergen County,STR,"Swain, Lisa; Tully, Chris; Calabrese, Clinton",2022-01-11,,,S-4046,"Establishes ""Enhanced Crossing and Crosswalk Pilot Program"" in Bergen County."
A-1918,2022_2023,Campus sexual assault victim-higher education institutions establish hotline,AHI,"Swain, Lisa; Reynolds-Jackson, Verlina; Murphy, Carol A.",2022-01-11,,,,Requires institutions of higher education to establish hotline for victims of campus sexual assault.
A-1919,2022_2023,"Drinking water test every 3 years-req resid owners, schools & child care centers",AEN,"Swain, Lisa; Tully, Chris; Mosquera, Gabriela M.",2022-01-11,,,,"Requires certain residential property owners, schools, and child care centers to test drinking water for lead every three years."
A-1920,2022_2023,NJT-provide notice concerning routine maintenance & significant reduction in svc,ATR,"Swain, Lisa; Tully, P. Christopher; Freiman, Roy",2022-01-11,,,,Requires NJT to provide notice concerning routine maintenance and significant reductions in service.
A-1921,2022_2023,"Abortion laws, restrictive-prohibits expenditure of State funds",ASL,"Swain, Lisa",2022-01-11,,,,Prohibits expenditure of State funds in states with restrictive abortion laws.
A-1922,2022_2023,State House Complex-requires environmental sustainability plan,AAP,"Swain, Lisa; Danielsen, Joe; Haider, Shama A.",2022-01-11,,,S-0417,Requires environmental sustainability plan for State House Complex.
A-1923,2022_2023,Public utility service work-provide daily updates to municipalities,ATU,"Swain, Lisa; Tully, P. Christopher; Benson, Daniel R.",2022-01-11,,,,Requires public utility to provide daily updates to municipalities concerning public utility service work.
A-1924,2022_2023,"Mental health treatment, domestic viol-insur categorize as medically necessary",AFI,"Swain, Lisa; Benson, Daniel R.",2022-01-11,,,S-3031,Requires health insurance carriers to categorize mental health treatment and therapy received by victim of domestic violence as medically necessary treatment and provide full benefits coverage therefor.
A-1925,2022_2023,Domestic service workers-creates certain rights,ALA,"Swain, Lisa",2022-01-11,,,,Creates certain rights for workers who provide domestic services.
A-1926,2022_2023,"Voter regis., same-day-estab pilot prog to provide on election day in cert years",ASL,"Swain, Lisa; Tully, P. Christopher; Benson, Daniel R.",2022-01-11,,,,Establishes pilot program to provide for same-day voter registration on election day in certain years.
A-1927,2022_2023,Sex offenders who fail to register-St police required to report to Legislature,AWC,"Swain, Lisa; Benson, Daniel R.; Tully, P. Christopher",2022-01-11,,,,Requires State Police to biannually report to Legislature number of sex offenders who fail to register as required by Megan's Law.
A-1928,2022_2023,Landlords required to provide receipt for rent cash payment-expands definition,AHO,"Swain, Lisa; Tully, P. Christopher; Mukherji, Raj",2022-01-11,,,S-2962,Expands definition of landlords required to provide receipt for rent cash payment made by tenant.
A-1929,2022_2023,"Minority, Woman, & Underserved Farmer Registry-Direct Department of Ag establish",SUB,"Swain, Lisa; Dancer, Ronald S.; McKnight, Angela V.",2022-01-11,,,S-0772,"Directs Department of Agriculture to establish New Jersey Minority, Women, and Underserved Farmer Registry."
A-1930,2022_2023,Menstrual hygiene products-estab pilot prog covering under Medicaid & FamilyCare,AWC,"Swain, Lisa; Mosquera, Gabriela M.; Mukherji, Raj",2022-01-11,,,S-1815,Requires DHS to establish a pilot program covering menstrual hygiene products under Medicaid and NJ FamilyCare.
A-1931,2022_2023,School Bus Safety Ombudsman-creates position in Department of Education,ATR,"Swain, Lisa; Tully, P. Christopher; Benson, Daniel R.",2022-01-11,,,,"Creates Office of School Bus Safety in Department of Education; appropriates $200,000."
A-1932,2022_2023,"Intellectual and Developmental Disabilities, Division-establishes in DCF",AWC,"Swain, Lisa; Tully, P. Christopher",2022-01-11,,,S-1243,Establishes Division of Intellectual and Developmental Disabilities in DCF.
A-1933,2022_2023,DOLWD benefits-provide issuance of prepaid debit cards,ALA,"Swain, Lisa",2022-01-11,,,,Requires entity contracted with DOLWD to provide benefits to provide separate notice of issuance of prepaid debit card.
A-1934,2022_2023,Menstrual Hygiene Product Pilot Program-establishes;$60K,AEN,"Swain, Lisa; Mukherji, Raj; McKnight, Angela V.",2022-01-11,,,,"Establishes ""Menstrual Hygiene Product Pilot Program,"" appropriates $60,000."
A-1935,2022_2023,Menstrual Hygiene Products Program-establishes;$200K,SEG,"Swain, Lisa; Mukherji, Raj; McKnight, Angela V.",2022-01-11,,,,"Establishes ""Menstrual Hygiene Products Program,"" appropriates $200,000."
A-1936,2022_2023,Speed humps-incr traffic threshold for local installations without DOT approval,2RA,"Swain, Lisa; Tully, P. Christopher; Moen, William F.",2022-01-11,,,,Increases traffic threshold for local installation of certain speed humps on certain local streets without DOT approval.
A-1937,2022_2023,"Menstrual hygeine products, free-req cert public schools advertise availability",AED,"Swain, Lisa; Mukherji, Raj; McKnight, Angela V.",2022-01-11,,,,Requires certain public schools to advertise availability of free menstrual hygiene products.
A-1938,2022_2023,Menstrual products-estab req for St entities enter bulk purchasing arrangements,SSG,"Swain, Lisa; Mukherji, Raj; McKnight, Angela V.",2022-01-11,,,,Establishes requirements for State to enter into contract for purchase of menstrual products.*
A-1939,2022_2023,"Leaf blowers, electric or battery-establish rebate program for purchase of",AEN,"Swain, Lisa; Calabrese, Clinton",2022-01-11,,,,Directs BPU to establish rebate program for purchase of electric or battery powered leaf blowers.
A-1940,2022_2023,"Agriculture, community supported-take various actions to publicize & promote",AAN,"Swain, Lisa; Sauickie, Alex",2022-01-11,,,S-3502,Requires Department of Argiculture to take various actions to publicize and promote community supported agriculture in New Jersey.
A-1941,2022_2023,Texas abortion ban-estab rebuttable presumption of lack of personal jurisdiction,AJU,"Swain, Lisa; Mukherji, Raj",2022-01-11,,,,"Establishes rebuttable presumption of lack of personal jurisdiction over New Jersey resident in civil action under Texas abortion ban law 2021 Tex. SB8, 87th Regular Session ch. 62."
A-1942,2022_2023,Bike/pedestrian safety-Hwy. Traffic Safety Div conduct public awareness campaign,2RA,"Swain, Lisa; Benson, Daniel R.",2022-01-11,,,S-4058,Requires Division of Highway Traffic Safety to conduct public awareness campaign regarding bicycle and pedestrian safety.
A-1943,2022_2023,Domestic viol screening-obstetrical provider perform; prevent certain disclosure,2RS,"Haider, Shama A.; Swain, Lisa; McKnight, Angela V.",2022-01-11,,,S-1827,Requires certain providers to perform intimate partner violence screenings and all health care professionals to take certain actions to prevent perpetrators of intimate partner violence from obtaining copies of victim's medical record.*
A-1944,2022_2023,Domestic violence restraining orders-seizure of ammunition/firearm components,AWC,"Haider, Shama A.",2022-01-11,,,S-1820,Requires seizure of ammunition and certain firearm components in response to domestic violence restraining order or conviction.
A-1945,2022_2023,Council of the Arts-increase members to 21; requires members be NJ residents,2RA,"Haider, Shama A.; Park, Ellen J.; Jaffer, Sadaf F.",2022-01-11,,,,Increases from 17 to 21 public members of New Jersey State Council on the Arts; requires one member for each NJ county; imposes criteria for initial four new members.*
A-1946,2022_2023,Telemedicine & telehealth-allow health prof outside NJ provide svc to NJ patient,AHE,"Haider, Shama A.",2022-01-11,,,S-2703,Expressly allows health care professionals located outside New Jersey to provide services using telemedicine and telehealth to patients in New Jersey.
A-1947,2022_2023,"Crime victim, certain-strengthens location confidentiality",AJU,"Haider, Shama A.",2022-01-11,,,S-0363,Strengthens location confidentiality for certain crime victims.
A-1948,2022_2023,Non-flushable disposable wipes-labeling required,SUB,"Haider, Shama A.; Conaway, Herb; Quijano, Annette",2022-01-11,,,S-3632,Requires labeling of non-flushable disposable wipes.
A-1949,2022_2023,Green building projects-priority consideration of permit applications,AEN,"Mukherji, Raj; Pintor Marin, Eliana; Calabrese, Clinton",2022-01-11,,,,"Authorizes DCA, DEP, DOT, and municipalities, to provide priority consideration to  permit applications for green building projects."
A-1950,2022_2023,Mental illness-clarify law governing involuntary commitment incl substance abuse,AHU,"Mukherji, Raj; Mosquera, Gabriela M.; Jimenez, Angelica M.",2022-01-11,,,S-1950,Clarifies that definition of mental illness in law governing involuntary commitment to treatment includes substance use disorder if dangerous standard met.
A-1951,2022_2023,Chloe's Pet Access Law-permits dogs in outdoor seating areas of restaurants,AAN,"Mukherji, Raj; Chaparro, Annette; Calabrese, Clinton",2022-01-11,,,,"""Chloe's Pet Access Law""; permits dogs in outdoor seating areas of restaurants under certain circumstances; codifies current requirements concerning live animals in food establishments."
A-1952,2022_2023,"Sober living home-clarify auth. to regulate resid, substance abuse aftercare fac",AHU,"Mukherji, Raj; Chaparro, Annette",2022-01-11,,,S-1042,Clarifies DHS authority to regulate sober living homes and halfway houses as residential substance abuse aftercare facilities; requires background checks and other protections for residents of residential substance abuse facilities.
A-1953,2022_2023,Sepsis recognition and treatment protocols-requires hospital establish,AHE,"Mukherji, Raj; Jimenez, Angelica M.; Quijano, Annette",2022-01-11,,,,Requires hospitals to establish sepsis recognition and treatment protocols.
A-1954,2022_2023,Internet service providers-keep subscriber's identifiable information confident,AST,"Mukherji, Raj; Chaparro, Annette; Jimenez, Angelica M.",2022-01-11,,,,Requires Internet service providers to keep confidential subscriber's personally identifiable information unless subscriber authorizes Internet service provider in writing or email to disclose information; prohibits subscriber penalty.
A-1955,2022_2023,,,OPEN,,,,,
A-1956,2022_2023,Homeless shelter-establish Statewide database of beds,ACD,"Mukherji, Raj; Chaparro, Annette; McKnight, Angela V.",2022-01-11,,,,Establishes Statewide database of beds in shelters for the homeless.
A-1957,2022_2023,Liberty St. Park Protection Act; estab. Advisory Committee & DEP related actions,AAN,"Mukherji, Raj; McKnight, Angela V.",2022-01-11,,,S-0907,"The ""Liberty State Park Protection Act""; establishes Liberty State Park Advisory Committee and requirements concerning DEP actions related to Liberty State Park."
A-1958,2022_2023,Hospitality franchise agreements-concerning,SCM,"Mukherji, Raj; Karabinchak, Robert J.; DeAngelo, Wayne P.",2022-01-11,,,S-3165,Concerns hospitality franchise agreements.
A-1959,2022_2023,Suicides by minors-requires reporting of certain attempted and completed,AHE,"Mukherji, Raj; Conaway, Herb; Wimberly, Benjie E.",2022-01-11,,,S-2727,Requires reporting of certain attempted and completed suicides by minors.
A-1960,2022_2023,Unclaimed water utility deposits-dedicate to Statewide nonprofit util. asst. org,SEG,"Wimberly, Benjie E.; Mukherji, Raj; Chaparro, Annette",2022-01-11,,,,"Directs certain unclaimed electric, gas, and water public utility deposits in Unclaimed Utility Deposits Trust Fund and societal charge revenues to be paid to Statewide nonprofit public utility assistance organizations meeting certain eligibility criteria.*"
A-1961,2022_2023,Low-income person-permits local units & authorities to reduce water/sewer fees,AAP,"Mukherji, Raj; Karabinchak, Robert J.; Moen, William F.",2022-01-11,,,S-2526,"Permits certain local units and authorities to reduce water, sewer, and stormwater fees and other charges for low-income persons; appropriates $200,000. *"
A-1962,2022_2023,Advanced cyberinfrasture strategic plan-develop,SEG,"Mukherji, Raj; Lopez, Yvonne; Wimberly, Benjie E.",2022-01-11,,,S-0423,"Directs New Jersey Cybersecurity and Communications Integration Cell, Office of Information Technology, and New Jersey Big Data Alliance to develop advanced cyberinfrastructure strategic plan."
A-1963,2022_2023,"Drug offenders, convicted-revises eligibility to receive assistance benefits",AHE,"Mukherji, Raj; Sumter, Shavonda E.; Timberlake, Britnee N.",2022-01-11,,,S-0244,Revises eligibility for convicted drug offenders to receive general assistance benefits under Work First New Jersey program.
A-1964,2022_2023,Child-protection window guard law-strengthens provisions,AHO,"Mukherji, Raj; Pintor Marin, Eliana",2022-01-11,,,S-3788,Strengthens provisions of child-protection window guard law.
A-1965,2022_2023,Animal Advocate Program-establishes in AOC,2RA,"Mukherji, Raj; Quijano, Annette; Benson, Daniel R.",2022-01-11,,,S-2211,Establishes Animal Advocate Program in AOC. *
A-1966,2022_2023,Voter registration-reduce deadline to 8 days before election,ASL,"Mukherji, Raj; Reynolds-Jackson, Verlina; Sumter, Shavonda E.",2022-01-11,,,S-0247,Reduces standard voter registration deadline to eight days before election; allows voter registration at polling place on election day and at offices where mail-in ballots are issued within 45 days before election.
A-1967,2022_2023,Black bear-revises law prohibiting feeding,AAN,"Mukherji, Raj; Jasey, Mila M.; Stanley, Sterley S.",2022-01-11,,,S-1891,Revises law prohibiting feeding of black bear.
A-1968,2022_2023,Residential community release programs-concerns,AJU,"Mukherji, Raj; Reynolds-Jackson, Verlina; Caputo, Ralph R.",2022-01-11,,,,Concerns residential community release programs.
A-1969,2022_2023,Minors-allowed to serve as election workers on election days between,APP,"Mukherji, Raj; Sumter, Shavonda E.; Egan, Joseph V.",2022-01-11,2022-07-28,66.0,S-0138,Allows minors to serve as election workers between 5:30 a.m. and 9:00 p.m. on elections days.
A-1970,2022_2023,Pigs & calves-estab crim. offense & civil penal. concerning inhumane confinement,APP,"Mukherji, Raj; Benson, Daniel R.; Murphy, Carol A.",2022-01-11,2023-07-26,130.0,S-1298,Requires State Board of Agriculture and Department of Agriculture to adopt rules and regulations concerning confinement of breeding pigs and calves raised for veal.*
A-1971,2022_2023,"Internet websites, consumers, & personal identifiable info-notify, allow opt out",SUB,"Mukherji, Raj; Benson, Daniel R.; Moriarty, Paul D.",2022-01-11,,,S-0332,Requires notification to consumers of collection and disclosure of personal data by certain entities.*
A-1972,2022_2023,Student Movement Against Cancer license plates-authorizes creation,ATR,"Mukherji, Raj; Kennedy, James J.",2022-01-11,,,S-2048,Authorizes creation of Student Movement Against Cancer license plates.
A-1973,2022_2023,Correctional facility inmates who report sexual abuse-prohibits retaliation,AJU,"Mukherji, Raj; Tucker, Cleopatra G.",2022-01-11,,,S-1515,Prohibits retaliation against inmates in State correctional facilities who report sexual abuse; criminalizes retaliation and failure to report abuse.
A-1974,2022_2023,"Sch dist emp retirement plan options-bd of ed, select minimum of 3 finan instit",AED,"Mukherji, Raj; Freiman, Roy",2022-01-11,,,S-2411,Requires certain boards of education to select minimum of three financial institutions or pension management organizations to provide tax sheltered annuity plans.
A-1975,2022_2023,Virtual Currency & Blockchain Regulation Act-establishes regulatory framework,SCM,"Mukherji, Raj; Lopez, Yvonne",2022-01-11,,,S-1267,"""Virtual Currency and Blockchain Regulation Act."""
A-1976,2022_2023,Build Back Better Fund-estab. in EDA for certain manuf business assistance;$165M,ACE,"Mukherji, Raj; Conaway, Herb",2022-01-11,,,S-1881,"Establishes ""Build Back Better Fund"" in EDA for certain manufacturing business assistance; creates and funds two business assistance programs in New Jersey Redevelopment Authority; appropriates $165 million."
A-1977,2022_2023,Edna Mahan trauma credits-req award to inmates incarcerated during investigation,AJU,"Mukherji, Raj",2022-01-11,,,,Requires award of Edna Mahan trauma credits to inmates incarcerated during period of investigation into allegations of sexual abuse by correctional police officers and staff.
A-1978,2022_2023,Diversion program for certain marijuana offenses-defendant may again participate,AJU,"Mukherji, Raj; McKnight, Angela V.; Quijano, Annette",2022-01-11,,,,Provides that defendant who participated in diversion program for certain marijuana offenses on prior occasion may again participate under certain circumstances.
A-1979,2022_2023,"Cybersecurity incidents-req. bus in finan, essential infra, & health care report",AFI,"Mukherji, Raj",2022-01-11,,,,"Requires businesses in financial, essential infrastructure, and health care industries to report cybersecurity incidents."
A-1980,2022_2023,Cybersecurity employment grant program-establishes for qualified businesses,ACE,"Mukherji, Raj; Murphy, Carol A.",2022-01-11,,,,"Establishes cybersecurity employment grant program for qualified businesses; appropriates $750,000.*"
A-1981,2022_2023,"Cybersecurity plan-req business in finan, essential infra, & health care develop",AST,"Mukherji, Raj",2022-01-11,,,,"Requires businesses in financial, essential infrastructure, and health care industries to develop cybersecurity plans."
A-1982,2022_2023,Cybersecurity curricula-req instruction grades 9-12; higher ed develop curricula,AHI,"Mukherji, Raj",2022-01-11,,,,Requires instruction on cybersecurity in grades nine through 12; requires Office of Secretary of Higher Education to develop cybersecurity model curricula; establishes loan redemption programs for individuals in certain cybersecurity occupations.
A-1983,2022_2023,"Cybersecurity incidents-req. municipalities, counties, & school districts report",AAP,"Mukherji, Raj; Moen, William F.",2022-01-11,,,,"Requires municipalities, counties, and school districts to report cybersecurity incidents."
A-1984,2022_2023,"School Desegregation, Division-estab identify racial & socioeconomic segregation",AED,"Jasey, Mila M.; Mukherji, Raj; Wimberly, Benjie E.",2022-01-11,,,S-0820,Establishes Division of School Desegregation in DOE to identify racial and socioeconomic segregation of school districts and to ensure better integration in public schools.
A-1985,2022_2023,Desegregate NJ Act-promotes equitable residential development throughout State,AHO,"Mukherji, Raj",2022-01-11,,,,"""The Desegregate New Jersey Act'; promotes equitable residential development throughout State."
A-1986,2022_2023,Law enforcement & privacy procedures-estab certain; designated as NJ Values Act,ALP,"Mukherji, Raj; Atkins, Reginald W.; Quijano, Annette",2022-01-11,,,S-0512,Establishes certain law enforcement and privacy procedures; designated as New Jersey Values Act.
A-1987,2022_2023,Accessory dwelling units-concerns development,AHO,"Mukherji, Raj",2022-01-11,,,S-0345,Concerns development of accessory dwelling units.
A-1988,2022_2023,Sickle cell trait diagnoses-establishes central registry,SHH,"Conaway, Herb; Wimberly, Benjie E.; Mukherji, Raj",2022-01-11,,,S-3422,Establishes central registry for sickle cell trait diagnoses; provides for informational outreach and genetic counseling.
