bill_number,session_year,session_num,action_date,chamber,action,committee,order
HB0012,2015,131,2016-09-28,Senate,Refer to Committee,Ways and Means,6
HB0012,2015,131,2016-06-01,Senate,Introduced,,5
HB0012,2015,131,2016-05-25,House,Passed,,4
HB0012,2015,131,2016-05-25,House,Reported - Substitute,Ways and Means,3
HB0012,2015,131,2015-02-10,House,To committee,Ways and Means,2
HB0012,2015,131,2015-01-28,House,Introduced,,1
HR0012,2015,131,2015-01-28,House,Adopted,,1
HJR0012,2015,131,2016-11-16,House,Refer to Committee,Government Accountability and Oversight,2
HJR0012,2015,131,2016-11-09,House,Introduced,,1
HR0013,2015,131,2015-01-29,House,Adopted,,1
HJR0013,2015,131,2016-12-05,House,Refer to Committee,Government Accountability and Oversight,2
HJR0013,2015,131,2016-12-01,House,Introduced,,1
HCR0013,2015,131,2015-04-14,House,Introduced and Referred to Committee,Government Accountability and Oversight,1
HB0013,2015,131,2015-01-29,House,Refer to Committee,Ways and Means,2
HB0013,2015,131,2015-01-28,House,Introduced,,1
HB0014,2015,131,2015-03-04,Senate,Refer to Committee,Agriculture,6
HB0014,2015,131,2015-02-23,Senate,Introduced,,5
HB0014,2015,131,2015-02-18,House,Passed,,4
HB0014,2015,131,2015-02-18,House,Reported,Government Accountability and Oversight,3
HB0014,2015,131,2015-01-29,House,Refer to Committee,Government Accountability and Oversight,2
HB0014,2015,131,2015-01-28,House,Introduced,,1
HR0014,2015,131,2015-01-29,House,Adopted,,1
HCR0014,2015,131,2015-05-05,House,Introduced and Referred to Committee,Commerce and Labor,1
HJR0014,2015,131,2016-12-13,House,Introduced,,1
HR0015,2015,131,2015-01-29,House,Adopted,,1
HCR0015,2015,131,2015-05-19,House,Introduced and Referred to Committee,Government Accountability and Oversight,1
HB0015,2015,131,2015-02-10,House,To committee,Education,2
HB0015,2015,131,2015-01-28,House,Introduced,,1
HCR0016,2015,131,2016-04-12,Senate,Adopted,,7
HCR0016,2015,131,2015-12-03,Senate,Reported,Medicaid,6
HCR0016,2015,131,2015-10-14,Senate,Refer to Committee,Medicaid,5
HCR0016,2015,131,2015-10-13,Senate,Offered,,4
HCR0016,2015,131,2015-10-07,House,Adopted,,3
HCR0016,2015,131,2015-06-24,House,Reported,Health and Aging,2
