bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HR0024,2019,133,Candice Keller,,As Adopted by the House,,Honoring Conant Smith on winning the 2018 Division I State Boys Cross Country Championship.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr24
HCR0025,2019,133,Thomas West; Terrence Upchurch,Thomas E. Brinkman Jr.; Erica C. Crawley; Jeffrey A. Crossman; Bernadine Kennedy Kent; Michele Lepore-Hagan; Mary Lightbody; Jessica E. Miranda; Kent Smith; Casey Weinstein,As Introduced,Health and Human Services : Mental Health and Disabilities; Juvenile and Family Law : Child Welfare,Declare state of emergency on childhood trauma.,House Health Committee,Urging the Governor to declare a State of Emergency on Childhood Trauma in Ohio.,https://www.legislature.ohio.gov/legislation/133/hcr25
HB0025,2019,133,John M. Rogers; Jamie Callender,Doug Green; Michele Lepore-Hagan,As Reported by the House Transportation and Public Safety Committee,Special Designations; Special Designations : Memorial Highways and Bridges; Transportation,Designate Patrolman Mathew Mazany Memorial Highway,House Transportation and Public Safety Committee,"To enact section 5534.406 of the Revised Code to designate a portion of State Route 2 in Lake County as the ""Patrolman Mathew Mazany Memorial Highway.""",https://www.legislature.ohio.gov/legislation/133/hb25
HR0025,2019,133,Mark J. Romanchuk,,As Adopted by the House,,Honoring the Lexington High School girls cross country team on securing the 2018 Division II State Championship.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr25
HCR0026,2019,133,Kent Smith,"Kristin Boggs; Joseph A. Miller, III; Lisa A. Sobecki",As Introduced,Commerce; Health and Human Services : Public Health; Utilities  : Telecommunications,Urge Congress to prohibit internet cut off during COVID-19. ,House Public Utilities Committee,To urge the Congress and the President of the United States to prohibit internet service providers from terminating internet service to residential customers and small businesses during the COVID-19 pandemic.,https://www.legislature.ohio.gov/legislation/133/hcr26
HB0026,2019,133,John M. Rogers,Jamie Callender; Jack Cera; Doug Green; Michele Lepore-Hagan; John Patterson,As Reported by the House Transportation and Public Safety Committee,Special Designations; Special Designations : Memorial Highways and Bridges; Transportation; Military and Veterans,Designate Col. Donald Blakeslee Memorial Bridge,House Transportation and Public Safety Committee,"To enact section 5534.814 of the Revised Code to designate the bridge spanning the Grand River that is a part of Fairport Road, in Lake County, as the ""Col. Donald Blakeslee Memorial Bridge.""",https://www.legislature.ohio.gov/legislation/133/hb26
HR0026,2019,133,Mark J. Romanchuk,,As Adopted by the House,,Honoring Kyle Johnston as the 2018 Division II State Cross Country Champion.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr26
HCR0027,2019,133,C. Allison Russo,"Kristin Boggs; Janine R. Boyd; Randi Clites; Tavia Galonski; Catherine D. Ingram; Michele Lepore-Hagan; Mary Lightbody; Beth Liston; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; Michael Sheehy; Kent Smith; Lisa A. Sobecki; Terrence Upchurch; Casey Weinstein; Thomas West",As Introduced,Commerce : Insurance; Health and Human Services : Health Care; Health and Human Services : Public Health,Urge Medicaid/Medicare special enrollment for COVID-19. ,House Insurance Committee,To urge the Centers for Medicare and Medicaid Services to immediately issue a special enrollment period through HealthCare.gov for uninsured Ohioans who may be unable to access COVID-19 testing and treatment.,https://www.legislature.ohio.gov/legislation/133/hcr27
HB0027,2019,133,Catherine D. Ingram,John Becker; Bernadine Kennedy Kent; Adam C. Miller; Craig S. Riedel; Casey Weinstein,As Introduced,Courts and Civil Law; Courts and Civil Law : Civil Law; State and Local Government : Local Government; State and Local Government : Public Officials and Employees; Transportation : Motor Vehicles,Modify subdivision liability for negligent operation of vehicle,House Civil Justice Committee,To amend sections 2744.02 and 2744.05 of the Revised Code to modify political subdivision liability for an employee's negligent operation of a motor vehicle.,https://www.legislature.ohio.gov/legislation/133/hb27
HR0027,2019,133,Jay Edwards,,As Adopted by the House,,Honoring Matt Yinger as the 2019 OHSWCA Division III Coach of the Year.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr27
HB0028,2019,133,Bernadine Kennedy Kent; Adam C. Miller,Doug Green; Michele Lepore-Hagan,As Reported by the House Transportation and Public Safety Committee,Special Designations; Special Designations : Memorial Highways and Bridges; Transportation,Designate James H. Hough Memorial Highway,House Transportation and Public Safety Committee,"To enact section 5534.91 of the Revised Code to designate a portion of Interstate Route 71 in Franklin County as the ""James H. Hough Memorial Highway.""",https://www.legislature.ohio.gov/legislation/133/hb28
HCR0028,2019,133,Juanita O. Brent,Janine R. Boyd; Erica C. Crawley; Jeffrey A. Crossman; Tavia Galonski; Catherine D. Ingram; Mary Lightbody; Jessica E. Miranda; Kent Smith; Lisa A. Sobecki; Emilia Strong Sykes; Terrence Upchurch; Casey Weinstein,As Introduced,Health and Human Services; State and Local Government : Public Officials and Employees,Denounce all discrimination resulting from COVID-19.,House State and Local Government Committee,"To denounce all forms of stigmatization, racism, and discrimination occurring as a result of the COVID-19 pandemic.",https://www.legislature.ohio.gov/legislation/133/hcr28
HR0028,2019,133,Jay Edwards,,As Adopted by the House,,Honoring Meigs County on its Bicentennial.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr28
