bill_number,session,chamber,action_date,action,journal_page,order
H3948,2023-2024,House,2023-03-02,Member(s) request name added as sponsor: Wheeler,,7
H3948,2023-2024,House,2023-03-07,"Member(s) request name added as sponsor: Connell, Vaughan",,8
H3948,2023-2024,House,2023-05-04,Committee report: Favorable with amendment Ways and Means,House Journal-page 4,9
H3948,2023-2024,House,2023-05-09,Debate adjourned,House Journal-page 24,10
H3948,2023-2024,House,2023-05-10,Amended,House Journal-page 30,11
H3948,2023-2024,House,2023-05-10,Read second time,House Journal-page 30,12
H3948,2023-2024,House,2023-05-10,Roll call Yeas-97  Nays-11 (House Journal-page 31),,13
H3948,2023-2024,House,2023-05-11,Read third time and sent to Senate,House Journal-page 21,14
H3948,2023-2024,Senate,2023-05-11,Introduced and read first time,Senate Journal-page 10,15
H3948,2023-2024,Senate,2023-05-11,Referred to Committee on Finance,Senate Journal-page 10,16
H3949,2023-2024,House,2023-02-14,Introduced and read first time,House Journal-page 9,1
H3949,2023-2024,House,2023-02-14,Referred to Committee on Ways and Means,House Journal-page 9,2
H4011,2023-2024,House,2023-02-23,Introduced and adopted,House Journal-page 6,1
H4017,2023-2024,House,2023-02-23,Introduced and read first time,House Journal-page 12,1
H4017,2023-2024,House,2023-02-23,Referred to Committee on Ways and Means,House Journal-page 12,2
H4017,2023-2024,House,2023-03-30,Committee report: Favorable Ways and Means,House Journal-page 11,3
H4017,2023-2024,House,2023-04-05,Read second time,House Journal-page 131,4
H4017,2023-2024,House,2023-04-05,Roll call Yeas-113  Nays-0 (House Journal-page 131),,5
H4017,2023-2024,House,2023-04-06,Read third time and sent to Senate,House Journal-page 27,6
H4017,2023-2024,Senate,2023-04-06,Introduced and read first time,Senate Journal-page 40,7
H4017,2023-2024,Senate,2023-04-06,Referred to Committee on Finance,Senate Journal-page 40,8
H4017,2023-2024,Senate,2023-04-27,Committee report: Favorable Finance,Senate Journal-page 8,9
H4017,2023-2024,Senate,2023-05-04,Read second time,Senate Journal-page 27,10
H4017,2023-2024,Senate,2023-05-04,Roll call Ayes-39  Nays-0 (Senate Journal-page 27),,11
H4017,2023-2024,Senate,2023-05-09,Read third time and enrolled,Senate Journal-page 44,12
H4017,2023-2024,,2023-05-11,Ratified R 56,,13
H4017,2023-2024,,2023-05-16,Signed By Governor,,14
H4017,2023-2024,,2023-05-26,Effective date 05/16/23,,15
H4017,2023-2024,,2023-05-26,Act No. 46,,16
H4044,2023-2024,House,2023-02-28,Introduced and read first time,House Journal-page 8,1
H4044,2023-2024,House,2023-02-28,Referred to Committee on Judiciary,House Journal-page 8,2
H4046,2023-2024,House,2023-02-28,Introduced and read first time,House Journal-page 8,1
H4046,2023-2024,House,2023-02-28,Referred to Committee on Ways and Means,House Journal-page 8,2
H4137,2023-2024,House,2023-03-14,Introduced and adopted,House Journal-page 1,1
H4594,2023-2024,House,2023-11-16,Prefiled,,1
H4594,2023-2024,House,2023-11-16,Referred to Committee on Ways and Means,,2
H4594,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 93,3
H4594,2023-2024,House,2024-01-09,Referred to Committee on Ways and Means,House Journal-page 93,4
H4594,2023-2024,House,2024-01-09,Member(s) request name added as sponsor: West,,5
H4594,2023-2024,House,2024-02-08,"Member(s) request name added as sponsor: Elliott, T.Moore",,6
H4594,2023-2024,House,2024-03-21,Committee report: Favorable Ways and Means,House Journal-page 4,7
H4594,2023-2024,House,2024-03-26,Read second time,House Journal-page 51,8
H4594,2023-2024,House,2024-03-26,Roll call Yeas-115  Nays-0 (House Journal-page 51),,9
H4594,2023-2024,House,2024-03-27,Read third time and sent to Senate,House Journal-page 17,10
H4594,2023-2024,Senate,2024-03-27,Introduced and read first time,Senate Journal-page 6,11
H4594,2023-2024,Senate,2024-03-27,Referred to Committee on Finance,Senate Journal-page 6,12
H4594,2023-2024,Senate,2024-04-18,Committee report: Favorable Finance,Senate Journal-page 8,13
H4594,2023-2024,Senate,2024-05-01,Read second time,Senate Journal-page 24,14
H4594,2023-2024,Senate,2024-05-01,Roll call Ayes-46  Nays-0 (Senate Journal-page 24),,15
H4594,2023-2024,Senate,2024-05-07,Read third time and enrolled,Senate Journal-page 36,16
H4594,2023-2024,,2024-05-15,Ratified R 215,,17
H4594,2023-2024,,2024-05-20,Signed By Governor,,18
H4594,2023-2024,,2024-05-29,Effective date 05/20/24,,19
H4594,2023-2024,,2024-05-29,Act No. 175,,20
H4752,2023-2024,House,2024-01-09,"Introduced, adopted, sent to Senate",House Journal-page 72,1
H4752,2023-2024,Senate,2024-01-10,"Introduced, adopted, returned with concurrence",Senate Journal-page 7,2
H4753,2023-2024,House,2024-01-09,"Introduced, adopted, sent to Senate",House Journal-page 73,1
H4753,2023-2024,Senate,2024-01-10,"Introduced, adopted, returned with concurrence",Senate Journal-page 7,2
H4812,2023-2024,House,2024-01-10,Introduced and read first time,House Journal-page 36,1
H4812,2023-2024,House,2024-01-10,Referred to Committee on Ways and Means,House Journal-page 36,2
H5054,2023-2024,House,2024-02-07,Introduced and adopted,House Journal-page 44,1
H5213,2023-2024,House,2024-03-06,Introduced and adopted,House Journal-page 14,1
H5301,2023-2024,House,2024-03-21,Introduced and adopted,House Journal-page 13,1
H5399,2023-2024,House,2024-04-16,Introduced and adopted,House Journal-page 6,1
H5480,2023-2024,House,2024-04-30,Introduced and adopted,House Journal-page 5,1
H5586,2023-2024,House,2024-06-26,Introduced and adopted,,1
H3955,2023-2024,House,2023-02-15,Introduced and adopted,House Journal-page 3,1
H4413,2023-2024,House,2023-05-02,"Introduced, read first time, placed on calendar without reference",House Journal-page 18,1
H4413,2023-2024,House,2023-05-03,Rejected,House Journal-page 17,2
H4413,2023-2024,House,2023-05-03,Roll call Yeas-27  Nays-65 (House Journal-page 17),,3
H4413,2023-2024,House,2023-05-03,Reconsidered,House Journal-page 23,4
H4413,2023-2024,House,2023-05-03,Debate adjourned,House Journal-page 23,5
H4413,2023-2024,House,2023-05-03,Amended,House Journal-page 62,6
H4413,2023-2024,House,2023-05-03,Read second time,House Journal-page 62,7
H4413,2023-2024,House,2023-05-03,Roll call Yeas-86  Nays-18 (House Journal-page 62),,8
H4413,2023-2024,,2023-05-03,Scrivener's error corrected,,9
H4413,2023-2024,House,2023-05-04,Read third time and sent to Senate,House Journal-page 21,10
H4413,2023-2024,House,2023-05-04,Roll call Yeas-76  Nays-10 (House Journal-page 21),,11
H4413,2023-2024,Senate,2023-05-04,"Introduced, read first time, placed on local & uncontested calendar",Senate Journal-page 15,12
H4413,2023-2024,,2023-05-05,Scrivener's error corrected,,13
H4413,2023-2024,Senate,2023-05-09,Read second time,Senate Journal-page 42,14
H4413,2023-2024,Senate,2023-05-10,Read third time and enrolled,Senate Journal-page 7,15
H4413,2023-2024,,2023-05-11,Ratified R 62,,16
H4413,2023-2024,,2023-05-18,Vetoed by Governor,,17
H4413,2023-2024,House,2023-06-07,Veto sustained Yeas-41  Nays-50 (House Journal-page 30),,18
H4840,2023-2024,House,2024-01-16,"Introduced, adopted, sent to Senate",House Journal-page 8,1
H4840,2023-2024,Senate,2024-01-17,"Introduced, adopted, returned with concurrence",Senate Journal-page 8,2
H4840,2023-2024,,2024-01-17,Scrivener's error corrected,,3
H4908,2023-2024,House,2024-01-23,Introduced and read first time,House Journal-page 9,1
H4908,2023-2024,House,2024-01-23,Referred to Committee on Judiciary,House Journal-page 9,2
H4908,2023-2024,House,2024-02-01,Member(s) request name added as sponsor: Carter,,3
H5094,2023-2024,House,2024-02-14,Introduced,House Journal-page 24,1
H5094,2023-2024,House,2024-02-14,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 24,2
H5094,2023-2024,House,2024-03-05,Committee report: Favorable Invitations and Memorial Resolutions,House Journal-page 8,3
H5094,2023-2024,House,2024-03-06,"Adopted, sent to Senate",House Journal-page 72,4
H5094,2023-2024,Senate,2024-03-07,Introduced,Senate Journal-page 6,5
H5094,2023-2024,Senate,2024-03-07,Referred to Committee on Transportation,Senate Journal-page 6,6
H5231,2023-2024,House,2024-03-06,Introduced and read first time,House Journal-page 22,1
H5231,2023-2024,House,2024-03-06,Referred to Bamberg Delegation,House Journal-page 22,2
H5231,2023-2024,House,2024-03-21,Delegation report: Favorable Bamberg Delegation,House Journal-page 3,3
H5231,2023-2024,,2024-03-26,Scrivener's error corrected,,4
H5231,2023-2024,House,2024-03-26,Read second time,House Journal-page 10,5
H5231,2023-2024,House,2024-03-26,Roll call Yeas-105  Nays-0 (House Journal-page 10),,6
H5231,2023-2024,House,2024-03-27,Read third time and sent to Senate,House Journal-page 14,7
H5231,2023-2024,Senate,2024-03-27,"Introduced, read first time, placed on local & uncontested calendar",Senate Journal-page 8,8
H5231,2023-2024,Senate,2024-04-03,Read second time,Senate Journal-page 5,9
H5231,2023-2024,Senate,2024-04-17,Read third time and enrolled,,10
H5231,2023-2024,,2024-05-08,Ratified R 174,,11
H5231,2023-2024,,2024-05-13,Signed By Governor,,12
H5231,2023-2024,,2024-05-20,Effective date 05/13/24,,13
H5231,2023-2024,,2024-07-23,Act No. 233,,14
H5381,2023-2024,House,2024-04-10,Introduced and adopted,House Journal-page 3,1
H3604,2023-2024,House,2023-01-11,Introduced and read first time,House Journal-page 34,1
H3604,2023-2024,House,2023-01-11,Referred to Committee on Ways and Means,House Journal-page 34,2
