bill_number,session_year,chamber,action_date,action,order
HB82-FN,2024,S,2024-02-22,Introduced 02/21/2024 and Referred to Commerce; SJ 6,13
HB82-FN,2024,S,2024-03-26,"Hearing: 04/02/2024, Room 100, SH, 10:20 am; SC 13",14
HB82-FN,2024,S,2024-05-07,"Committee Report: No Recommendation, 05/16/2024, Vote 2-2; SC 19",15
HB82-FN,2024,S,2024-05-15,"Special Order to Beginning of Calendar, Without Objection, MA; 05/15/2024; SJ 12",16
HB82-FN,2024,S,2024-05-15,"Sen. Gannon Move to Refer to Interim Study, 05/15/2024; SJ 12",17
HB82-FN,2024,S,2024-05-15,"Refer to Interim Study, MA, VV; 05/15/2024; SJ 12",18
HB86,2024,H,2022-12-23,Introduced 01/04/2023 and referred to Commerce and Consumer Affairs,1
HB86,2024,H,2023-01-05,==CANCELLED== Public Hearing: 01/12/2023 01:45 pm LOB 302-304,2
HB86,2024,H,2023-01-25,Public Hearing: 02/01/2023 01:15 pm LOB 302-304,3
HB86,2024,H,2023-02-23,Subcommittee Work Session: 03/07/2023 10:00 am LOB210-211,4
HB86,2024,H,2023-02-23,Executive Session: 03/08/2023 01:15 pm LOB 302-304,5
HB86,2024,H,2023-03-13,Retained in Committee,6
HB86,2024,H,2023-08-30,==CANCELLED== Subcommittee Work Session: 09/06/2023 10:00 am LOB 302-304,7
HB86,2024,H,2023-09-06,==RESCHEDULED== Subcommittee Work Session: 09/20/2023 10:00 am LOB 302-304 HC 36,8
HB86,2024,H,2023-10-17,==RECESSED== Executive Session: 11/08/2023 01:30 pm LOB 302-304 HC 42,9
HB86,2024,H,2023-11-08,==CANCELLED== Executive Session: 11/15/2023 11:00 am LOB 302-304 HC 45,10
HB86,2024,H,2023-11-16,Committee Report: Inexpedient to Legislate HB86 11/08/2023 (Vote 19-0; CC) HC 49 P. 3,11
HB86,2024,H,2024-01-03,Inexpedient to Legislate: MA VV 01/03/2024 HJ 1 P. 34,12
HB91-FN-A,2024,H,2022-12-23,"Introduced 01/04/2023 and referred to Health, Human Services and Elderly Affairs",1
HB91-FN-A,2024,H,2023-01-18,Public Hearing: 01/25/2023 09:00 am LOB 210-211,2
HB91-FN-A,2024,H,2023-01-18,==CANCELLED== Executive Session: 01/25/2023 02:00 pm LOB 210-211,3
HB91-FN-A,2024,H,2023-01-26,==RECESSED== Executive Session: 02/02/2023 01:30 pm LOB 210-211 HC 40,4
HB91-FN-A,2024,H,2023-02-02,==CONTINUED== Executive Session: 02/08/2023 01:30 pm LOB 210-211 HC 40,5
