bill_id,term,session,title,commem
HB0190,2023_2024,2023-RS,ADMISSION OF CERTAIN GRAND JURY EVIDENCE,0
HB0191,2023_2024,2023-RS,INCREASE EARLY CHILDHOOD FUND TRANSFER,0
HB0192,2023_2024,2023-RS,SOCIAL SECURITY INCOME TAX EXEMPTION CAP,0
HB0193,2023_2024,2023-RS,INDEX SOCIAL SECURITY INCOME FOR TAXES,0
HB0194,2023_2024,2023-RS,PUBLIC SCHOOL FINANCE CHANGES,0
HB0195,2023_2024,2023-RS,FOREST CONSERVATION ACT AMENDMENTS,0
HB0196,2023_2024,2023-RS,PLACEMENT OF TEMPORARY CUSTODY CHILDREN,0
HB0197,2023_2024,2023-RS,INCREASE FREE FISHING DAYS,0
HB0198,2023_2024,2023-RS,CAREER TECH FUNDS FOR INDIAN ED SCHOOLS,0
HB0199,2023_2024,2023-RS,INCREASE SCHOOL AT-RISK INDEX,0
HB0200,2023_2024,2023-RS,FT. STANTON VETERAN PTSD PROGRAM,0
HB0201,2023_2024,2023-RS,EXTEND CERTAIN BOARD SUNSET DATES,0
HB0202,2023_2024,2023-RS,CNM VENTURE STUDIO,0
HB0203,2023_2024,2023-RS,REINSTATE QUALIFIED IMMUNITY DEFENSE,0
HB0204,2023_2024,2023-RS,SMITHSONITE AS STATE MINERAL,0
HB0205,2023_2024,2023-RS,MEAT INSPECTION ACT,0
HB0206,2023_2024,2023-RS,RURAL TELECOMM FUND FOR BROADBAND,0
HB0207,2023_2024,2023-RS,EXPAND HUMAN RIGHTS ACT SCOPE,0
HB0208,2023_2024,2023-RS,RURAL INFRASTRUCTURE TAX CREDITS,0
HB0209,2023_2024,2023-RS,HEALTH PROFESSIONAL LOAN REPAYMENT,0
HB0210,2023_2024,2023-RS,TEMPORARY PAYMENT TO CERTAIN PERA MEMBERS,0
HB0211,2023_2024,2023-RS,CYFD INDIAN FOSTER FAMILIES,0
HB0212,2023_2024,2023-RS,DRUG TRAFFICKING & FIREARM PENALTY,0
HB0213,2023_2024,2023-RS,PUBLIC-PRIVATE PARTNERSHIP ACT,0
HB0214,2023_2024,2023-RS,GENERAL APPROPRIATION ACT OF 2023,0
