state,chamber,term,sponsor,data_name,legiscan_id,district,party,LES,not_actually_in_chamber
ND,Senate,2021_2022,Dave Oehlke,NA,7817,SD-015,R,0,FALSE
ND,Senate,2021_2022,Diane Larson,NA,14240,SD-030,R,0,FALSE
ND,Senate,2021_2022,Mike Wobbema,NA,22217,SD-024,R,0,FALSE
ND,Senate,2021_2022,Randy Lemm,NA,21344,SD-020,R,0,FALSE
NE,Senate,2021_2022,Michael Jacobson,NA,23101,SD-042,N,0,FALSE
NH,House,2019_2020,Alan Bershtein,alan bershtein,19790,HD-02-ROC,R,0,FALSE
NH,House,2019_2020,Alicia Lekas,alicia lekas,19823,HD-37-HIL,R,0,FALSE
NH,House,2019_2020,Amanda Gourgue,amanda gourgue,19106,HD-25-STR,D,0,FALSE
NH,House,2019_2020,Anne Warner,NA,19796,HD-05-ROC,D,0,FALSE
NH,House,2019_2020,Arthur Barnes,arthur barnes,16398,HD-08-ROC,R,0,FALSE
NH,House,2019_2020,Barry Faulkner,barry faulkner,19154,HD-12-CHE,D,0,FALSE
NH,House,2019_2020,Becky Owens,becky owens,19771,HD-04-ROC,R,0,FALSE
NH,House,2019_2020,Beth Richards,NA,19174,HD-13-MER,D,0,FALSE
NH,House,2019_2020,Betsy McKinney,betsy mckinney,4986,HD-05-ROC,R,0,FALSE
NH,House,2019_2020,Bill Nelson,NA,15588,HD-05-CAR,R,0,FALSE
NH,House,2019_2020,Bob Greene,bob greene,19822,HD-37-HIL,R,0,FALSE
NH,House,2019_2020,Brett Hall,brett hall,19890,HD-26-HIL,D,0,FALSE
NH,House,2019_2020,Bruce Cohen,bruce cohen,19804,HD-28-HIL,D,0,FALSE
NH,House,2019_2020,Bruce Tatro,NA,12861,HD-15-CHE,D,0,FALSE
NH,House,2019_2020,Cecilia Rich,cecilia rich,19810,HD-18-STR,D,0,FALSE
NH,House,2019_2020,Charles McMahon,charles mcmahon,5051,HD-07-ROC,R,0,FALSE
NH,House,2019_2020,Charles Melvin,NA,19859,HD-15-ROC,R,0,FALSE
NH,House,2019_2020,Charlie Burns,charles burns,19146,HD-23-HIL,R,0,FALSE
NH,House,2019_2020,Christopher Herbert,christopher herbert,16961,HD-43-HIL,D,0,FALSE
NH,House,2019_2020,Cole Riel,cole riel,19832,HD-06-HIL,D,0,FALSE
NH,House,2019_2020,Dan Davis,dan davis,19860,HD-16-ROC,R,0,FALSE
NH,House,2019_2020,Dan Toomey,NA,19841,HD-32-HIL,D,0,FALSE
NH,House,2019_2020,Daniel Pickering,daniel pickering,19770,HD-03-HIL,D,0,FALSE
NH,House,2019_2020,David Cote,david cote,4864,HD-31-HIL,D,0,FALSE
NH,House,2019_2020,David Lundgren,david lundgren,11759,HD-05-ROC,R,0,FALSE
NH,House,2019_2020,David Milz,david milz,14866,HD-06-ROC,R,0,FALSE
NH,House,2019_2020,David Morrill,david morrill,19759,HD-04-CHE,D,0,FALSE
NH,House,2019_2020,David Woodbury,david woodbury,15605,HD-05-HIL,D,0,FALSE
NH,House,2019_2020,Deb Stevens,deb stevens,19820,HD-34-HIL,D,0,FALSE
NH,House,2019_2020,Deborah Hobson,deb hobson,19879,HD-35-ROC,R,0,FALSE
