bill_id,session,version_status,original_sponsor,current_sponsor,requested_by,title,bill_url
HB2842,2023_2024_RS,As introduced,Committee on Appropriations,Committee on Appropriations,Representative B. Carpenter,"Transferring all information technology services under the chief information technology officer of each branch of government, creating chief information security officers within the judicial and legislative branches, requiring a chief information security officer to be appointed by the attorney general, secretary of state, state treasurer and insurance commissioner and requiring the chief information security officers to implement certain minimum cybersecurity standards, making and concerning appropriations for the fiscal years ending June 30, 2025, and June 30, 2026, for the office of information technology, Kansas information security office and the adjutant general, authorizing certain transfers and imposing certain limitations and restrictions, and directing or authorizing certain disbursements and procedures for all state agencies and requiring legislative review of state agencies not in compliance with this act.",http://kslegislature.org/li/b2023_24/measures/hb2842/
HB2843,2023_2024_RS,As introduced,Committee on Appropriations,Committee on Appropriations,,Establishing a scholarship task force to study scholarship programs and creating the Kansas academic excellence scholarship program to replace the Kansas ethnic minority scholarship program.,http://kslegislature.org/li/b2023_24/measures/hb2843/
HB2844,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative A. Smith,"Modifying income tax rates for individuals, increasing the standard deduction and the Kansas personal exemption, increasing the income limit for an income tax subtraction modification for social security income, increasing the extent of property tax exemption for residential property from the statewide school levy, decreasing the privilege tax normal tax rate, abolishing the local ad valorem tax reduction fund and the county and city revenue sharing fund and decreasing the rate of ad valorem tax imposed by a school district.",http://kslegislature.org/li/b2023_24/measures/hb2844/
HB2845,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Howerton,Allowing an itemized deduction for certain unreimbursed employee business expenses.,http://kslegislature.org/li/b2023_24/measures/hb2845/
HB2846,2023_2024_RS,As introduced,Committee on Taxation,Committee on Taxation,Representative Buehler,Providing an income tax credit for contributions to a child care provider or intermediary.,http://kslegislature.org/li/b2023_24/measures/hb2846/
SR1701,2023_2024_RS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Providing for the organization of the Senate for the 2023 session of the Legislature.,http://kslegislature.org/li/b2023_24/measures/sr1701/
SR1702,2023_2024_RS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Assigning seats in the Senate for the 2023 session.,http://kslegislature.org/li/b2023_24/measures/sr1702/
SR1703,2023_2024_RS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Amending the rules of the Senate to increase the number of members on the committee on assessment and taxation.,http://kslegislature.org/li/b2023_24/measures/sr1703/
SR1704,2023_2024_RS,Enrolled; As introduced,Senator Francisco,Senator Francisco,,Honoring Robert Steinhardt for his outstanding achievements.,http://kslegislature.org/li/b2023_24/measures/sr1704/
SR1705,2023_2024_RS,Enrolled; As introduced,Committee on Education,Committee on Education,,congratulating and commending the members of the 2023 Kansas Teacher of the Year team.,http://kslegislature.org/li/b2023_24/measures/sr1705/
SR1706,2023_2024_RS,Enrolled; As introduced,Senator McGinn,Senator McGinn,,"Recognizing February 2, 2023, as Wear Red Day in the Kansas legislature.",http://kslegislature.org/li/b2023_24/measures/sr1706/
SR1707,2023_2024_RS,Enrolled; As introduced,Senator Bowers,Senator Bowers,,Recognizing the Kansas Chiropractic Association's invaluable work for Kansas chiropractic physicians.,http://kslegislature.org/li/b2023_24/measures/sr1707/
SR1708,2023_2024_RS,Enrolled; As introduced,Senator Alley,Senator Alley,,"Designating February 8, 2023, as JAG-K Day at the Capitol",http://kslegislature.org/li/b2023_24/measures/sr1708/
SR1709,2023_2024_RS,Enrolled; As introduced,,,,"Recognizing the members of Delta Sigma Theta Sorority, Inc.",http://kslegislature.org/li/b2023_24/measures/sr1709/
SR1710,2023_2024_RS,Enrolled; As introduced,Senator Dietrich,Senator Dietrich,,Congratulating and commending award-winning Kansas educators.,http://kslegislature.org/li/b2023_24/measures/sr1710/
SR1711,2023_2024_RS,Enrolled; As introduced,Senator Ware,Senator Ware,,Commemorating the 125th Anniversary of Friends University.,http://kslegislature.org/li/b2023_24/measures/sr1711/
SR1712,2023_2024_RS,Enrolled; As introduced,Senator Holland; Senator Erickson; Senator Alley; Senator Baumgardner; Senator Dietrich,Senator Holland; Senator Erickson; Senator Alley; Senator Baumgardner; Senator Dietrich,,Recognizing the Kansas Small Business Development Center's 2023 Businesses of the Year.,http://kslegislature.org/li/b2023_24/measures/sr1712/
SR1713,2023_2024_RS,Enrolled; As introduced,Senator Reddi; Senator Bowers; Senator Corson; Senator Dietrich; Senator Doll,Senator Reddi; Senator Bowers; Senator Corson; Senator Dietrich; Senator Doll,,"Recognizing March 8, 2023, as International Women's Day.",http://kslegislature.org/li/b2023_24/measures/sr1713/
SR1714,2023_2024_RS,Enrolled; As introduced,Senator Longbine,Senator Longbine,,Congratulating and commending the 2023 Kansas Master Teachers.,http://kslegislature.org/li/b2023_24/measures/sr1714/
SR1715,2023_2024_RS,Enrolled; As introduced,Senator Doll,Senator Doll,,"Honoring Real Men Real Leaders outstanding service in Garden City, Kansas.",http://kslegislature.org/li/b2023_24/measures/sr1715/
SR1716,2023_2024_RS,Enrolled; As introduced,Senator O'Shea,Senator O'Shea,,Commemorating the celebration of St. Patrick's Day.,http://kslegislature.org/li/b2023_24/measures/sr1716/
SR1717,2023_2024_RS,Enrolled; As introduced,Senator Faust-Goudeau; Senator Blasi,Senator Faust-Goudeau; Senator Blasi,,"Recognizing Storytime Village, Inc., for its literacy programs.",http://kslegislature.org/li/b2023_24/measures/sr1717/
SR1718,2023_2024_RS,Enrolled; As introduced,Senator Bowers; Senator Wilborn,Senator Bowers; Senator Wilborn,,Honoring the lives lost during the construction of the Kansas State Capitol.,http://kslegislature.org/li/b2023_24/measures/sr1718/
SR1719,2023_2024_RS,Enrolled; As introduced,Senator Erickson,Senator Erickson,,Commemorating May 2023 as Jewish American Heritage Month.,http://kslegislature.org/li/b2023_24/measures/sr1719/
SR1720,2023_2024_RS,Enrolled; As introduced,Senator Reddi,Senator Reddi,,Recognizing the contributions of Kansas rotarians.,http://kslegislature.org/li/b2023_24/measures/sr1720/
SR1721,2023_2024_RS,Enrolled; As introduced,Senator Wilborn,Senator Wilborn,,Recognizing the 125th Anniversary of the Smoky Valley Roller Mills.,http://kslegislature.org/li/b2023_24/measures/sr1721/
SR1722,2023_2024_RS,Enrolled; As introduced,Senator Reddi; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,Senator Reddi; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,,Recognizing Dr. Sue K. Peterson Thomas for her service to the State of Kansas and Kansas State University.,http://kslegislature.org/li/b2023_24/measures/sr1722/
SR1723,2023_2024_RS,Enrolled; As introduced,Senator Wilborn; Senator Alley; Senator Billinger; Senator Claeys; Senator Longbine,Senator Wilborn; Senator Alley; Senator Billinger; Senator Claeys; Senator Longbine,,Commemorating the 20th anniversary of the bilateral relations between Kansas and the Republic of Armenia.,http://kslegislature.org/li/b2023_24/measures/sr1723/
SR1724,2023_2024_RS,Enrolled; As introduced,Senator Erickson; Senator Francisco; Senator Masterson; Senator Sykes,Senator Erickson; Senator Francisco; Senator Masterson; Senator Sykes,,Congratulating and commending the 2022-2023 University of Kansas women's basketball team on their 2023 WNIT Championship.,http://kslegislature.org/li/b2023_24/measures/sr1724/
SR1725,2023_2024_RS,Enrolled; As introduced,Joint Committee on State -Tribal Relations,Joint Committee on State -Tribal Relations,,Approving an amendment to the gaming compact with the Prairie Band Potawatomi Nation concerning sports wagering.,http://kslegislature.org/li/b2023_24/measures/sr1725/
SR1726,2023_2024_RS,Enrolled; As introduced,Senator Bowers; Senator Billinger,Senator Bowers; Senator Billinger,,Honoring the legendary Kansas sculptor Pete Felten on his 90th birthday.,http://kslegislature.org/li/b2023_24/measures/sr1726/
SR1727,2023_2024_RS,Enrolled; As introduced,Senator Haley,Senator Haley,,Commemorating the 100th anniversary of the cage elevator in the Kansas State Capitol.,http://kslegislature.org/li/b2023_24/measures/sr1727/
SR1728,2023_2024_RS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Providing for the organization of the Senate for the 2024 session of the Legislature.,http://kslegislature.org/li/b2023_24/measures/sr1728/
SR1729,2023_2024_RS,Enrolled; As introduced,Senator Erickson; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,Senator Erickson; Senator Alley; Senator Baumgardner; Senator Billinger; Senator Blasi,,Condemning the October 7 attacks on the State of Israel.,http://kslegislature.org/li/b2023_24/measures/sr1729/
SR1730,2023_2024_RS,As introduced,Senator Olson; Senator Pyle; Senator Sykes,Senator Olson; Senator Pyle; Senator Sykes,,"Amending the rules of the Senate, 2021-2024.",http://kslegislature.org/li/b2023_24/measures/sr1730/
SR1731,2023_2024_RS,Enrolled; As introduced,Senator Erickson; Senator Alley; Senator Billinger; Senator Blasi; Senator Bowers,Senator Erickson; Senator Alley; Senator Billinger; Senator Blasi; Senator Bowers,,Supporting the strengthening of Kansas' trade partnership with Ireland.,http://kslegislature.org/li/b2023_24/measures/sr1731/
SR1732,2023_2024_RS,Enrolled; As introduced,Senator Baumgardner; Senator Alley; Senator Billinger; Senator Blasi; Senator Bowers,Senator Baumgardner; Senator Alley; Senator Billinger; Senator Blasi; Senator Bowers,,Congratulating and commending the members of the 2024 Kansas Teacher of the Year team.,http://kslegislature.org/li/b2023_24/measures/sr1732/
SR1733,2023_2024_RS,As introduced,Senator Sykes; Senator Francisco; Senator Haley; Senator Holscher; Senator Pettey,Senator Sykes; Senator Francisco; Senator Haley; Senator Holscher; Senator Pettey,,Affirming the Kansas senate's unwavering support for free press in the state of Kansas.,http://kslegislature.org/li/b2023_24/measures/sr1733/
SR1734,2023_2024_RS,Enrolled; As introduced,Senator Masterson; Senator Wilborn; Senator Alley,Senator Masterson; Senator Wilborn; Senator Alley,,Strengthening the sister-state ties between the State of Kansas and Taiwan.,http://kslegislature.org/li/b2023_24/measures/sr1734/
