bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
ab0411,2023,RS,Plumer,Binsfeld; Baldeh; Cabrera; Melotik; Novak; O'Connor; Ortiz-Velez; Rodriguez; Schmidt; Wichgers,Tomczyk; Marklein; Taylor,A - Judiciary,"An Act to renumber and amend 756.03 (1); to amend 756.04 (6) (dm) and 756.04 (9) (a); and to create 756.03 (1) (b), 756.04 (2) (g), 756.04 (6) (c) and 756.04 (7) of the statutes;  Relating to: excusing certain persons from jury service. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab411
ab0412,2023,RS,Sortwell,Steffen; Behnke; Brandtjen; Dittrich; Donovan; Edming; Goeben; Gustafson; Michalski; Murphy; O'Connor; Tittl; Wichgers,Wanggaard; Ballweg; Marklein; Tomczyk,A - Tabled,"An Act to renumber and amend 940.20 (3) (title) and 940.20 (3); to amend 48.685 (2) (bb), 48.685 (5) (bm) 4., 48.686 (1) (c) 9., 48.686 (1) (c) 12., 48.686 (2) (bb), 50.065 (2) (bb), 165.70 (1) (b), 165.84 (7) (ab) 2., 301.048 (2) (bm) 1. a., 767.461 (4), 940.03, 941.29 (1g) (a), 941.291 (1) (b), 941.39 (title), 946.82 (4), 949.03 (2), 968.26 (1b) (a) 2. a., 969.08 (10) (b), 973.049 (2) and 973.123 (1); and to create 939.22 (21) (es), 940.202 (1) and (3) and 941.38 (1) (b) 5s. of the statutes;  Relating to: battery or threat to jurors and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab412
ab0413,2023,RS,Behnke,Bodden; Brandtjen; Murphy; Wichgers,Jacque; Nass,A - Colleges and Universities,"An Act to create 36.41, 38.35, 39.295 and 252.23 of the statutes;  Relating to:  prohibiting institutions of higher education from conducting gain of function research on potentially pandemic pathogens, requiring reporting of the intention to conduct research on potentially pandemic pathogens, and providing a penalty. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab413
ab0414,2023,RS,Steffen,Murphy; O'Connor; Pronschinske; Sinicki; Wichgers,Knodl; Marklein; Nass,A - Tabled,"An Act to amend 11.1205 (1) (a) (intro.); and to create 11.1205 (1) (am), 11.1205 (1) (ar), 11.1205 (1) (c) and 11.1205 (1) (d) of the statutes;  Relating to: public funds for substantially identical materials distributed by state senators and representatives to the assembly prior to a general election and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab414
ab0415,2023,RS,Oldenburg,Novak; Tranel; Plumer; Mursau; Kitchens,,A - Veto Sustained,"An Act to amend 3.002 (2), 5.15 (4) (a) and 5.15 (4) (b); to repeal and recreate subchapter I of chapter 4 [precedes 4.001]; and to create 13.49 of the statutes;  Relating to: legislative redistricting. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab415
ab0416,2023,RS,Plumer,Spiros; Rozar; Novak; Edming; Brooks; Magnafici; Behnke; Brandtjen; Donovan; Goeben; Murphy; O'Connor; Mursau,Felzkowski; Testin; Ballweg; Cowles; Nass; Feyen; Marklein; Stafsholt; Taylor,A - Tabled,An Act to amend 49.45 (9r) (e) (intro.); and to create 49.45 (9r) (dm) of the statutes;  Relating to: repair of complex rehabilitation technology under the Medical Assistance program. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab416
ab0417,2023,RS,J. Anderson,Allen; Baldeh; Cabrera; Conley; Goeben; Joers; Moore Omokunde; Ortiz-Velez; Palmeri; Ratcliff; Sinicki; Snodgrass; Stubbs; Subeck; Jacobson,Spreitzer; Carpenter; Hesselbein; Larson,A - Consumer Protection,An Act to create 134.495 of the statutes;  Relating to: automatic renewals of consumer contracts and providing a penalty. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab417
ab0418,2023,RS,Rozar,Armstrong; Baldeh; Conley; Edming; Ohnstad; Oldenburg; Ortiz-Velez; Palmeri; Petryk; Shankland; Sinicki; Steffen; Stubbs; Subeck,Feyen; Quinn,A - Rules,An Act  Relating to: healthy aging grants and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab418
ab0419,2023,RS,Oldenburg,Tranel; Mursau; Novak; O'Connor; Schmidt; Subeck; Kitchens,Cowles; Ballweg; Cabral-Guevara,S - Available for Scheduling,"An Act to create 93.95 of the statutes;  Relating to: creating an online, interactive carbon calculator for farmers. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab419
ab0420,2023,RS,Krug,Brandtjen; Brooks; Gustafson; Mursau; Ortiz-Velez; Steffen; Subeck; Tusler,Ballweg,A - Ways and Means,An Act to amend 71.05 (1) (an) and 71.83 (1) (a) 6. of the statutes;  Relating to: exempting from taxation certain pension payments received by an individual for service in the U.S. Foreign Service. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/asm/bill/ab420
