bill_number,session,session_type,primary_sponsor,cosponsors,outchamber_sponsors,status,summary,bill_url
sb0923,2023,RS,Nass and Cabral-Guevara,,Sortwell; Goeben; Rozar; Allen; Behnke; Bodden; Brandtjen; Brooks; Callahan; Edming; Magnafici; Maxey; Michalski; Moses; Murphy; O'Connor; Rettinger; Sapik; Schraa; Schutt,"S - Labor, Regulatory Reform, Veterans and Military Affairs",An Act to create 102.03 (7) of the statutes;  Relating to: employer liability under worker's compensation for mandatory or coerced vaccines.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb923
sb0924,2023,RS,Nass and Cabral-Guevara,,Sortwell; Rozar; Allen; Behnke; Bodden; Brandtjen; Brooks; Callahan; Edming; Goeben; Magnafici; Michalski; Murphy; O'Connor; Rettinger; Schraa; Schutt; Wichgers,S - Health,An Act to create 146.98 and 440.10 of the statutes;  Relating to: right of health care providers to express professional opinions related to health or medical information or guidance.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb924
sb0925,2023,RS,Testin,Feyen; Spreitzer; Taylor; Wanggaard,Novak; Billings; Dallman; Dittrich; Gundrum; Murphy; Mursau; O'Connor; Ortiz-Velez; Rozar; Schmidt; Sinicki; Subeck,S - Hold (Available for Scheduling),An Act to create 100.435 of the statutes;  Relating to: the sale of counterfeit lighters and unsafe lighters.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb925
sb0926,2023,RS,Wanggaard and Taylor,,Tusler; Stubbs,S - Hold (Available for Scheduling),"An Act to create 946.645 of the statutes;  Relating to: picketing or parading at the residence of a judge with the intent to interfere with, obstruct, or impede the administration of justice or influence any judge and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb926
sb0927,2023,RS,Wanggaard and Taylor,,Tusler; Ortiz-Velez,S - Hold (Available for Scheduling),"An Act to amend 19.36 (11) and 19.55 (1); and to create 8.10 (7), 19.36 (14) and 757.07 of the statutes;  Relating to: privacy protections for judicial officers, granting rule-making authority, and providing a penalty. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb927
sb0928,2023,RS,Wanggaard and Taylor,,Tusler; Ortiz-Velez,S - Hold (Available for Scheduling),An Act to create 19.36 (14) of the statutes;  Relating to: withholding judicial security profiles from public access.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb928
sb0929,2023,RS,Wanggaard,,Callahan,S - Available for Scheduling,An Act  Relating to: appropriating money for grants to schools to acquire proactive threat detection equipment and software and making an appropriation.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb929
sb0930,2023,RS,Pfaff,Spreitzer; Roys; Larson; Agard,Doyle; Emerson; Conley; Considine; Billings; Ohnstad; Palmeri; Sinicki; Jacobson; Hong; Madison,"S - Housing, Rural Issues and Forestry",An Act to create 710.15 (6) of the statutes;  Relating to: residents' right to purchase a mobile or manufactured home community. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb930
sb0931,2023,RS,James,Hesselbein; Wanggaard; Taylor,Donovan; Ortiz-Velez; Allen; C. Anderson; Brooks; Cabrera; Conley; Duchow; Edming; Kitchens; Maxey; Melotik; Nedweski; Schmidt; Sinicki; Stubbs; Wichgers; Dittrich; Palmeri,S - Judiciary and Public Safety,"An Act to create 961.573 (4) and 961.574 (4) of the statutes;  Relating to: pill tableting devices, pill encapsulation devices, and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb931
sb0932,2023,RS,Ballweg,,Born; Armstrong; Donovan; Gundrum; Hurd; Krug; Murphy; Mursau; Nedweski; Novak; O'Connor; Plumer; Schmidt; Swearingen; Wittke,A - Veto Sustained,"An Act to renumber and amend 775.01; to amend 13.48 (4), 16.867 (2) and 20.924 (1) (d); and to create 13.48 (19) (am), 16.007 (2m), 16.40 (20b), 16.855 (3m), 16.858 (3m), 16.867 (3), 16.899 and 775.01 (2) of the statutes;  Relating to: modifications to building program project budgets, selection of project architects and engineers, single prime contracting, agency cooperation with energy conservation contractors, timeline for claims before the Claims Board, and making a transfer to the state building trust fund. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb932
sb0933,2023,RS,Cabral-Guevara,Felzkowski; Nass,Goeben; Allen; Behnke; Brandtjen; Dittrich; Edming; Maxey; Murphy; Rettinger; Sapik; Schutt; Wichgers,S - Veto Sustained,"An Act to amend 157.06 (15) (a) (intro.), 157.06 (15) (a) 5. and 157.06 (15) (b); and to create 157.06 (2) (ze), 157.06 (15) (a) 4m. and 157.06 (16) of the statutes;  Relating to: prohibiting discrimination in organ transplantation and donation on the basis of an individual's vaccination status.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb933
sb0934,2023,RS,Carpenter,Hesselbein; Agard; Spreitzer,Bare; Joers; C. Anderson; J. Anderson; Clancy; Conley; Considine; Emerson; Madison; Myers; Palmeri; Ratcliff; Shelton; Subeck,"S - Labor, Regulatory Reform, Veterans and Military Affairs","An Act to amend 102.03 (2), 102.81 (5), 102.82 (1) and 814.04 (intro.); and to create 102.80 (1) (dm), 102.81 (4g) and 103.08 of the statutes;  Relating to: prohibiting abusive work environments and creating a cause of action. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb934
sb0935,2023,RS,Hesselbein,Spreitzer; Agard; Larson; Pfaff; Roys; Smith; Taylor; Wirch,Subeck; Shankland; C. Anderson; J. Anderson; Conley; Considine; Drake; Emerson; Joers; Neubauer; Palmeri; Ratcliff; Sinicki; Stubbs,S - Insurance and Small Business,An Act to amend 609.83; and to create 632.895 (12r) of the statutes;  Relating to: cost-sharing cap on epinephrine auto-injectors under health insurance policies and plans.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb935
sb0936,2023,RS,Smith,Spreitzer; Agard; Carpenter; L. Johnson; Roys; Taylor,Shelton; Snodgrass; J. Anderson; Bare; Conley; Considine; Emerson; Hong; Jacobson; Joers; Madison; Moore Omokunde; Neubauer; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Sinicki; Stubbs; Subeck; Andraca; Haywood,"S - Shared Revenue, Elections and Consumer Protection",An Act to create 5.05 (11r) and 20.510 (1) (ff) of the statutes;  Relating to: grants for the purchase of election supplies and equipment and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb936
sb0937,2023,RS,Smith,Spreitzer; Agard; Carpenter; L. Johnson; Roys; Taylor; Wirch,Snodgrass; Shelton; J. Anderson; Bare; Conley; Considine; Emerson; Jacobson; Joers; Madison; Moore Omokunde; Neubauer; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Sinicki; Stubbs; Subeck; Andraca; Drake,"S - Shared Revenue, Elections and Consumer Protection",An Act to amend 6.86 (1) (b) of the statutes;  Relating to: expanding the period for voting by in person absentee ballot. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb937
sb0938,2023,RS,Larson,Spreitzer; Carpenter; L. Johnson; Roys; Smith; Taylor; Wirch,Emerson; Bare; Conley; Hong; J. Anderson; Jacobson; Joers; Madison; Moore Omokunde; Neubauer; Ohnstad; Ortiz-Velez; Palmeri; Ratcliff; Stubbs; Subeck; Haywood,"S - Shared Revenue, Elections and Consumer Protection",An Act to amend 5.02 (6m) (f) of the statutes;  Relating to: student identification used for voting. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb938
sb0939,2023,RS,Larson and Taylor,,Emerson; Hong; Clancy; Madison; Bare; Palmeri; J. Anderson; Sinicki,S - Universities and Revenue,"An Act to create 36.39, 38.25 and 39.43 of the statutes;  Relating to: name, image, and likeness compensation for students at institutions of higher education.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb939
sb0940,2023,RS,Knodl,Ballweg; Taylor; Testin; Wirch,Gundrum; Stubbs; C. Anderson; Baldeh; Behnke; Brandtjen; Callahan; Conley; Considine; Edming; Emerson; Hurd; Kitchens; Krug; Maxey; Murphy; Mursau; O'Connor; Schraa; Subeck; Wichgers,S - Hold (Available for Scheduling),An Act to renumber and amend 50.035 (1); and to create 50.035 (1) (c) and 103.155 of the statutes;  Relating to: mandatory training regarding human trafficking for employees of community-based residential facilities and owners of certain entities and certain other employees and granting rule-making authority. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb940
sb0941,2023,RS,Knodl,,Gundrum; Goeben; Behnke; Callahan; Dittrich; Donovan; Edming; Hurd; Kitchens; Maxey; Murphy; Mursau; O'Connor; Penterman; Schraa; Wichgers,S - Judiciary and Public Safety,An Act to amend 165.71 (1) and 944.32; and to create 939.6175 of the statutes;  Relating to: solicitation for prostitution and providing a penalty. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb941
sb0942,2023,RS,L. Johnson,Roys; Taylor; Wirch,Emerson; O'Connor; Conley; Edming; Subeck; J. Anderson; Stubbs; Ohnstad; C. Anderson; Dittrich; Gundrum; Moore Omokunde; Ratcliff; Murphy; Joers; Kitchens; Mursau; Maxey; Billings; Krug,S - Available for Scheduling,"An Act to amend 48.371 (3) (d), 103.10 (1m) (b) 6., 103.34 (1) (b) 2., 165.505 (1) (am), 165.68 (1) (a) 5., 165.84 (7) (ab) 1., 178.09031 (5), 178.10101 (1) (g), 179.0811 (1) (e), 179.10101 (1) (g), 180.1420 (6), 180.1530 (1) (g), 181.1420 (7), 181.1530 (1) (g), 183.0708 (1) (e), 183.09101 (1) (g), 250.04 (14) (a), 301.45 (1d) (b), 440.312 (2), 440.982 (2), 905.045 (1) (a), 939.46 (1m), 939.615 (1) (b) 1., 939.632 (1) (e) 1., 940.302 (2) (a) (intro.), 941.29 (1g) (a), 946.82 (4), 949.03 (2), 950.045 (1) (a), 950.045 (2) (a), 969.001 (3) (a), 969.08 (10) (b), 970.03 (4) (a), 971.31 (11), 972.11 (2) (b) (intro.), 973.015 (2m) (a), 973.075 (1) (b) 3., 973.075 (2) (intro.) and 973.123 (1); and to create 940.303 of the statutes;  Relating to: human trafficking of adults at risk for the purpose of commercial sex acts and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb942
sb0943,2023,RS,Smith,Spreitzer; Agard; Roys,Haywood; Snodgrass; Ortiz-Velez; Neubauer; Emerson; Conley; Joers; J. Anderson; Ratcliff; Ohnstad; Stubbs; Subeck; Moore Omokunde; Jacobson; Madison,"S - Shared Revenue, Elections and Consumer Protection","An Act to amend 6.02 (1), 6.02 (2), 6.10 (3), 6.10 (4), 6.15 (1), 6.15 (2) (a), 6.18 (form), 6.22 (7), 6.29 (2) (a), 6.55 (2) (a) (form), 6.85 (2), 6.87 (2) (form), 6.94 and 7.52 (5) (b) of the statutes;  Relating to: residency requirement for purposes of voting.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb943
sb0944,2023,RS,Wanggaard,Knodl; Ballweg; Tomczyk,Tusler; Allen; O'Connor; Maxey,A - Rules,An Act to create 758.20 (4) of the statutes;  Relating to: the availability of information on crimes through the consolidated court automation programs.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb944
sb0945,2023,RS,James,Testin; Jacque,Tittl; O'Connor; Callahan; Edming; Gundrum; Kitchens; Krug; Mursau; Sapik; Schraa; Sortwell; Wichgers; Brandtjen,S - Judiciary and Public Safety,An Act to amend 301.45 (1d) (b) of the statutes;  Relating to: sex offender registration for certain crimes.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb945
sb0946,2023,RS,James,Ballweg; Carpenter; L. Johnson; Larson; Taylor; Testin; Wirch,Billings; O'Connor; Allen; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Behnke; Brandtjen; Conley; Considine; Dittrich; Drake; Edming; Emerson; Green; Gundrum; Gustafson; Hurd; Joers; Kitchens; Krug; Madison; Maxey; Melotik; Moore Omokunde; Murphy; Mursau; Ohnstad; Palmeri; Penterman; Ratcliff; Shankland; Sinicki; Stubbs; Subeck; Haywood,S - Hold (Available for Scheduling),An Act to create 972.11 (2m) (a) 2. am. of the statutes;  Relating to: the testimony of a child in a criminal proceeding for a human trafficking crime. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb946
sb0947,2023,RS,Marklein,Cowles; Pfaff; Spreitzer; Wanggaard,Goeben; Behnke; C. Anderson; Brandtjen; Dittrich; Edming; Gundrum; Gustafson; Kitchens; Maxey; Moses; Murphy; Novak; O'Connor; Oldenburg; Palmeri; Penterman; Sapik; Schmidt; Schutt; Sortwell; Subeck; Tranel,S - Agriculture and Tourism,An Act to create 97.26 of the statutes;  Relating to: labeling food as a type of dairy product or as a dairy ingredient and granting rule-making authority. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb947
sb0948,2023,RS,Ballweg,Carpenter; Pfaff; Quinn; Roys; Spreitzer; Larson,Joers; Hurd; Vining; Behnke; Penterman; Ratcliff; Rozar; Schmidt; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Clancy; Conley; Considine; Donovan; Drake; Edming; Emerson; S. Johnson; Madison; Melotik; Moore Omokunde; Mursau; Novak; O'Connor; Ohnstad; Palmeri; Schutt; Shankland; Shelton; Sinicki; Snodgrass; Stubbs; Subeck; Krug; Neubauer; Brandtjen; Jacobson,S - Hold (Available for Scheduling),An Act to amend 20.435 (4) (bt); and to create 49.79 (7w) of the statutes;  Relating to: healthy food incentive program. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb948
sb0949,2023,RS,James,L. Johnson; Larson,Billings; J. Anderson; Behnke; Binsfeld; Considine; Dittrich; Drake; Emerson; Joers; S. Johnson; Madison; Maxey; Moore Omokunde; Mursau; O'Connor; Ohnstad; Palmeri; Ratcliff; Sinicki; Snodgrass; Subeck; Brandtjen; Schraa,S - Available for Scheduling,"An Act to create 940.302 (4), 948.051 (4), 950.04 (1v) (eg) and 950.04 (2w) (fg) of the statutes;  Relating to: courtroom supports for and sealing the identifying information of child victims and child witnesses of human trafficking crimes. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb949
sb0950,2023,RS,Wimberger,Hesselbein; Roys; Spreitzer; Larson,Macco; Goyke; C. Anderson; J. Anderson; Andraca; Baldeh; Bare; Behnke; Clancy; Conley; Considine; Drake; Emerson; Hong; Joers; S. Johnson; Krug; Madison; Moore Omokunde; Mursau; Myers; Neubauer; O'Connor; Ohnstad; Palmeri; Ratcliff; Shankland; Sinicki; Snodgrass; Spiros; Subeck,S - Financial Institutions and Sporting Heritage,"An Act to amend 224.50 (2) (a) and 224.50 (3) (bm); and to create 20.144 (3) (ti), 69.20 (3) (b) 6. and 7., 224.50 (1) (d) and 224.50 (3m) of the statutes;  Relating to: creating a WisKids savings account program within the college savings program and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb950
sb0951,2023,RS,Tomczyk,Cabral-Guevara; Cowles,Penterman; Rozar; Hurd; Behnke; Schmidt; O'Connor; Mursau; Melotik; Goeben; Edming; S. Johnson,S - Education,An Act to create 118.07 (1m) of the statutes;  Relating to: requiring public and private schools to offer a minimum amount of physical activity each week.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb951
sb0952,2023,RS,Tomczyk and Spreitzer,,Hurd; Vining; Behnke; Penterman; Rozar; Schmidt; Joers; Ratcliff; Baldeh; Bare; C. Anderson; Conley; Considine; Drake; Emerson; J. Anderson; S. Johnson; Madison; Mursau; O'Connor; Ohnstad; Palmeri; Shankland; Shelton; Sinicki; Stubbs; Subeck; Summerfield,S - Health,An Act to amend 20.435 (1) (b) of the statutes;  Relating to: childhood obesity prevention and management grants and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb952
sb0953,2023,RS,Tomczyk and Spreitzer,,Hurd; Vining; Behnke; Penterman; Rozar; Schmidt; Joers; Ratcliff; Baldeh; Bare; C. Anderson; Conley; Considine; Drake; Emerson; J. Anderson; S. Johnson; Madison; Mursau; O'Connor; Ohnstad; Palmeri; Shankland; Shelton; Sinicki; Stubbs; Subeck; Summerfield,S - Health,"An Act to create 71.05 (6) (b) 57., 71.26 (1) (j), 71.45 (1) (e) and 253.17 of the statutes;  Relating to: childhood obesity prevention and management grants. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb953
sb0954,2023,RS,Wimberger,Knodl; Tomczyk,O'Connor; S. Johnson; Plumer; Maxey; Gundrum; Mursau; Kitchens; Callahan; Dittrich; Behnke; Edming; Schraa; Hurd,S - Hold (Available for Scheduling),"An Act to repeal 15.257 (3) and 165.29; to amend 59.54 (29), 66.0511 (title) and 165.85 (4) (ef); and to create 15.257 (3), 59.54 (29), 66.0511 (4), 165.25 (21), 165.29, 165.85 (3m) (d), 165.85 (4) (a) 7. d. and 165.85 (4) (ef) of the statutes;  Relating to: creation of a Human Trafficking Council and requiring the establishment of county sex trafficking task forces. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb954
sb0955,2023,RS,Quinn,Felzkowski; Spreitzer,Novak; Tranel; Andraca; Armstrong; Baldeh; Conley; Dittrich; Doyle; Edming; Jacobson; Maxey; Shankland; Sinicki; Green; S. Johnson; Brandtjen,S - Hold (Available for Scheduling),An Act to amend 20.455 (2) (gr) and 175.60 (7) (c) of the statutes;  Relating to: position authorizations in the Office of School Safety and making an appropriation. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb955
sb0956,2023,RS,Quinn and Ballweg,,Kurtz; Behnke; Green; Gustafson; S. Johnson; Moses; Murphy; Mursau; Novak; Oldenburg; Penterman,S - Universities and Revenue,An Act to renumber and amend 77.51 (9) (e); and to create 77.51 (9) (e) 1. and 2. of the statutes;  Relating to: the sales and use tax exemption for personal farm property or household goods sold by auction on the Internet. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb956
sb0957,2023,RS,Feyen and Ballweg,,Schraa; Allen; S. Johnson; Mursau; O'Connor; Dittrich,S - Health,An Act to create 46.995 (2g) (c) and 46.995 (2m) of the statutes;  Relating to: funding methodology under the Children's Long-Term Support program. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb957
sb0958,2023,RS,Jacque,,O'Connor; Stubbs; Maxey; Gundrum; Plumer; Mursau; Callahan; Dittrich; Considine; Behnke; Palmeri; Edming; Subeck; Murphy; Schraa; Hurd; Brandtjen,S - Education,"An Act to create 115.28 (55v), 118.07 (6) and 121.02 (1) (L) 9. of the statutes;  Relating to: required human trafficking prevention instruction in certain grades and teacher training related to identifying victims of child trafficking. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb958
sb0959,2023,RS,Marklein,Ballweg; Cowles; James; Testin,Mursau; Edming; O'Connor; Oldenburg; Schmidt; Tranel,S - Financial Institutions and Sporting Heritage,"An Act to repeal 23.33 (11) (am) 3. c.; to renumber 23.33 (1) (ja), 23.33 (1) (jc), 23.33 (1) (jd) and 23.33 (1) (je); to renumber and amend 23.33 (11m); to amend 23.33 (3) (a), 23.33 (4) (d) 3. b., 23.33 (11) (am) 3. (intro.), 23.33 (11) (am) 4., 340.01 (3) (a), 340.01 (3) (b), 340.01 (3) (c), 340.01 (3) (d), 340.01 (3) (dg), 340.01 (3) (dh) and 340.01 (3) (dm) (intro.); and to create 23.33 (1) (jb), 23.33 (1) (jf), 23.33 (1) (jg), 23.33 (1) (jh), 23.33 (4) (d) 8., 23.33 (11m) (b), 23.33 (13) (g) and 340.01 (37r) of the statutes;  Relating to: operation of all-terrain and utility terrain vehicles, off-highway motorcycles, and snowmobiles and revision of the Department of Transportation highway maintenance manual.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb959
sb0960,2023,RS,L. Johnson,Taylor; Wirch; Larson,Stubbs; Goeben; Behnke; Conley; Considine; Dittrich; Drake; Emerson; Gundrum; Hurd; Kitchens; Madison; Moore Omokunde; Murphy; O'Connor; Ohnstad; Palmeri; Sinicki; Brandtjen,S - Available for Scheduling,"An Act to create 165.715, 440.62 (3) (ag) 4m., 440.62 (3) (ar) 7m., 440.62 (4) (a) 2m., 440.62 (4) (b) 2m., 440.62 (4) (c) 2m., 440.62 (5) (b) 1m. and 440.62 (5) (b) 2m. of the statutes;  Relating to: instruction on human trafficking in licensed schools of barbering, schools of cosmetology, and specialty schools. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb960
sb0961,2023,RS,Jacque,Taylor; Wirch; Carpenter; Spreitzer,O'Connor; Emerson; Maxey; Plumer; Gundrum; Conley; Mursau; Callahan; Joers; Dittrich; C. Anderson; Sinicki; Considine; Stubbs; Baldeh; Palmeri; Subeck; Edming; Bare; Behnke; Billings; Melotik; Schraa; Hurd; Shankland; Ohnstad,S - Available for Scheduling,"An Act to create 20.455 (5) (dm) and 165.925 of the statutes;  Relating to: a human trafficking victim services grant program, granting rule-making authority, and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb961
sb0962,2023,RS,Jagler and Testin,,Dittrich; Duchow; Subeck; Murphy; Gundrum; Mursau; Andraca; Conley; Brandtjen; Sinicki,A - Rules,"An Act to create 253.13 (6) of the statutes;  Relating to: the procedure for adding federal newborn screening recommendations to the state-required newborn screenings, granting rule-making authority, and providing an exemption from emergency rule procedures. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb962
sb0963,2023,RS,Feyen,,Moses; Rozar; Macco; Wichgers; S. Johnson; Subeck,S - Insurance and Small Business,An Act to repeal 146.905 of the statutes;  Relating to: reducing or eliminating coinsurance and deductibles for health care expenses.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb963
sb0964,2023,RS,Ballweg,Cowles; Testin,Tittl; Behnke; Conley; Dittrich; Murphy; Myers; Sinicki; Snodgrass; Stubbs; Subeck; Wichgers,S - Enacted into law,"An Act to amend 341.14 (1a), 341.14 (1e) (a), 341.14 (1m), 341.14 (1q), 343.51 (1) and 343.62 (4) (a) 4. of the statutes;  Relating to: authorizing physical therapists to make certifications for acquiring disabled parking plates and cards. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb964
sb0965,2023,RS,Quinn,Felzkowski; Testin,Green; Sapik; Bodden; Callahan; Edming; O'Connor; Summerfield; Swearingen,S - Hold (Available for Scheduling),An Act to repeal 29.016 (4); and to create 29.016 (4) of the statutes;  Relating to: the regulation of deer hunting in the northern forest zone.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb965
sb0966,2023,RS,Tomczyk,Bradley; Cabral-Guevara; James; Testin,Rozar; Krug; Allen; Binsfeld; Bodden; Brandtjen; Dittrich; Goeben; Kitchens; Maxey; Melotik; Michalski; Murphy; Mursau; Moses; O'Connor; Penterman; Sortwell; Wichgers,S - Available for Scheduling,"An Act to renumber 6.87 (9); to renumber and amend 6.87 (6d); to amend 6.86 (6) and 6.87 (2) (intro.); and to create 6.87 (6d) (a) to (g) and 6.87 (9) (b) of the statutes;  Relating to:  witness address requirements on absentee ballot certificates, curing defects on absentee ballot certificates, and providing a penalty.",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb966
sb0967,2023,RS,Knodl and Feyen,,Melotik; Binsfeld; Brandtjen; Dittrich; Donovan; Green; Krug; Maxey; Moses; Mursau; Nedweski; O'Connor; Penterman; Schmidt; Snyder; Murphy,S - Education,An Act to amend 115.385 (1g) (e); and to create 115.385 (1) (g) of the statutes;  Relating to: including truancy information in the school district and school accountability report.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb967
sb0968,2023,RS,Knodl and Cabral-Guevara,,Binsfeld; Behnke; Conley; Dittrich; Donovan; Edming; Green; Joers; Melotik; Murphy; Mursau; Nedweski; O'Connor; Palmeri; Schmidt; Stubbs; Subeck; Snyder; Madison,S - Education,An Act to create 118.16 (2) (cg) 2m. of the statutes;  Relating to: notice to the parent or guardian of a habitually truant child.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb968
sb0969,2023,RS,Stroebel,Cabral-Guevara; Feyen,Binsfeld; Behnke; Dittrich; Donovan; Edming; Maxey; Melotik; Murphy; Mursau; Myers; Nedweski; O'Connor; Penterman; Schmidt; Snyder,S - Education,"An Act to create 118.33 (6) (a) 4., 118.33 (6) (b) 2r., 118.33 (6) (c) 4. and 118.33 (6) (cr) 4. of the statutes;  Relating to: prohibiting grade promotion on the basis of absences from school. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb969
sb0970,2023,RS,Testin,,Moses; Allen; O'Connor; Schmidt,S - Universities and Revenue,"An Act to amend 71.05 (6) (a) 15., 71.10 (4) (i), 71.21 (4) (a), 71.26 (2) (a) 4., 71.30 (3) (f), 71.34 (1k) (g), 71.45 (2) (a) 10. and 71.49 (1) (f); and to create 20.835 (2) (de), 71.07 (11), 71.28 (11), 71.47 (11), 71.748 and 73.03 (78) of the statutes;  Relating to: creating a digital interactive media tax credit, granting rule-making authority, and making an appropriation. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb970
sb0971,2023,RS,Stroebel,,Wittke,S - Partial veto sustained,An Act to repeal 20.255 (1) (fc); and to create 20.255 (1) (fc) and 20.255 (2) (fc) of the statutes;  Relating to: early literacy programs administered by the Department of Public Instruction.,https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb971
sb0972,2023,RS,Knodl,,Melotik; Armstrong; Moses; Murphy,S - Transportation and Local Government,"An Act to amend 341.14 (6r) (e) and 341.14 (6r) (fm) 7.; and to create 341.14 (6r) (b) 23., 341.14 (6r) (cm) and 341.14 (6r) (f) 70. of the statutes;  Relating to: special registration plates with white lettering on a black background. (FE)",https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb972
sb0973,2023,RS,Quinn,,Goeben; Armstrong; Behnke; Born; Dittrich; Hong; Hurd; S. Johnson; Murphy; O'Connor; Summerfield,S - Education,An Act to amend 119.04 (1); and to create 118.143 of the statutes;  Relating to: requiring the community approach to four-year-old kindergarten. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb973
sb0974,2023,RS,Knodl,,Melotik,S - Judiciary and Public Safety,An Act to create 973.06 (1) (k) of the statutes;  Relating to: recovery of law enforcement agency costs for administration of naloxone or another opioid antagonist. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb974
sb0975,2023,RS,Knodl and L. Johnson,,Krug; Goyke,"S - Housing, Rural Issues and Forestry",An Act to create 234.665 of the statutes;  Relating to: a workforce home loan program. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb975
sb0976,2023,RS,Quinn,Ballweg; Bradley; Cabral-Guevara; Felzkowski; Feyen; Jagler; Marklein; Nass; Stroebel; Testin; Wanggaard,Binsfeld; Allen; Armstrong; August; Behnke; Born; Brandtjen; Dittrich; Donovan; Edming; Goeben; Green; Gundrum; Hurd; Katsma; Krug; Kurtz; Macco; Magnafici; Maxey; Melotik; Moses; Murphy; Mursau; Nedweski; O'Connor; Oldenburg; Penterman; Petryk; Plumer; Rettinger; Schraa; Schutt; Snyder; Spiros; Steffen; Tranel; Wichgers; Wittke; Swearingen,S - Hold (Available for Scheduling),An Act to renumber and amend 71.07 (9g) (b); and to create 71.07 (9g) (b) 2. and 71.07 (9g) (c) 5. of the statutes;  Relating to: expanding the child and dependent care credit. (FE),https://docs.legis.wisconsin.gov/2023/proposals/reg/sen/bill/sb976
