bill_id,term,session,summary,commem
LB0235,2023_2024,RS,Change provisions relating to the use of tax credits under the ImagiNE Nebraska Act,0
LB0236,2023_2024,RS,Provide for appointment and powers of problem-solving court judicial officers,0
LB0237,2023_2024,RS,Appropriate funds to the Department of Environment and Energy,0
LB0238,2023_2024,RS,Include virtual school students in the state aid to schools formula,0
LB0239,2023_2024,RS,Change individual income tax brackets and rates,0
LB0240,2023_2024,RS,Provide for modification of disposition orders or conditions of probation upon motion by juvenile under the Nebraska Juvenile Code,0
LB0241,2023_2024,RS,Change provisions relating to transfers of water to another state,0
LB0242,2023_2024,RS,Change provisions of the Nebraska Property Tax Incentive Act,0
LB0243,2023_2024,RS,"Adopt the School District Property Tax Limitation Act, change levying authority and provide aid to community college areas, and change provisions relating to the Tax Equalization and Review Commission and property and income taxes",0
LB0243A,2023_2024,RS,Appropriation Bill,0
LB0244,2023_2024,RS,Provide an additional tax credit under the Nebraska Property Tax Incentive Act,0
LB0245,2023_2024,RS,Change per diem compensation for members of the Board of Barber Examiners,0
LB0246,2023_2024,RS,Change provisions relating to sanitary and improvement districts,0
LB0247,2023_2024,RS,Change provisions relating to issuance of a certificate of title for certain vehicles,0
LB0248,2023_2024,RS,Prohibit discrimination based on lawful source of income under the Nebraska Fair Housing Act and create the Landlord Guarantee Program,0
LB0249,2023_2024,RS,Change provisions of the Rural Workforce Housing Investment Act,0
LB0250,2023_2024,RS,Require periodic command climate surveys of the Nebraska National Guard,0
LB0250A,2023_2024,RS,Appropriation Bill,0
LB0251,2023_2024,RS,"Change tax provisions relating to cigars, cheroots, and stogies",0
LB0252,2023_2024,RS,"Change provisions relating to veterans' homes, veterans' aid, and the Department of Veterans' Affairs",0
LB0253,2023_2024,RS,Provide for creation of a veteran justice program,0
LB0254,2023_2024,RS,"Provide and change requirements relating to video coverage of the Legislature, performance audits, and the Legislative Mental Health Care Capacity Strategic Planning Committee",0
LB0254A,2023_2024,RS,Appropriation Bill,0
LB0255,2023_2024,RS,Change eminent domain and renewable energy generation provisions relating to certain power suppliers,0
LB0256,2023_2024,RS,Change provisions related to insurance coverage of telehealth,0
LB0257,2023_2024,RS,Change provisions relating to cemeteries and abandonment and reversion of cemetery lots,0
LB0258,2023_2024,RS,Eliminate provisions relating to near beer under the Nebraska Liquor Control Act,0
LB0259,2023_2024,RS,Allow farm wineries to obtain additional retail licenses under the Nebraska Liquor Control Act,0
LB0260,2023_2024,RS,Designate Nebraska Appellate Reports Online Library as the repository for published judicial opinions of the Nebraska Supreme Court and the Nebraska Court of Appeals,0
LB0261,2023_2024,RS,Change apprenticeship requirements under Funeral Directing and Embalming Practice Act,0
LB0262,2023_2024,RS,"Change and eliminate provisions relating to warehouse operators, hemp, the Grain Dealer Act, the Grain Warehouse Act, the Nebraska Agricultural Products Marketing Act, the Nebraska Hemp Farming Act, the Nebraska Corn Resources Act, the Nebraska Pure Food Act, and the Uniform Controlled Substances Act",0
LB0263,2023_2024,RS,Change provisions of the Nebraska Hemp Farming Act,0
LB0264,2023_2024,RS,Change provisions of the Grain Dealer Act and the Grain Warehouse Act,0
LB0265,2023_2024,RS,Require protective vests and safety training for correctional officers and allow Department of Health and Human Services employees to use justified force in defense of self or others,0
LB0266,2023_2024,RS,Change provisions regarding eligibility for Military Honor license plates,0
LB0267,2023_2024,RS,Adopt the Critical Infrastructure Utility Worker Protection Act,0
LB0268,2023_2024,RS,Authorize participation by certain entities in trusts or investment pools established by the State Treasurer,0
LB0269,2023_2024,RS,Eliminate obsolete provisions relating to redistricting and boundary changes after the 2020 federal decennial census,0
LB0270,2023_2024,RS,Change provisions relating to the Uniform Residential Landlord and Tenant Act and rental registration ordinances,0
LB0271,2023_2024,RS,Change reporting requirements for child abuse and neglect,0
LB0272,2023_2024,RS,Change provisions relating to the date when compensation begins under the Nebraska Workers' Compensation Act,0
LB0273,2023_2024,RS,State intent regarding appropriations to the Coordinating Commission for Postsecondary Education,0
LB0274,2023_2024,RS,Provide for persons with disabled veterans license plates to park in handicapped parking spaces,0
LB0275,2023_2024,RS,State intent regarding appropriations to the Foster Care Review Office,0
LB0276,2023_2024,RS,Adopt the Certified Community Behavioral Health Clinic Act,0
LB0276A,2023_2024,RS,Appropriation Bill,0
LB0277,2023_2024,RS,Adopt the First Freedom Act and authorize the wearing of tribal regalia by students,0
LB0278,2023_2024,RS,Provide duties for the Nebraska Investment Finance Authority and the Department of Economic Development relating to housing for persons with disabilities,0
LB0278A,2023_2024,RS,Appropriation Bill,0
LB0279,2023_2024,RS,Change and eliminate provisions relating to executive officers of banks,0
LB0280,2023_2024,RS,Adopt the Interstate Massage Compact,0
LB0281,2023_2024,RS,Require the Department of Economic Development to provide grants for youth outdoor education camp facilities,0
LB0282,2023_2024,RS,Provide for payment of claims and approve a contract claim against the state,0
LB0283,2023_2024,RS,Deny claims against the state,0
LB0284,2023_2024,RS,"Adopt the Municipal Police Oversight Act, require maintenance of Brady and Giglio lists, restrict usage of no-knock warrants, prohibit collection of data on gang membership, require a bachelor’s degree for law enforcement certification, change requirements on law enforcement records, and eliminate the offense of unlawful membership recruitment into an organization",0
LB0285,2023_2024,RS,Adopt the School Community Eligibility Provision Maximization Act,0
